"","Var1","Freq"
"206","Chironomidae",1339
"232","Clupea harengus",5922
"382","Gadus morhua",11497
"438","Hediste diversicolor",1897
"444","Heteromastus filiformis",1335
"453","Hydrobia",3597
"502","Limanda limanda",8205
"504","Limecola balthica",2491
"544","Merlangius merlangus",4640
"553","Microdeutopus gryllotalpa",1007
"571","Mya arenaria",1694
"581","Mytilus edulis",1696
"635","Oligochaeta",1576
"678","Parvicardium",1365
"726","Platichthys flesus",3818
"732","Pleuronectes platessa",1616
"818","Pygospio elegans",1815
"862","Scoloplos armiger",1329
"896","Sprattus sprattus",3433
"932","Temora longicornis",1252
