"","Var1","Freq"
"1","Acentropus niveus",4
"2","Ampithoe rubricata",3
"3","Antinoella sarsi",2
"4","Arenicola marina",5
"5","Balanus sp.",1
"6","CAMPANULARIIDAE",2
"7","Campanulariidae indet.",2
"8","Cerastoderma edule",1
"9","Cerastoderma glaucum",38
"10","Chironomidae indet.",117
"11","Chironomus aprilinus",3
"12","Chironomus salinarius",3
"13","Chironomus sp.",28
"14","Corophium crassicorne",3
"15","Corophium insidiosum",34
"16","Corophium volutator",1
"17","Crangon crangon",1
"18","Cyathura carinata",1
"19","Electra crustulenta",33
"20","Eteone longa",1
"21","Fabricia stellaris",2
"22","Fabriciinae indet.",2
"23","Gammarus inaequicauda",2
"24","Gammarus locusta",15
"25","Gammarus salinus",33
"26","Gammarus sp.",5
"27","Gammarus zaddachi",1
"28","Hediste diversicolor",32
"29","Heteromastus filiformis",35
"30","Hydrobia sp.",58
"31","Hydrobia ulvae",11
"32","Idotea balthica",44
"33","Idotea chelipes",17
"34","Idotea sp.",2
"35","Jaera albifrons",34
"36","Littorina littorea",1
"37","Littorina saxatilis",14
"38","Lymnaea sp.",6
"39","Macoma balthica",7
"40","Macroplea mutica",15
"41","Manayunkia aestuarina",4
"42","Marenzelleria viridis",2
"43","Melita palmata",2
"44","Microdeutopus gryllotalpa",71
"45","Mya arenaria",20
"46","Mytilus edulis",71
"47","Neanthes sp.",1
"48","Nematoda indet.",2
"49","Nemertini indet.",35
"50","Nereididae indet.",2
"51","Oligochaeta indet.",11
"52","Parvicardium exiguum",4
"53","Parvicardium sp.",2
"54","Platynereis dumerilii",23
"55","Polydora cornuta",48
"56","PORIFERA",1
"57","Potamopyrgus antipodarum",6
"58","Praunus flexuosus",1
"59","Pusillina sarsi",18
"60","Pygospio elegans",31
"61","Rissoa membranacea",14
"62","Rissoa sp.",14
"63","Scoloplos armiger",16
"64","Sphaeroma hookeri",5
"65","Spionidae indet.",1
"66","Spirorbinae indet.",1
"67","Spirorbis sp.",11
"68","Theodoxus fluviatilis",38
"69","Tricladida indet.",1
"70","Tubifex costatus",4
"71","Tubificoides benedii",25
