TankID,FishID,PITID,Sex,TL,InfectionScore,Notes
C,G37,1259,,13.6,1,Deceased 22/02/2020
C,G54,1260,m(j),9.5,2,
E,G13,1286,,13.8,3,
C,G38,1313,,11.7,2,
C,G52,1384,m,12.5,1,
C,G53,1395,,14.3,1,
E,G15,1412,,11.5,3,Deceased 22/06/2020
C,G47,1492,f,11.7,1,"Sex conflicts with later assessment, this one is assumed wrong"
C,G44,2009,,10.5,2,
C,G42,2014,,15.5,2,
E,G05,2016,,13.7,3,
D,G19,2019,,13.4,3,
D,G35,2021,,15.6,1,
C,G46,2024,m,16.3,1,
E,G09,2026,,10.9,2,
D,G17,2028,,14.9,2,
D,G22,2030,,13.3,2,
D,G30,2034,,13,2,
D,G21,2038,,17.3,3,
C,G49,2040,,13.2,2,
C,G51,2044,m,14,2,
E,G14,2045,,16.3,2,
C,G50,2049,f,11.7,2,
E,G04,2060,,15.4,1,
C,G55,2065,,11.3,3,
E,G01,2068,,9.4,2,Deceased 22/06/2020
C,G45,2070,f(gravid?),11,3,
C,G48,2084,,9.8,3,
D,G31,2089,,13.7,1,
E,G12,2099,,13.4,2,
C,G40,2101,,12.8,1,PITID revised from typo (2110) based on later check
D,G28,2110,,14.9,1,
C,G39,2112,,12.9,1,
D,G27,2116,,13.4,1,
D,G34,2119,,15.4,2,
D,G25,2122,,13.7,1,
D,G36,2126,,15.6,1,
E,G16,2132,,8,2,
C,G41,2133,,14.2,1,
D,G26,2147,,13,3,
E,G06,2153,,13.2,1,
D,G32,2155,,10.9,2,
D,G29,2156,,16.7,1,
D,G23,2165,,15.8,2,PITID revised from typo (2065) based on later check
C,G43,2179,,8,1,Deceased 22/06/2020
E,G02,2182,,14.2,1,
E,G08,2191,,11.9,1,
D,G20,2213,,13.8,2,
D,G18,2216,,13.3,1,
E,G10,2217,,13.6,2,
E,G07,2220,,14.3,1,
E,G03,2221,,13.5,2,
D,G24,2228,,15.5,1,
E,G11,2233,,13.5,2,
D,G33,2246,,10.9,2,Deceased 22/06/2020
