"","fishID","rep","sampleID","date_packed","weight_packed","rack","row","position","d15N","dC13","N_percentage","C_percentage"
"1","G01","A","G01A","","","","","","","","",""
"2","G02","A","G02A","","","","","","","","",""
"57","G02","B","G02B","","","","","","","","",""
"112","G02","C","G02C","","","","","","","","",""
"3","G03","A","G03A","","","","","","","","",""
"4","G04","A","G04A","","","","","","","","",""
"5","G05","A","G05A","","","","","","","","",""
"6","G06","A","G06A","","","","","","","","",""
"61","G06","B","G06B","","","","","","","","",""
"116","G06","C","G06C","","","","","","","","",""
"7","G07","A","G07A","","","","","","","","",""
"8","G08","A","G08A","","","","","","","","",""
"9","G09","A","G09A","","","","","","","","",""
"10","G10","A","G10A","","","","","","","","",""
"65","G10","B","G10B","","","","","","","","",""
"120","G10","C","G10C","","","","","","","","",""
"11","G11","A","G11A","","","","","","","","",""
"12","G12","A","G12A","","","","","","","","",""
"13","G13","A","G13A","","","","","","","","",""
"68","G13","B","G13B","","","","","","","","",""
"123","G13","C","G13C","","","","","","","","",""
"14","G14","A","G14A","","","","","","","","",""
"69","G14","B","G14B","","","","","","","","",""
"124","G14","C","G14C","","","","","","","","",""
"15","G15","A","G15A","","","","","","","","",""
"16","G16","A","G16A","","","","","","","","",""
"17","G17","A","G17A","","","","","","","","",""
"72","G17","B","G17B","","","","","","","","",""
"127","G17","C","G17C","","","","","","","","",""
"18","G18","A","G18A","","","","","","","","",""
"73","G18","B","G18B","","","","","","","","",""
"128","G18","C","G18C","","","","","","","","",""
"19","G19","A","G19A","","","","","","","","",""
"20","G20","A","G20A","","","","","","","","",""
"75","G20","B","G20B","","","","","","","","",""
"130","G20","C","G20C","","","","","","","","",""
"21","G21","A","G21A","","","","","","","","",""
"22","G22","A","G22A","","","","","","","","",""
"23","G23","A","G23A","","","","","","","","",""
"24","G24","A","G24A","","","","","","","","",""
"79","G24","B","G24B","","","","","","","","",""
"134","G24","C","G24C","","","","","","","","",""
"25","G25","A","G25A","","","","","","","","",""
"26","G26","A","G26A","","","","","","","","",""
"81","G26","B","G26B","","","","","","","","",""
"136","G26","C","G26C","","","","","","","","",""
"27","G27","A","G27A","","","","","","","","",""
"28","G28","A","G28A","","","","","","","","",""
"83","G28","B","G28B","","","","","","","","",""
"138","G28","C","G28C","","","","","","","","",""
"29","G29","A","G29A","","","","","","","","",""
"30","G30","A","G30A","","","","","","","","",""
"31","G31","A","G31A","","","","","","","","",""
"32","G32","A","G32A","","","","","","","","",""
"33","G33","A","G33A","","","","","","","","",""
"34","G34","A","G34A","","","","","","","","",""
"89","G34","B","G34B","","","","","","","","",""
"144","G34","C","G34C","","","","","","","","",""
"35","G35","A","G35A","","","","","","","","",""
"90","G35","B","G35B","","","","","","","","",""
"145","G35","C","G35C","","","","","","","","",""
"36","G36","A","G36A","","","","","","","","",""
"37","G37","A","G37A","","","","","","","","",""
"38","G38","A","G38A","","","","","","","","",""
"39","G39","A","G39A","","","","","","","","",""
"40","G40","A","G40A","","","","","","","","",""
"41","G41","A","G41A","","","","","","","","",""
"96","G41","B","G41B","","","","","","","","",""
"151","G41","C","G41C","","","","","","","","",""
"42","G42","A","G42A","","","","","","","","",""
"43","G43","A","G43A","","","","","","","","",""
"44","G44","A","G44A","","","","","","","","",""
"99","G44","B","G44B","","","","","","","","",""
"154","G44","C","G44C","","","","","","","","",""
"45","G45","A","G45A","","","","","","","","",""
"46","G46","A","G46A","","","","","","","","",""
"101","G46","B","G46B","","","","","","","","",""
"156","G46","C","G46C","","","","","","","","",""
"47","G47","A","G47A","","","","","","","","",""
"48","G48","A","G48A","","","","","","","","",""
"49","G49","A","G49A","","","","","","","","",""
"104","G49","B","G49B","","","","","","","","",""
"159","G49","C","G49C","","","","","","","","",""
"50","G50","A","G50A","","","","","","","","",""
"51","G51","A","G51A","","","","","","","","",""
"106","G51","B","G51B","","","","","","","","",""
"161","G51","C","G51C","","","","","","","","",""
"52","G52","A","G52A","","","","","","","","",""
"53","G53","A","G53A","","","","","","","","",""
"108","G53","B","G53B","","","","","","","","",""
"163","G53","C","G53C","","","","","","","","",""
"54","G54","A","G54A","","","","","","","","",""
"109","G54","B","G54B","","","","","","","","",""
"164","G54","C","G54C","","","","","","","","",""
"55","G55","A","G55A","","","","","","","","",""
