"","row.id","fishID","rep","sampleID","DateRemoved","DateCleaned","DateDried","Notes"
"1",1,"G01","A","G01A","","","",""
"56",1,"G01","B","G01B","","","",""
"111",1,"G01","C","G01C","","","",""
"2",2,"G02","A","G02A","","","",""
"57",2,"G02","B","G02B","","","",""
"112",2,"G02","C","G02C","","","",""
"3",3,"G03","A","G03A","","","",""
"58",3,"G03","B","G03B","","","",""
"113",3,"G03","C","G03C","","","",""
"4",4,"G04","A","G04A","","","",""
"59",4,"G04","B","G04B","","","",""
"114",4,"G04","C","G04C","","","",""
"5",5,"G05","A","G05A","","","",""
"60",5,"G05","B","G05B","","","",""
"115",5,"G05","C","G05C","","","",""
"6",6,"G06","A","G06A","","","",""
"61",6,"G06","B","G06B","","","",""
"116",6,"G06","C","G06C","","","",""
"7",7,"G07","A","G07A","","","",""
"62",7,"G07","B","G07B","","","",""
"117",7,"G07","C","G07C","","","",""
"8",8,"G08","A","G08A","","","",""
"63",8,"G08","B","G08B","","","",""
"118",8,"G08","C","G08C","","","",""
"9",9,"G09","A","G09A","","","",""
"64",9,"G09","B","G09B","","","",""
"119",9,"G09","C","G09C","","","",""
"10",10,"G10","A","G10A","","","",""
"65",10,"G10","B","G10B","","","",""
"120",10,"G10","C","G10C","","","",""
"11",11,"G11","A","G11A","","","",""
"66",11,"G11","B","G11B","","","",""
"121",11,"G11","C","G11C","","","",""
"12",12,"G12","A","G12A","","","",""
"67",12,"G12","B","G12B","","","",""
"122",12,"G12","C","G12C","","","",""
"13",13,"G13","A","G13A","","","",""
"68",13,"G13","B","G13B","","","",""
"123",13,"G13","C","G13C","","","",""
"14",14,"G14","A","G14A","","","",""
"69",14,"G14","B","G14B","","","",""
"124",14,"G14","C","G14C","","","",""
"15",15,"G15","A","G15A","","","",""
"70",15,"G15","B","G15B","","","",""
"125",15,"G15","C","G15C","","","",""
"16",16,"G16","A","G16A","","","",""
"71",16,"G16","B","G16B","","","",""
"126",16,"G16","C","G16C","","","",""
"17",17,"G17","A","G17A","","","",""
"72",17,"G17","B","G17B","","","",""
"127",17,"G17","C","G17C","","","",""
"18",18,"G18","A","G18A","","","",""
"73",18,"G18","B","G18B","","","",""
"128",18,"G18","C","G18C","","","",""
"19",19,"G19","A","G19A","","","",""
"74",19,"G19","B","G19B","","","",""
"129",19,"G19","C","G19C","","","",""
"20",20,"G20","A","G20A","","","",""
"75",20,"G20","B","G20B","","","",""
"130",20,"G20","C","G20C","","","",""
"21",21,"G21","A","G21A","","","",""
"76",21,"G21","B","G21B","","","",""
"131",21,"G21","C","G21C","","","",""
"22",22,"G22","A","G22A","","","",""
"77",22,"G22","B","G22B","","","",""
"132",22,"G22","C","G22C","","","",""
"23",23,"G23","A","G23A","","","",""
"78",23,"G23","B","G23B","","","",""
"133",23,"G23","C","G23C","","","",""
"24",24,"G24","A","G24A","","","",""
"79",24,"G24","B","G24B","","","",""
"134",24,"G24","C","G24C","","","",""
"25",25,"G25","A","G25A","","","",""
"80",25,"G25","B","G25B","","","",""
"135",25,"G25","C","G25C","","","",""
"26",26,"G26","A","G26A","","","",""
"81",26,"G26","B","G26B","","","",""
"136",26,"G26","C","G26C","","","",""
"27",27,"G27","A","G27A","","","",""
"82",27,"G27","B","G27B","","","",""
"137",27,"G27","C","G27C","","","",""
"28",28,"G28","A","G28A","","","",""
"83",28,"G28","B","G28B","","","",""
"138",28,"G28","C","G28C","","","",""
"29",29,"G29","A","G29A","","","",""
"84",29,"G29","B","G29B","","","",""
"139",29,"G29","C","G29C","","","",""
"30",30,"G30","A","G30A","","","",""
"85",30,"G30","B","G30B","","","",""
"140",30,"G30","C","G30C","","","",""
"31",31,"G31","A","G31A","","","",""
"86",31,"G31","B","G31B","","","",""
"141",31,"G31","C","G31C","","","",""
"32",32,"G32","A","G32A","","","",""
"87",32,"G32","B","G32B","","","",""
"142",32,"G32","C","G32C","","","",""
"33",33,"G33","A","G33A","","","",""
"88",33,"G33","B","G33B","","","",""
"143",33,"G33","C","G33C","","","",""
"34",34,"G34","A","G34A","","","",""
"89",34,"G34","B","G34B","","","",""
"144",34,"G34","C","G34C","","","",""
"35",35,"G35","A","G35A","","","",""
"90",35,"G35","B","G35B","","","",""
"145",35,"G35","C","G35C","","","",""
"36",36,"G36","A","G36A","","","",""
"91",36,"G36","B","G36B","","","",""
"146",36,"G36","C","G36C","","","",""
"37",37,"G37","A","G37A","","","",""
"92",37,"G37","B","G37B","","","",""
"147",37,"G37","C","G37C","","","",""
"38",38,"G38","A","G38A","","","",""
"93",38,"G38","B","G38B","","","",""
"148",38,"G38","C","G38C","","","",""
"39",39,"G39","A","G39A","","","",""
"94",39,"G39","B","G39B","","","",""
"149",39,"G39","C","G39C","","","",""
"40",40,"G40","A","G40A","","","",""
"95",40,"G40","B","G40B","","","",""
"150",40,"G40","C","G40C","","","",""
"41",41,"G41","A","G41A","","","",""
"96",41,"G41","B","G41B","","","",""
"151",41,"G41","C","G41C","","","",""
"42",42,"G42","A","G42A","","","",""
"97",42,"G42","B","G42B","","","",""
"152",42,"G42","C","G42C","","","",""
"43",43,"G43","A","G43A","","","",""
"98",43,"G43","B","G43B","","","",""
"153",43,"G43","C","G43C","","","",""
"44",44,"G44","A","G44A","","","",""
"99",44,"G44","B","G44B","","","",""
"154",44,"G44","C","G44C","","","",""
"45",45,"G45","A","G45A","","","",""
"100",45,"G45","B","G45B","","","",""
"155",45,"G45","C","G45C","","","",""
"46",46,"G46","A","G46A","","","",""
"101",46,"G46","B","G46B","","","",""
"156",46,"G46","C","G46C","","","",""
"47",47,"G47","A","G47A","","","",""
"102",47,"G47","B","G47B","","","",""
"157",47,"G47","C","G47C","","","",""
"48",48,"G48","A","G48A","","","",""
"103",48,"G48","B","G48B","","","",""
"158",48,"G48","C","G48C","","","",""
"49",49,"G49","A","G49A","","","",""
"104",49,"G49","B","G49B","","","",""
"159",49,"G49","C","G49C","","","",""
"50",50,"G50","A","G50A","","","",""
"105",50,"G50","B","G50B","","","",""
"160",50,"G50","C","G50C","","","",""
"51",51,"G51","A","G51A","","","",""
"106",51,"G51","B","G51B","","","",""
"161",51,"G51","C","G51C","","","",""
"52",52,"G52","A","G52A","","","",""
"107",52,"G52","B","G52B","","","",""
"162",52,"G52","C","G52C","","","",""
"53",53,"G53","A","G53A","","","",""
"108",53,"G53","B","G53B","","","",""
"163",53,"G53","C","G53C","","","",""
"54",54,"G54","A","G54A","","","",""
"109",54,"G54","B","G54B","","","",""
"164",54,"G54","C","G54C","","","",""
"55",55,"G55","A","G55A","","","",""
"110",55,"G55","B","G55B","","","",""
"165",55,"G55","C","G55C","","","",""
