PopID,IndID,d15N,d13C
Alge,NN1,11.91601183,-23.74340417
Alge,NN1,11.88093959,-23.74769581
Alge,NN1,12.00451025,-23.81653336
Alge,NN2,10.14352851,-20.51438981
Alge,NN2,10.18317777,-20.62603463
Alge,NN2,10.39469342,-20.78597284
Alge,NN3,8.965597819,-20.93238692
Alge,NN3,9.196230932,-20.72815694
Alge,NN3,9.4565166,-20.90454434
Alge,NN4,9.320579178,-19.80907927
Alge,NN4,9.657342929,-19.82740793
Alge,NN4,9.568487619,-19.82136554
Alge,NN5,8.876389663,-19.85915329
Alge,NN5,8.591935088,-19.83405281
Alge,NN5,8.097244242,-19.90617052
Alge,NN6,9.830800656,-20.40130697
Alge,NN6,9.893023447,-20.44860155
Alge,NN6,10.31345149,-20.51985567
Alge,NN7,9.55629972,-20.02783433
Alge,NN7,9.768235401,-20.26583978
Alge,NN7,9.927074233,-20.18046747
Alge,NN8,7.7729404,-18.05245017
Alge,NN8,8.080123567,-18.17441616
Alge,NN8,7.747473341,-18.20542114
Alge,NN9,9.05461404,-18.78905581
Alge,NN9,9.098271104,-18.79301535
Alge,NN9,8.831894489,-18.69606117
Alge,NN10,8.300650716,-19.17283994
Alge,NN10,8.291003197,-19.02875563
Alge,NN10,8.664493364,-19.22458302
Alge,NN11,10.86888103,-22.49427696
Alge,NN11,10.89648949,-22.64601041
Alge,NN11,10.72792204,-22.66268194
Alge,NN12,7.798692131,-17.45908345
Alge,NN12,7.351883013,-17.475933
Alge,NN12,7.033214722,-17.0485439
Alge,NN13,9.431560174,-20.02099111
Alge,NN13,9.366053312,-19.94755495
Alge,NN13,9.840736727,-20.17619936
Alge,NN14,8.069539831,-18.60434824
Alge,NN14,7.873839786,-18.28842303
Alge,NN14,8.0235181,-18.54439374
Alge,NN15,7.982368864,-17.74316112
Alge,NN15,7.648125422,-17.75900596
Alge,NN15,7.886994283,-17.72632516
Alge,NN16,6.562462332,-16.27461704
Alge,NN16,6.596492697,-16.35423999
Alge,NN16,6.526078482,-16.34149918
Alge,NN17,8.768322599,-19.95249814
Alge,NN17,8.853258194,-19.86735337
Alge,NN17,8.392851264,-19.80037509
Alge,NN18,8.727342526,-20.68167312
Alge,NN18,9.184447774,-20.48972765
Alge,NN18,8.824204904,-20.23125762
Alge,NN19,8.795433835,-19.31385083
Alge,NN19,8.696327795,-19.49305881
Alge,NN19,8.772930708,-19.56295817
Alge,NN20,8.965480571,-20.0904155
Alge,NN20,9.062876893,-20.09711641
Alge,NN20,8.553646543,-20.2923518
Warr,SS1,8.428582249,-16.49548074
Warr,SS1,8.30735581,-16.51977863
Warr,SS1,8.465734498,-16.5261768
Warr,SS2,10.04960298,-17.53215214
Warr,SS2,9.304851172,-17.343932
Warr,SS2,10.21970159,-17.59699553
Warr,SS3,6.885575166,-15.39868251
Warr,SS3,6.657781991,-15.69276546
Warr,SS3,6.577588789,-15.58775948
Warr,SS4,8.10494389,-16.27240814
Warr,SS4,7.955280532,-16.24725608
Warr,SS4,7.62961365,-16.20645693
Warr,SS5,8.716926462,-16.45241748
Warr,SS5,8.639105305,-16.43702267
Warr,SS5,8.107332732,-16.34666053
Warr,SS6,7.61919568,-16.18434159
Warr,SS6,7.384335906,-15.99952453
Warr,SS6,7.420195512,-16.0754396
Warr,SS7,7.525480312,-16.71167339
Warr,SS7,7.827629528,-16.69227792
Warr,SS7,7.872865987,-16.67772915
Warr,SS8,7.517928397,-16.09353605
Warr,SS8,7.795709327,-16.00298846
Warr,SS8,7.401248448,-16.06423594
Warr,SS9,6.781770275,-16.17000472
Warr,SS9,6.541878528,-16.15418187
Warr,SS9,6.784359882,-16.12510975
Warr,SS10,8.715569089,-16.51650041
Warr,SS10,8.694220573,-16.47116535
Warr,SS10,8.859214689,-16.54578972
Warr,SS11,6.83395328,-16.82722998
Warr,SS11,7.325594092,-16.76939039
Warr,SS11,6.834283736,-16.76228016
Warr,SS12,8.162204946,-16.70741791
Warr,SS12,8.443094916,-16.55159027
Warr,SS12,8.038602502,-16.63009911
Warr,SS13,6.566177672,-15.94330026
Warr,SS13,6.75304315,-15.89774307
Warr,SS13,6.659623632,-15.95562005
Warr,SS14,8.153220799,-14.78466387
Warr,SS14,8.106199438,-14.79405417
Warr,SS14,8.139291466,-14.80802567
Warr,SS15,7.283728032,-15.93205388
Warr,SS15,7.13778211,-16.09107735
Warr,SS15,7.310613623,-16.08769526
Warr,SS16,7.611216051,-15.64005481
Warr,SS16,7.930124959,-15.54741194
Warr,SS16,7.901688071,-15.57313451
Warr,SS17,7.001290534,-16.10876306
Warr,SS17,6.598046882,-15.87268997
Warr,SS17,6.881587294,-16.08009287
Warr,SS18,7.242183404,-15.90601024
Warr,SS18,7.265588982,-15.96910408
Warr,SS18,7.351536977,-15.75802309
Warr,SS19,8.220105973,-14.40649361
Warr,SS19,8.410135037,-14.501177
Warr,SS19,8.255203468,-14.34977699
Warr,SS20,8.73114103,-16.91210727
Warr,SS20,8.710154463,-16.72253221
Warr,SS20,8.787304143,-16.84849451
Cowa,TT1,24.85987305,-25.35451955
Cowa,TT1,25.02994854,-24.68269006
Cowa,TT1,25.22418988,-25.1938292
Cowa,TT2,14.56797108,-22.82236329
Cowa,TT2,14.45379797,-22.78394686
Cowa,TT2,14.15840265,-22.68840886
Cowa,TT3,18.75337174,-21.7487533
Cowa,TT3,18.52596201,-21.89188785
Cowa,TT3,18.47916665,-21.79956575
Cowa,TT4,15.67698571,-23.39354666
Cowa,TT4,15.98654906,-23.67382573
Cowa,TT4,16.00892456,-23.61498452
Cowa,TT5,8.100518095,-23.67519602
Cowa,TT5,8.743404563,-23.8737005
Cowa,TT5,8.134258498,-23.41670524
