"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"1",1260,"G54",9.5,11,1.28298585799679,2,"m","30-06-2020","10:27","ACT",1,2,"G","ACT1_2G","C",34.04102325,68.60132599,102.1281509,0.474386036,1.60702723766694,42586.16016,334.5,5.81263687956828,6.7,52.4,3.97781074596615,""
"2",1260,"G54",9.5,11,1.28298585799679,2,"m","07-07-2020","09:52","ACT",2,1,"B","ACT2_1B","C",28.10732651,56.8012619,98.10406494,0.447166473,1.56387462051729,35235.30078,409,6.0137151560428,7.7,255.9,5.54868690411584,""
"3",1260,"G54",9.5,10,1.16635077999708,2,"m","14-07-2020","12:34","ACT",3,4,"E","ACT3_4E","C",29.55580711,56.36487961,103.4840546,0.492612481,1.63658619024557,36996.96094,329,5.79605775076537,6.3,183.6,5.21819132206875,""
"4",1286,"G13",13.8,35,1.33177477633794,3,"m","14-07-2020","11:36","ACT",3,3,"B","ACT3_3B","E",5.159774303,38.52329636,20.14392662,0.085485309,1.08924555912001,7879.890625,998.8,6.90655455840562,90.8,8.3,2.23001440015921,"moderate fin infection"
"5",1286,"G13",13.8,36,1.36982548423331,3,"m","07-07-2020","11:51","ACT",2,3,"F","ACT2_3F","E",16.44581795,59.01539612,56.07644272,0.252139121,1.28677504226353,20930.35352,807.8,6.69431450312931,31.1,276.5,5.62582093318649,"heavy skin infections"
"6",1286,"G13",13.8,36,1.36982548423331,3,"m","30-06-2020","14:40","ACT",1,6,"G","ACT1_6G","E",50.22652817,72.70973969,145.9354248,0.674317002,1.96269200336826,61992.20313,53.2,3.9740583963476,4.8,56.4,4.05004430332552,""
"7",1313,"G38",11.7,25,1.56092639108199,2,"m","07-07-2020","10:56","ACT",2,2,"D","ACT2_2D","C",41.11387253,55.00705338,160.6928406,0.723602951,2.06184858342526,52893.10547,48.8,3.8877303128591,4.1,44.1,3.80888224650863,""
"8",1313,"G38",11.7,24,1.49848933543871,2,"m","30-06-2020","10:27","ACT",1,2,"F","ACT1_2F","C",42.5879364,59.64762878,136.3898315,0.688304305,1.99033766450889,53363.49219,32.8,3.4904285153901,4.1,34.9,3.58073729549423,""
"9",1313,"G38",11.7,25,1.56092639108199,2,"m","14-07-2020","12:34","ACT",3,4,"D","ACT3_4D","C",36.64358521,49.44364548,144.661026,0.716451168,2.0471552940141,47294.11328,43.2,3.76584049525006,5.4,34.9,3.58073729549423,""
"10",1384,"G52",12.5,26,1.3312,1,"m","14-07-2020","13:26","ACT",3,5,"A","ACT3_5A","C",40.64649963,64.23074341,142.9668732,0.611168265,1.84258276680903,50634.67578,104.1,4.64535197562092,7.4,110.4,4.71312732749318,""
"11",1384,"G52",12.5,27,1.3824,1,"m","30-06-2020","10:27","ACT",1,2,"A","ACT1_2A","C",54.66368484,82.34716797,137.6223297,0.649599969,1.91477470654711,66856.45313,30.5,3.41772668361337,3.8,104.5,4.65871095291612,""
"12",1384,"G52",12.5,27,1.3824,1,"m","07-07-2020","09:52","ACT",2,1,"H","ACT2_1H","C",45.39187241,63.22473907,158.824646,0.686397195,1.98654548884296,58162.32422,40.1,3.69137633431252,1,73.3,4.30811095172371,""
