"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergetime","emergelat","emergelat.bin","endpointtime","endpointlat","endpointlat.bin","endpointspeed","endpointspeed.ln","refugereturntime","refugereturnlat","refugereturnlat.ln","Notes"
"1",2182,"G02",14.2,37,1.29222069173621,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"A","EXPL1_10A","E","00:04",4,1,"00:24",24,1,20,2.99573227355399,"00:53",49,3.89182029811063,""
"2",2182,"G02",14.2,39,1.36207045885709,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"B","EXPL2_2B","E","00:02",2,1,"00:16",16,1,14,2.63905732961526,"02:38",156,5.04985600724954,""
"3",2182,"G02",14.2,38,1.32714557529665,1,"m","16-07-2020","10:11","10:21","EXPL",3,1,"A","EXPL3_1A","E","00:04",4,1,"00:21",21,1,17,2.83321334405622,"02:36",152,5.02388052084628,""
"4",2060,"G04",15.4,52,1.42377440404089,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"C","EXPL1_10C","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"5",2060,"G04",15.4,52,1.42377440404089,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"E","EXPL2_1E","E","09:57",597,0,"24:35",1475,0,878,6.77764659363512,"10:29",32,3.46573590279973,""
"6",2060,"G04",15.4,52,1.42377440404089,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"C","EXPL3_2C","E","02:15",135,0,"05:48",348,0,213,5.36129216570943,"02:34",19,2.94443897916644,""
"7",2016,"G05",13.7,35,1.36115111382996,3,"f","02-07-2020","16:25","16:35","EXPL",1,8,"B","EXPL1_8B","E","00:01",1,1,"00:18",18,1,17,2.83321334405622,"03:13",192,5.25749537202778,""
"8",2153,"G06",13.2,29,1.26088710799455,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"D","EXPL1_8D","E","00:11",11,1,"00:21",21,1,10,2.30258509299405,"00:39",28,3.3322045101752,""
"9",2153,"G06",13.2,29,1.26088710799455,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"E","EXPL2_2E","E","00:04",4,1,"00:14",14,1,10,2.30258509299405,"00:29",25,3.2188758248682,""
"10",2153,"G06",13.2,30,1.30436597378746,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"A","EXPL3_2A","E","00:01",1,1,"00:26",26,1,25,3.2188758248682,"01:21",80,4.38202663467388,""
"11",2220,"G07",14.3,35,1.19690569101298,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"A","EXPL1_8A","E","01:25",85,0,"03:49",229,0,144,4.969813299576,"04:06",161,5.08140436498446,""
"12",2220,"G07",14.3,36,1.2311029964705,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"C","EXPL2_1C","E","00:22",22,1,"00:30",30,1,8,2.07944154167984,"02:17",115,4.74493212836325,""
"13",2220,"G07",14.3,34,1.16270838555547,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"A","EXPL3_3A","E","01:01",61,0,"01:25",85,1,24,3.17805383034795,"01:53",52,3.95124371858143,""
"14",2026,"G09",10.9,19,1.46714861211602,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"D","EXPL1_9D","E","00:01",1,1,"00:12",12,1,11,2.39789527279837,"01:06",65,4.17438726989564,""
"15",2026,"G09",10.9,20,1.54436696012213,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"D","EXPL2_1D","E","00:13",13,1,"00:40",40,1,27,3.29583686600433,"00:58",45,3.80666248977032,""
"16",2026,"G09",10.9,18,1.38993026410992,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"D","EXPL3_1D","E","00:01",1,1,"00:09",9,1,8,2.07944154167984,"00:40",39,3.66356164612965,""
"17",2217,"G10",13.6,32,1.27213515163851,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"E","EXPL1_9E","E","00:14",14,1,"00:36",36,1,22,3.09104245335832,"00:56",42,3.73766961828337,""
"18",2217,"G10",13.6,32,1.27213515163851,2,"m","09-07-2020","10:43","10:53","EXPL",2,3,"A","EXPL2_3A","E","00:01",1,1,"00:09",9,1,8,2.07944154167984,"02:34",153,5.03043792139244,""
"19",2217,"G10",13.6,32,1.27213515163851,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"B","EXPL3_1B","E","00:13",13,1,"00:30",30,1,17,2.83321334405622,"03:12",179,5.18738580584075,""
"20",2233,"G11",13.5,37,1.50383579738861,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"B","EXPL1_9B","E","03:57",237,0,NA,2700,0,NA,NA,"05:12",75,4.31748811353631,""
"21",2233,"G11",13.5,37,1.50383579738861,2,"m","09-07-2020","09:38","09:48","EXPL",2,2,"D","EXPL2_2D","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"22",2233,"G11",13.5,36,1.46319158664838,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"E","EXPL3_2E","E","05:46",346,0,NA,2700,0,NA,NA,"07:21",95,4.55387689160054,""
"23",2099,"G12",13.4,30,1.24682889850148,2,"m","02-07-2020","18:30","18:40","EXPL",1,10,"D","EXPL1_10D","E","32:51",1971,0,NA,2700,0,NA,NA,"33:11",20,2.99573227355399,""
"24",2099,"G12",13.4,30,1.24682889850148,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"A","EXPL2_1A","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"25",2099,"G12",13.4,32,1.32995082506824,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"B","EXPL3_2B","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"26",1286,"G13",13.8,36,1.36982548423331,3,"m","02-07-2020","17:27","17:37","EXPL",1,9,"A","EXPL1_9A","E","18:54",1134,0,NA,2700,0,NA,NA,"18:59",5,1.6094379124341,""
"27",1286,"G13",13.8,36,1.36982548423331,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"C","EXPL2_2C","E","04:17",257,0,NA,2700,0,NA,NA,"04:42",25,3.2188758248682,""
"28",1286,"G13",13.8,35,1.33177477633794,3,"m","16-07-2020","10:11","10:21","EXPL",3,1,"C","EXPL3_1C","E","01:25",85,0,"01:32",92,1,7,1.94591014905531,"02:09",44,3.78418963391826,""
"29",2045,"G14",16.3,58,1.33926087116149,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"C","EXPL1_9C","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"30",2045,"G14",16.3,58,1.33926087116149,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"B","EXPL2_1B","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"31",2045,"G14",16.3,59,1.36235157583669,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"E","EXPL3_1E","E",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"32",2028,"G17",14.9,45,1.36035954605104,2,"m","02-07-2020","08:42","08:52","EXPL",1,1,"E","EXPL1_1E","D",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"33",2028,"G17",14.9,45,1.36035954605104,2,"m","09-07-2020","16:02","16:12","EXPL",2,8,"A","EXPL2_8A","D","14:20",860,0,NA,2700,0,NA,NA,"14:31",11,2.39789527279837,""
