"","comparison","method","rho","p.value"
"1","GULD_behav_merged$avespeed_tot and GULD_behav_merged$avespeed_mob","Spearmans rank correlation rho",0.678546777250666,0
"2","GULD_behav_merged$avespeed_tot and GULD_behav_merged$aveacceler","Spearmans rank correlation rho",0.95194635872602,0
"3","GULD_behav_merged$avespeed_tot and GULD_behav_merged$propmoving.exp","Spearmans rank correlation rho",0.928368739934044,0
"4","GULD_behav_merged$avespeed_tot and GULD_behav_merged$dist","Spearmans rank correlation rho",0.994624186049909,0
"5","GULD_behav_merged$avespeed_tot and GULD_behav_merged$timefrozen_tot.ln","Spearmans rank correlation rho",-0.876626080102845,1.17956847455116e-38
"6","GULD_behav_merged$avespeed_tot and GULD_behav_merged$centretime.lnplus1","Spearmans rank correlation rho",0.26110425329574,0.00429231530995306
"7","GULD_behav_merged$avespeed_tot and GULD_behav_merged$emergelat.bin","Spearmans rank correlation rho",0.390688152083205,1.88405798510828e-05
"8","GULD_behav_merged$avespeed_tot and GULD_behav_merged$endpointlat.bin","Spearmans rank correlation rho",0.347820979840743,0.000160105013824926
"9","GULD_behav_merged$avespeed_tot and GULD_behav_merged$endpointspeed.ln","Spearmans rank correlation rho",-0.040415345905476,0.745392239814544
"10","GULD_behav_merged$avespeed_tot and GULD_behav_merged$refugereturnlat.ln","Spearmans rank correlation rho",0.20676117979568,0.0607326489000217
"11","GULD_behav_merged$avespeed_mob and GULD_behav_merged$aveacceler","Spearmans rank correlation rho",0.520215909049409,2.48509623573973e-09
"12","GULD_behav_merged$avespeed_mob and GULD_behav_merged$propmoving.exp","Spearmans rank correlation rho",0.410880910382406,4.66408614021177e-06
"13","GULD_behav_merged$avespeed_mob and GULD_behav_merged$dist","Spearmans rank correlation rho",0.645495747190662,0
"14","GULD_behav_merged$avespeed_mob and GULD_behav_merged$timefrozen_tot.ln","Spearmans rank correlation rho",-0.408420921928967,4.40670548374622e-06
"15","GULD_behav_merged$avespeed_mob and GULD_behav_merged$centretime.lnplus1","Spearmans rank correlation rho",0.251221632244767,0.00606830110504083
"16","GULD_behav_merged$avespeed_mob and GULD_behav_merged$emergelat.bin","Spearmans rank correlation rho",0.144337567297406,0.127192141058751
"17","GULD_behav_merged$avespeed_mob and GULD_behav_merged$endpointlat.bin","Spearmans rank correlation rho",0.145965434597753,0.122914160198919
"18","GULD_behav_merged$avespeed_mob and GULD_behav_merged$endpointspeed.ln","Spearmans rank correlation rho",-0.00764776555424768,0.951022754454429
"19","GULD_behav_merged$avespeed_mob and GULD_behav_merged$refugereturnlat.ln","Spearmans rank correlation rho",0.0511523190914529,0.646052381860225
"20","GULD_behav_merged$aveacceler and GULD_behav_merged$propmoving.exp","Spearmans rank correlation rho",0.959425752047886,0
"21","GULD_behav_merged$aveacceler and GULD_behav_merged$dist","Spearmans rank correlation rho",0.957424430006683,0
"22","GULD_behav_merged$aveacceler and GULD_behav_merged$timefrozen_tot.ln","Spearmans rank correlation rho",-0.871133380572463,1.25241769627636e-37
"23","GULD_behav_merged$aveacceler and GULD_behav_merged$centretime.lnplus1","Spearmans rank correlation rho",0.196962171433862,0.0325355350259095
"24","GULD_behav_merged$aveacceler and GULD_behav_merged$emergelat.bin","Spearmans rank correlation rho",0.461771690865011,2.63110647742389e-07
"25","GULD_behav_merged$aveacceler and GULD_behav_merged$endpointlat.bin","Spearmans rank correlation rho",0.399912733451837,1.14171205892079e-05
