"","mergeID","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","TrialDay","TrialRound","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving.exp","dist","timefrozen_tot.ln","centretime.lnplus1","emergelat.bin","endpointlat.bin","endpointspeed.ln","refugereturnlat.ln","PC1","PC2"
"1","G02_1",2182,"G02",14.2,37,1.29222069173621,1,"m",1,6,"ACT1_6A","E",38.30709839,55.19351578,134.6135864,1.95028714971769,48767.42578,2.92852352386054,4.4224485491728,1,1,2.99573227355399,3.89182029811063,-0.542764631471904,0.39102237756911
"2","G02_2",2182,"G02",14.2,39,1.36207045885709,1,"m",2,3,"ACT2_3G","E",28.46555901,48.07709122,106.6117859,1.71509989716964,38314.12891,5.33849915618087,3.82209829790016,1,1,2.63905732961526,5.04985600724954,-0.019180423588551,0.659623848341341
"3","G02_3",2182,"G02",14.2,38,1.32714557529665,1,"m",3,3,"ACT3_3F","E",22.48516083,44.55726624,95.28782654,1.57678333353855,30658.35547,5.84006009294875,4.20319896713418,1,1,2.83321334405622,5.02388052084628,0.193071980988801,0.823878089549274
"4","G04_1",2060,"G04",15.4,52,1.42377440404089,1,"m",1,5,"ACT1_5G","E",47.70784378,73.29097748,166.8454437,1.87358485788583,59720.80859,5.08944647452055,2.56494935746154,0,0,NA,NA,-0.412602237985218,-1.17338210479957
"5","G04_2",2060,"G04",15.4,52,1.42377440404089,1,"m",2,3,"ACT2_3E","E",39.67568207,58.80266571,135.9953156,1.90941403112127,50397.68359,4.5368913452348,2.72785282839839,0,0,6.77764659363512,3.46573590279973,-0.197653628820779,-0.941846864805589
"6","G04_3",2060,"G04",15.4,52,1.42377440404089,1,"m",3,2,"ACT3_2H","E",34.72232819,52.92420578,134.7354431,1.86320855101207,45930.3125,4.60015764416455,2.68102152871429,0,0,5.36129216570943,2.94443897916644,-0.0729601616177215,-0.828183615748557
"7","G05_1",2016,"G05",13.7,35,1.36115111382996,3,"f",1,5,"ACT1_5F","E",27.89889336,68.00580597,91.5513916,1.46804494616172,35069.96484,5.92879095257992,3.67630067190708,1,1,2.83321334405622,5.25749537202778,0.0528142751074793,0.560277496586045
"8","G05_2",2016,"G05",13.7,35,1.36115111382996,3,"f",2,3,"ACT2_3A","E",23.43832779,64.70928192,76.68884277,1.39896369546507,29405.24023,6.34405616560908,3.37073817417745,NA,NA,NA,NA,NA,NA
"9","G06_1",2153,"G06",13.2,29,1.26088710799455,1,"m",1,6,"ACT1_6D","E",61.23959732,77.69376373,201.8768311,2.1634568933782,77516.76563,2.90690105984738,4.16821441078856,1,1,2.30258509299405,3.3322045101752,-1.23713319318041,-0.0836907980989136
"10","G06_2",2153,"G06",13.2,29,1.26088710799455,1,"m",2,3,"ACT2_3C","E",52.02302933,71.11708069,160.4956665,1.98167498081687,65426.58203,4.36944785246702,3.99452422693989,1,1,2.30258509299405,3.2188758248682,-0.78088633605936,0.193436249116649
"11","G06_3",2153,"G06",13.2,30,1.30436597378746,1,"m",3,3,"ACT3_3C","E",41.73993301,63.42619705,146.7123718,1.87605370392503,53501.11328,5.32252205524485,4.40182926197006,1,1,3.2188758248682,4.38202663467388,-0.462973162108347,0.414296481155614
"12","G07_1",2220,"G07",14.3,35,1.19690569101298,1,"m",1,5,"ACT1_5D","E",35.05659103,55.09522629,137.5100403,1.83643605918284,45726.67578,3.85862222870103,3.23867845216438,0,0,4.969813299576,5.08140436498446,-0.137867728676786,-0.658684936015676
"13","G07_2",2220,"G07",14.3,36,1.2311029964705,1,"m",2,4,"ACT2_4E","E",34.46004486,55.12825394,131.2836914,1.81672853429065,44280.88672,5.03370056702725,3.7635229971097,1,1,2.07944154167984,4.74493212836325,-0.242949988096444,0.562046787907793
"14","G07_3",2220,"G07",14.3,34,1.16270838555547,1,"m",3,3,"ACT3_3E","E",27.27675247,51.57026291,101.5214996,1.63980497650549,34994.01953,5.74588365067484,3.13549421592915,0,1,3.17805383034795,3.95124371858143,0.208251391088365,0.216222066047655
"15","G09_1",2026,"G09",10.9,19,1.46714861211602,2,"m",1,6,"ACT1_6C","E",32.16679764,62.98014832,100.8072968,1.61988305116575,40663.9375,5.29129275161107,2.54160199346455,1,1,2.39789527279837,4.17438726989564,-0.06398437254953,0.60569652166394
"16","G09_2",2026,"G09",10.9,20,1.54436696012213,2,"m",2,3,"ACT2_3H","E",32.56209564,53.12212753,127.380867,1.78468734495163,41928.85547,4.89185175810629,2.7408400239252,1,1,3.29583686600433,3.80666248977032,-0.174457723331158,0.611627164211154
"17","G09_3",2026,"G09",10.9,18,1.38993026410992,2,"m",3,2,"ACT3_2G","E",29.98181343,48.86276627,115.8547668,1.77931273888941,38918.71875,4.74319148388547,3.8286413964891,1,1,2.07944154167984,3.66356164612965,-0.121032700721836,0.762032872453797
"18","G10_1",2217,"G10",13.6,32,1.27213515163851,2,"m",1,6,"ACT1_6E","E",47.73799515,62.24736023,170.9520569,2.11385900418298,59690.48047,2.59525470695687,4.9177887437299,1,1,3.09104245335832,3.73766961828337,-0.899812102976655,0.213290169162521
"19","G10_2",2217,"G10",13.6,32,1.27213515163851,2,"m",2,4,"ACT2_4A","E",46.47907257,63.44868851,166.0714722,2.04022837475565,58011.85938,4.68213122712422,5.04277974742282,1,1,2.07944154167984,5.03043792139244,-0.695430421072871,0.311082140620713
"20","G10_3",2217,"G10",13.6,32,1.27213515163851,2,"m",3,2,"ACT3_2F","E",45.39306641,64.00636292,148.194931,1.9600284138508,56828.22656,4.76898827121749,4.0517849478033,1,1,2.83321334405622,5.18738580584075,-0.573622437875491,0.338988479512894
"21","G11_1",2233,"G11",13.5,37,1.50383579738861,2,"m",1,5,"ACT1_5H","E",39.07988358,59.86493683,147.0727997,1.86820586904058,50045.89844,4.36691299686383,3.75185425327532,0,0,NA,4.31748811353631,-0.259629589194991,-0.868308251782622
"22","G11_2",2233,"G11",13.5,37,1.50383579738861,2,"m",2,4,"ACT2_4C","E",3.328862906,50.65876007,14.42383194,1.03303762446913,5028.974121,7.03359466382128,2.2082744135228,0,0,NA,NA,1.17898741850305,-0.106344538248077
"23","G11_3",2233,"G11",13.5,36,1.46319158664838,2,"m",3,3,"ACT3_3A","E",9.287032127,45.91150284,37.36274719,1.17327095713957,12601.42676,6.8060547241558,4.21064501791826,0,0,NA,4.55387689160054,0.931278013462705,-0.134312801854627
"24","G12_1",2099,"G12",13.4,30,1.24682889850148,2,"m",1,5,"ACT1_5B","E",36.90002823,76.80284119,127.0428085,1.57824272859982,46231.17969,5.45617545116362,3.22286784613774,0,0,NA,2.99573227355399,-0.0550159555313635,-0.777544424444096
"25","G12_2",2099,"G12",13.4,30,1.24682889850148,2,"m",2,4,"ACT2_4D","E",25.7948494,56.14007187,100.2844238,1.51808940528306,32937.01172,5.58499893866623,3.47815842279828,0,0,NA,NA,0.315854235654868,-0.415897343518436
"26","G12_3",2099,"G12",13.4,32,1.32995082506824,2,"m",3,2,"ACT3_2E","E",20.3107338,58.79472351,74.04272461,1.36867130518354,26023.45117,6.45504131827336,3.23867845216438,0,0,NA,NA,0.560981959251906,-0.362908410666431
