"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"1",98,2182,"G02",14.2,1,"m","02-07-2020","18:30","18:40","EXPL","1","10","A","E","00:04",4,"00:24",24,20,"00:53",49,"","EXPL1_10A",1,1,1,1,2.99573227355399,3.89182029811063,37
"2",97,2182,"G02",14.2,1,"m","09-07-2020","09:38","09:48","EXPL","2","2","B","E","00:02",2,"00:16",16,14,"02:38",156,"","EXPL2_2B",1,1,1,1,2.63905732961526,5.04985600724954,39
"3",99,2182,"G02",14.2,1,"m","16-07-2020","10:11","10:21","EXPL","3","1","A","E","00:04",4,"00:21",21,17,"02:36",152,"","EXPL3_1A",1,1,1,1,2.83321334405622,5.02388052084628,38
"4",53,2060,"G04",15.4,1,"m","02-07-2020","18:30","18:40","EXPL","1","10","C","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_10C",0,0,0,0,NA,NA,52
"5",52,2060,"G04",15.4,1,"m","09-07-2020","08:34","08:44","EXPL","2","1","E","E","09:57",597,"24:35",1475,878,"10:29",32,"","EXPL2_1E",1,0,1,0,6.77764659363512,3.46573590279973,52
"6",51,2060,"G04",15.4,1,"m","16-07-2020","11:15","11:25","EXPL","3","2","C","E","02:15",135,"05:48",348,213,"02:34",19,"","EXPL3_2C",1,0,1,0,5.36129216570943,2.94443897916644,52
"7",20,2016,"G05",13.7,3,"f","02-07-2020","16:25","16:35","EXPL","1","8","B","E","00:01",1,"00:18",18,17,"03:13",192,"","EXPL1_8B",1,1,1,1,2.83321334405622,5.25749537202778,35
"8",90,2153,"G06",13.2,1,"m","02-07-2020","16:25","16:35","EXPL","1","8","D","E","00:11",11,"00:21",21,10,"00:39",28,"","EXPL1_8D",1,1,1,1,2.30258509299405,3.3322045101752,29
"9",89,2153,"G06",13.2,1,"m","09-07-2020","09:38","09:48","EXPL","2","2","E","E","00:04",4,"00:14",14,10,"00:29",25,"","EXPL2_2E",1,1,1,1,2.30258509299405,3.2188758248682,29
"10",91,2153,"G06",13.2,1,"m","16-07-2020","11:15","11:25","EXPL","3","2","A","E","00:01",1,"00:26",26,25,"01:21",80,"","EXPL3_2A",1,1,1,1,3.2188758248682,4.38202663467388,30
