"","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","PITID","FishID","Treatment","TL","SL","Sex","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","avespeed_tot.sqrt","aveacceler.sqrt","dist.sqrt","centretime.lnplus1"
"1","10-11-2020","10:30","ACT",4,1,"A","D_1",NA,"K01","cont",13.9,11.2,"M",43,15.65119362,69.8789444,43.78552246,0.20438382,19317.11328,843.8,36.7,0,"some fin and scale loss","ACT4_1A",3.95615894776739,6.61706297839155,138.986018289611,0
"2","10-11-2020","10:30","ACT",4,1,"B","D_1",1476,"K02","clip",15.8,13.4,"M",53,22.59120941,69.9227829,68.09185028,0.304223329,28089.45117,679.5,11.3,52.5,"","ACT4_1B",4.75302108242747,8.25177861312335,167.599078666919,3.97968165390196
"3","10-11-2020","10:30","ACT",4,1,"C","D_1",1340,"K03","pit",13.6,11.5,"M",41,7.757966995,70.64373779,28.19279099,0.092454717,9687.350586,1079.6,20.8,58.6,"","ACT4_1C",2.78531272840232,5.30968840799533,98.4243393983419,4.0876555740713
"4","10-11-2020","10:30","ACT",4,1,"D","D_1",1262,"K04","pit",13.5,11.3,"F",37,19.72430801,57.70362091,68.7504425,0.31864652,24926.83203,660.3,12,87.7,"","ACT4_1D",4.44120569327745,8.29158865959956,157.882336029082,4.48525988931553
"5","10-11-2020","10:30","ACT",4,1,"E","D_1",1370,"K05","clip",13.9,11.8,"M",42,22.9755497,50.10890961,78.46885681,0.424630523,29045.21094,435.2,6.9,44.8,"","ACT4_1E",4.79328172549872,8.85826488709838,170.426555853247,3.82428409112014
"6","10-11-2020","10:30","ACT",4,1,"F","D_1",NA,"K06","cont",12.8,10.7,"F",35,20.386549,58.65526581,71.84046936,0.323110312,25574.05273,668.7,9.8,99,"some scale damage","ACT4_1F",4.51514661998921,8.4758757282065,159.918894224541,4.60517018598809
"7","10-11-2020","10:30","ACT",4,1,"G","D_2",1351,"K07","pit",12.6,11,"M",29,1.170659184,41.18486786,8.453170776,0.005861762,1673.454346,1190.5,366.8,5.7,"some scale damage","ACT4_1G",1.08197004764457,2.90743370964842,40.9078763320708,1.90210752639692
"8","10-11-2020","10:30","ACT",4,1,"H","D_2",1439,"K08","pit",12.9,11.1,"M",36,36.91772079,71.19754028,107.8429718,0.501305699,45331.11719,383.5,6.8,322.7,"some scale damage","ACT4_1H",6.07599545671324,10.3847470744357,212.911054644892,5.7798171609322
"9","10-11-2020","12:00","ACT",4,2,"A","D_2",1422,"K09","clip",17.2,14.7,"M",84,39.04538345,69.87278748,117.9376144,0.538476527,48749.46875,280.3,6.5,133.2,"","ACT4_2A",6.24863052596327,10.8599085815673,220.79281861057,4.89933122453758
"10","10-11-2020","12:00","ACT",4,2,"B","D_2",1376,"K10","clip",13.9,11.9,"M",44,26.77448654,63.76809692,77.99697113,0.396811277,33051.33984,435.9,6.3,96.5,"","ACT4_2B",5.17440687808757,8.83158938866612,181.800274587251,4.5798523780038
"11","10-11-2020","12:00","ACT",4,2,"C","D_2",NA,"K11","cont",15,12.8,"M",60,32.58262634,62.16308975,91.55573273,0.50019449,40392.05469,242.4,5,53,"darker","ACT4_2C",5.70811933477218,9.56847598784676,200.977746753216,3.98898404656427
"12","10-11-2020","12:00","ACT",4,2,"D","D_2",NA,"K12","cont",15,12.9,"M",48,2.049241543,18.28757477,13.218894,0.006278475,2999.01709,1185.3,395.1,0,"","ACT4_2D",1.43151721715109,3.63577969629624,54.7632823157999,0
"13","10-11-2020","12:00","ACT",4,2,"E","D_3",1264,"K13","clip",13.8,11.5,"F",40,37.27820969,69.72660828,105.0741806,0.515390575,45937.59766,279.9,7.4,332.3,"","ACT4_2E",6.10558839834458,10.2505697695299,214.330580319282,5.80904298531369
"14","10-11-2020","12:00","ACT",4,2,"F","D_3",1265,"K14","clip",17.1,14.9,"M",72,39.48986816,65.94791412,120.0012741,0.573964834,49408.13672,251.4,9.3,104.9,"minor scale damage","ACT4_2F",6.28409644738207,10.9545093043915,222.279411372264,4.66249525260736
"15","10-11-2020","12:00","ACT",4,2,"G","D_3",1375,"K15","pit",13.6,11.3,"M",39,64.92362976,88.01369476,160.5174408,0.725045204,79180.64844,9.8,3.3,44.8,"","ACT4_2G",8.05752007506032,12.669547774092,281.390562101859,3.82428409112014
"16","10-11-2020","12:00","ACT",4,2,"H","D_3",NA,"K16","cont",12.9,10.8,"M",30,28.9544735,63.07371902,88.88752747,0.437937558,35841.35938,436.5,6.6,29.1,"","ACT4_2H",5.38093611744276,9.42801821540455,189.318143293241,3.40452517175483
"17","10-11-2020","13:20","ACT",4,3,"A","D_3",NA,"K17","cont",16.8,14.1,"M",71,33.90310287,65.32775116,98.35940552,0.49316591,42337.64844,311.2,9.7,13.2,"small wound","ACT4_3A",5.82263710615731,9.91763104375233,205.761144145341,2.65324196460721
"18","10-11-2020","13:20","ACT",4,3,"B","D_3",1380,"K18","pit",13.3,11.2,"M",38,36.16565323,82.04193115,99.46498871,0.423455745,44384.00781,477.1,7,67.6,"","ACT4_3B",6.01378859206075,9.97321355983115,210.675123851868,4.22829253473184
"19","10-11-2020","13:20","ACT",4,3,"C","D_4",1256,"K19","pit",12.1,10.7,"M",21,29.42237473,71.30525208,86.84324646,0.388969451,36619.48438,533.2,6.3,22.1,"","ACT4_3C",5.42423955315397,9.31897239291973,191.362181164409,3.13983261752775
"20","10-11-2020","13:20","ACT",4,3,"D","D_4",NA,"K20","cont",11.5,9.9,"M",30,30.36771011,55.35873032,96.89719391,0.523447037,37725.0625,233.6,6,185.2,"","ACT4_3D",5.5106905293257,9.84363722970326,194.229406887835,5.22682136484297
"21","10-11-2020","13:20","ACT",4,3,"E","D_4",1434,"K21","pit",10.1,8.7,"F",14,31.99065781,61.15944672,96.73139954,0.502350688,39789.89453,353.4,6.5,7.6,"some scale loss and some bleeding with PIT","ACT4_3E",5.65602844847867,9.835212226485,199.474044752695,2.15176220325946
"22","10-11-2020","13:20","ACT",4,3,"F","D_4",1332,"K22","clip",13.4,11.5,"M",39,38.63721085,70.69963074,96.56967926,0.525670648,47597.19531,319.8,6.3,63.5,"reproductive; changed treatment group for cont fish could be differentiated","ACT4_3F",6.21588375454368,9.82698729316366,218.16781456026,4.16666522380173
"23","10-11-2020","13:20","ACT",4,3,"G","D_4",NA,"K23","cont",13.5,11.2,"M",32,71.18417358,99.69680786,174.2389069,0.703134596,87099.47656,101.9,4.6,43.4,"significant scale loss; changed treatment group for cont fish could be differentiated","ACT4_3G",8.43707138644684,13.199958594632,295.126204461752,3.79323946943818
"24","10-11-2020","13:20","ACT",4,3,"H","D_4",1317,"K24","clip",12.7,10.8,"F",32,30.08362389,70.38905334,93.33988953,0.408239812,37026.91406,438.9,9.1,94.8,"some scale loss","ACT4_3H",5.4848540445485,9.66125714024836,192.423787666702,4.56226268497681
"25","10-11-2020","14:45","ACT",4,4,"A","E_1",1381,"K25","pit",11.8,10,"M",28,52.5291481,70.12846375,157.3625336,0.732370794,64769.43359,16,4,161.5,"significant scale loss","ACT4_4A",7.24769950398056,12.5444224099797,254.498396046026,5.09067800176979
"26","10-11-2020","14:45","ACT",4,4,"B","E_1",NA,"K26","cont",12.2,10.4,"F",24,1.092117906,13.94293499,10.62366581,0.004194911,1570.184937,1198.9,599.5,0,"","ACT4_4B",1.04504445168615,3.25939654077254,39.6255591380109,0
"27","10-11-2020","14:45","ACT",4,4,"C","E_1",1263,"K27","pit",15.5,13.3,"M",60,1.930147171,18.42295456,15.79518318,0.031586844,2858.563477,1181.5,196.9,0,"minor scale loss","ACT4_4C",1.38929736593718,3.97431543539262,53.4655354130116,0
"28","10-11-2020","14:45","ACT",4,4,"D","E_1",1321,"K28","clip",14.7,12.3,"F",58,21.28680038,52.79386139,69.90943146,0.373624861,26372.10352,515.8,6.4,270.5,"minor scale loss","ACT4_4D",4.61376206365261,8.36118600797758,162.394899919917,5.60396213937399
"29","10-11-2020","14:45","ACT",4,4,"E","E_1",1496,"K29","clip",14.4,12.1,"F",49,55.49400711,79.25491333,155.9038086,0.685437262,68085.44531,61.6,5.6,80.7,"","ACT4_4E",7.44942998557608,12.4861446651879,260.931878677175,4.40305400186596
"30","10-11-2020","14:45","ACT",4,4,"F","E_1",NA,"K30","cont",14.1,12,"M",48,2.728691816,66.30818176,11.35800838,0.028642071,3539.652588,1156.4,89,2,"","ACT4_4F",1.65187524226256,3.37016444405907,59.4949795192838,1.09861228866811
"31","10-11-2020","14:45","ACT",4,4,"G","E_2",1371,"K31","clip",13.9,11.8,"F",41,2.017590284,33.94814682,14.43712711,0.021002334,2829.50415,1180.8,295.2,0,"","ACT4_4G",1.42041905225183,3.79962196935432,53.1930836669581,0
"32","10-11-2020","14:45","ACT",4,4,"H","E_2",1421,"K32","pit",14.4,12.2,"M",57,24.67620277,57.79279327,75.40032196,0.403600395,30726.82031,572.5,16.4,53.1,"","ACT4_4H",4.96751474783921,8.68333587741486,175.290673767888,3.99083418585244
"33","10-11-2020","16:00","ACT",4,5,"A","E_2",NA,"K33","cont",15,13,"M",63,16.36797333,55.29278946,61.14726639,0.269805074,20683.54297,744.8,21.9,84.4,"","ACT4_5A",4.04573520265477,7.81967175717754,143.817742194765,4.44734610079452
"34","10-11-2020","16:00","ACT",4,5,"B","E_2",NA,"K34","cont",13.2,11.3,"F",31,8.084454536,61.94426346,31.27502251,0.111845762,10161.64258,1028.2,64.3,1.4,"","ACT4_5B",2.84331752289469,5.59240757724256,100.804972992407,0.8754687373539
"35","10-11-2020","16:00","ACT",4,5,"C","E_2",1442,"K35","clip",14.6,12.4,"F",55,1.482558131,25.77523994,10.05503654,0.007334148,2193.111328,1184.9,296.2,0,"","ACT4_5C",1.21760343749515,3.1709677607948,46.8306665338003,0
"36","10-11-2020","16:00","ACT",4,5,"D","E_2",1419,"K36","pit",12.5,10.6,"F",31,32.58526993,54.77859497,112.0394211,0.570980132,40955.54688,249.2,7.3,47.5,"","ACT4_5D",5.70835089408491,10.5848675523126,202.374768387761,3.88156379794344
"37","10-11-2020","16:00","ACT",4,5,"E","E_3",1322,"K37","pit",13.7,11.8,"M",45,23.83658981,61.16049957,78.81627655,0.366012901,29601.67188,568.5,10.7,34.6,"","ACT4_5E",4.88227301674128,8.87785314983302,172.051364074802,3.57234563785798
"38","10-11-2020","16:00","ACT",4,5,"F","E_3",1270,"K38","clip",18.6,15.7,"F",86,29.8832016,63.07825089,89.8767395,0.447809577,37508.12109,512.2,13.8,9.8,"","ACT4_5F",5.46655299068801,9.48033435591804,193.670134739458,2.37954613413017
"39","10-11-2020","16:00","ACT",4,5,"G","E_3",NA,"K39","cont",14.3,12.2,"F",49,13.42574787,71.89375305,44.55371475,0.165351704,16759.84375,958.7,35.5,2.1,"","ACT4_5G",3.66411624679131,6.67485690857864,129.45981519375,1.1314021114911
"40","10-11-2020","16:00","ACT",4,5,"H","E_3",NA,"K40","cont",13.7,11.6,"M",41,7.709747314,58.47446823,28.60262871,0.109817758,9754.520508,1008.1,34.8,46.9,"","ACT4_5H",2.77664317369013,5.34814254765147,98.7649761200801,3.86911550441687
