run line,sample ID,d15N ‰  vs AIR ,d13C ‰  vs VPDB,% N,% C,run ID,date_packed,row,position,weight_packed (mg)
6,G01A,11.4,-13.9,0.083,0.273,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,1,0.47
7,G02A,11.2,-14.9,0.086,0.277,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,2,0.54
31,G02B,10.6,-15.4,0.082,0.269,Nick Moran 2020 0417 201025 set 2,28-07-2020,A,3,0.57
6,G02C,10.8,-15.1,0.098,0.331,Nick Moran 2020 0417 201107 set 3,28-07-2020,A,4,0.47
8,G03A,11,-14.9,0.086,0.283,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,5,0.53
9,G04A,11.1,-14.7,0.133,0.448,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,6,0.47
10,G05A,9.8,-15,0.076,0.239,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,7,0.48
11,G06A,12.1,-15.4,0.076,0.26,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,8,0.48
32,G06B,10.9,-15.2,0.098,0.333,Nick Moran 2020 0417 201025 set 2,28-07-2020,A,9,0.47
7,G06C,11.5,-15.3,0.089,0.331,Nick Moran 2020 0417 201107 set 3,28-07-2020,A,10,0.47
12,G07A,10.8,-13.5,0.095,0.307,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,11,0.58
13,G08A,10.5,-17.5,0.099,0.346,Nick Moran 2020 0417 201025 set 1,28-07-2020,A,12,0.52
14,G09A,11.7,-16.4,0.08,0.269,Nick Moran 2020 0417 201025 set 1,28-07-2020,B,1,0.57
15,G10A,11.8,-18.7,0.087,0.297,Nick Moran 2020 0417 201025 set 1,28-07-2020,B,2,0.56
33,G10B,11.8,-19.3,0.11,0.383,Nick Moran 2020 0417 201025 set 2,28-07-2020,B,3,0.47
8,G10C,11.2,-18.7,0.098,0.345,Nick Moran 2020 0417 201107 set 3,28-07-2020,B,4,0.54
16,G11A,11.7,-16.6,0.134,0.463,Nick Moran 2020 0417 201025 set 1,28-07-2020,B,5,0.5
17,G12A,11.6,-16.8,0.128,0.437,Nick Moran 2020 0417 201025 set 1,28-07-2020,B,6,0.48
18,G13A,11,-14.9,0.111,0.37,Nick Moran 2020 0417 201025 set 1,28-07-2020,B,7,0.56
