FishID,Treatment,TankID,TrialID,PITID,DaystoDeath,SurvivalTime,Status,DeceasedDate
K26,cont,E_1,ACT4_4,NA,2,2,2,12-11-2020 (euthanised with fin damage and significant scale loss)
K07,pit,D_2,ACT4_1,1351,2,2,2,12-11-2020 (euthanised with new wound and more scale loss)
K45,cont,E_4,ACT4_6,NA,4,4,2,"16-11-2020 (dead in tank, ID by body length and wound)"
K09,clip,D_2,ACT4_2,1422,4,4,2,"16-11-2020 (dead in tank, ID by tag)"
K03,pit,D_1,ACT4_1,1340,4,4,2,"16-11-2020 (dead in tank, storage bag has wrong TankID, ID by tag)"
K30,cont,E_1,ACT4_4,NA,5,5,2,"17-11-2020 (dead in tank, confirmed ID, sex male on recheck)"
K12,cont,D_2,ACT4_2,NA,5,5,2,"17-11-2020 (dead in tank, ID by length, weight, dark mottling)"
K48,cont,E_4,ACT4_6,NA,10,10,2,"20-11-2020 (dead in tank, ID by length weight)"
K18,pit,D_3,ACT4_3,1380,10,10,2,"20-11-2020 (dead in tank, ID by PIT)"
K19,pit,D_4,ACT4_3,1256,10,10,2,"20-11-2020 (dead in tank, ID by PIT)"
K25,pit,E_1,ACT4_4,1381,10,10,2,"20-11-2020 (dead in tank, ID by PIT)"
K41,pit,E_3,ACT4_6,1308,10,10,2,"20-11-2020 (dead in tank, ID by PIT)"
K34,cont,E_2,ACT4_5,NA,10,10,2,"20-11-2020 (dead in tank, ID by sex, length, weight)"
K44,clip,E_4,ACT4_6,1298,10,10,2,"20-11-2020 (euthanaised post trial, unable to right itself)"
K10,clip,D_2,ACT4_2,1376,38,37.5,2,"18-12-2020 (dead in tank, ID by tag)"
K16,cont,D_3,ACT4_2,NA,41,40,2,"21-12-2020 (dead in tank, ID by length, weight)"
K27,pit,E_1,ACT4_4,1263,43,42,2,"23-12-2020 (dead in tank, ID by PIT)"
K02,clip,D_1,ACT4_1,1476,55,54,2,"04-01-2020 (dead in tank, ID by tag)"
K01,cont,D_1,ACT4_1,NA,NA,57,1,
K04,pit,D_1,ACT4_1,1262,NA,57,1,
K05,clip,D_1,ACT4_1,1370,NA,57,1,
K06,cont,D_1,ACT4_1,NA,NA,57,1,
K08,pit,D_2,ACT4_1,1439,NA,57,1,
K11,cont,D_2,ACT4_2,NA,NA,57,1,
K13,clip,D_3,ACT4_2,1264,NA,57,1,
K14,clip,D_3,ACT4_2,1265,NA,57,1,
K15,pit,D_3,ACT4_2,1375,NA,57,1,
K17,cont,D_3,ACT4_3,NA,NA,57,1,
K20,cont,D_4,ACT4_3,NA,NA,57,1,
K21,pit,D_4,ACT4_3,1434,NA,57,1,
K22,clip,D_4,ACT4_3,1332,NA,57,1,
K23,cont,D_4,ACT4_3,NA,NA,57,1,
K24,clip,D_4,ACT4_3,1317,NA,57,1,
K28,clip,E_1,ACT4_4,1321,NA,57,1,
K29,clip,E_1,ACT4_4,1496,NA,57,1,
K31,clip,E_2,ACT4_4,1371,NA,57,1,
K32,pit,E_2,ACT4_4,1421,NA,57,1,
K33,cont,E_2,ACT4_5,NA,NA,57,1,
K35,clip,E_2,ACT4_5,1442,NA,57,1,
K36,pit,E_2,ACT4_5,1419,NA,57,1,
K37,pit,E_3,ACT4_5,1322,NA,57,1,
K38,clip,E_3,ACT4_5,1270,NA,57,1,
K39,cont,E_3,ACT4_5,NA,NA,57,1,
K40,cont,E_3,ACT4_5,NA,NA,57,1,
K42,clip,E_3,ACT4_6,1272,NA,57,1,
K43,pit,E_4,ACT4_6,1285,NA,57,1,
K46,pit,E_4,ACT4_6,1408,NA,57,1,
K47,clip,E_4,ACT4_6,1292,NA,57,1,
