"","taxaID","sampleID","d15N","d13C","N_percent","C_percent","rep","CN_ratio","Phylum","Class","Order","Family","Genus.Species"
"1","V01","V01A",5.8,-14.5,0.119,0.436,"A",3.66386554621849,"Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma glaucum"
"2","V01","V01B",6.1,-15.5,0.113,0.449,"B",3.97345132743363,"Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma glaucum"
"3","V01","V01C",6.5,-15.9,0.093,0.384,"C",4.12903225806452,"Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma glaucum"
"4","V02","V02A",6.3,-16,0.152,0.588,"A",3.86842105263158,"Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus edulis"
"5","V02","V02B",5.5,-16.3,0.142,0.469,"B",3.30281690140845,"Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus edulis"
"6","V02","V02C",5.8,-16.9,0.119,0.454,"C",3.81512605042017,"Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus edulis"
"7","V03","V03A",6.8,-16.9,0.109,0.413,"A",3.78899082568807,"Mollusca","Bivalvia","Myida","Myidae","Mya arenaria"
"8","V03","V03B",7.5,-16.3,0.144,0.525,"B",3.64583333333333,"Mollusca","Bivalvia","Myida","Myidae","Mya arenaria"
"9","V03","V03C",9,-16.8,0.136,0.446,"C",3.27941176470588,"Mollusca","Bivalvia","Myida","Myidae","Mya arenaria"
"10","V04","V04A",5.6,-13.7,0.116,0.488,"A",4.20689655172414,"Mollusca","Gastropoda","Cycloneritida","Neritidae","Theodoxus fluviatilis"
"11","V04","V04B",6.4,-14.2,0.14,0.592,"B",4.22857142857143,"Mollusca","Gastropoda","Cycloneritida","Neritidae","Theodoxus fluviatilis"
"12","V04","V04C",6.2,-14.4,0.122,0.478,"C",3.91803278688525,"Mollusca","Gastropoda","Cycloneritida","Neritidae","Theodoxus fluviatilis"
"13","V05","V05A",4.4,-14.1,0.115,0.583,"A",5.0695652173913,"Mollusca","Gastropoda","Littorinimorpha","spp.",""
"14","V05","V05B",4.4,-12.3,0.037,0.258,"B",6.97297297297297,"Mollusca","Gastropoda","Littorinimorpha","spp.",""
"15","V05","V05C",5.4,-14.5,0.102,0.458,"C",4.49019607843137,"Mollusca","Gastropoda","Littorinimorpha","spp.",""
"16","V06","V06A",9.1,-15.1,0.149,0.485,"A",3.25503355704698,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon crangon"
"17","V06","V06B",8.9,-13,0.144,0.45,"B",3.125,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon crangon"
"18","V06","V06C",10.2,-14,0.156,0.476,"C",3.05128205128205,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon crangon"
"19","V07","V07A",9.6,-15.2,0.144,0.469,"A",3.25694444444444,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon spp. "
"20","V07","V07B",8.4,-13.6,0.135,0.439,"B",3.25185185185185,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon spp. "
"21","V07","V07C",8.8,-14.9,0.151,0.491,"C",3.25165562913907,"Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon spp. "
"22","V08","V08A",5.6,-15.5,0.067,0.326,"A",4.86567164179105,"Arthropoda","Malacostraca","Amphipoda","spp.",""
"23","V08","V08B",3.9,-14.2,0.092,0.482,"B",5.23913043478261,"Arthropoda","Malacostraca","Amphipoda","spp.",""
"24","V08","V08C",4.7,-15,0.059,0.304,"C",5.15254237288136,"Arthropoda","Malacostraca","Amphipoda","spp.",""
"25","V09","V09A",5,-14.3,0.045,0.256,"A",5.68888888888889,"Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea spp."
"26","V09","V09B",3.9,-13.8,0.047,0.258,"B",5.48936170212766,"Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea spp."
"27","V09","V09C",6.4,-15.3,0.057,0.265,"C",4.64912280701754,"Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea spp."
"28","V11","V11A",5.2,-11.7,0.139,0.431,"A",3.10071942446043,"Arthropoda","Ostracoda","Podocopida","spp.",""
"29","V11","V11B",5.2,-11.8,0.138,0.426,"B",3.08695652173913,"Arthropoda","Ostracoda","Podocopida","spp.",""
"30","V11","V11C",5.5,-13.1,0.1,0.314,"C",3.14,"Arthropoda","Ostracoda","Podocopida","spp.",""
"31","V12","V12A",5.9,-14,0.115,0.541,"A",4.70434782608696,"Arthropoda","Insecta","Diptera","spp.",""
"32","V12","V12B",2,-16.4,0.09,0.503,"B",5.58888888888889,"Arthropoda","Insecta","Diptera","spp.",""
"33","V12","V12C",4.2,-18.7,0.041,0.265,"C",6.46341463414634,"Arthropoda","Insecta","Diptera","spp.",""
"34","V15","V15A",7.7,-14.5,0.147,0.576,"A",3.91836734693878,"Annelida","Polychaeta","Capitellida","Arenicolidae","Arenicola marina"
"35","V15","V15B",9.2,-14.7,0.118,0.451,"B",3.82203389830509,"Annelida","Polychaeta","Capitellida","Arenicolidae","Arenicola marina"
"36","V15","V15C",8,-14.1,0.151,0.593,"C",3.92715231788079,"Annelida","Polychaeta","Capitellida","Arenicolidae","Arenicola marina"
"37","V16","V16A",5.2,-17.2,0.107,0.431,"A",4.02803738317757,"Annelida","Polychaeta","spp.","",""
"38","V16","V16B",8.1,-14.4,0.088,0.348,"B",3.95454545454545,"Annelida","Polychaeta","spp.","",""
"39","V16","V16C",6.2,-16.1,0.123,0.467,"C",3.79674796747967,"Annelida","Polychaeta","spp.","",""
"40","V17","V17A",9.1,-13.7,0.118,0.444,"A",3.76271186440678,"Chordata","Actinopterygii","Gasterosteiformes","Gasterosteidae","Pungitius pungitius"
"41","V17","V17B",9.8,-14.6,0.117,0.395,"B",3.37606837606838,"Chordata","Actinopterygii","Gasterosteiformes","Gasterosteidae","Pungitius pungitius"
