Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,Weight,ImageJ_width_pixel,ImageJ_height_pixel,ppmm_x_calc,ppmm_y_calc,width_pixel,height_pixel,width_mm,height_mm,arenaarea_m2,visibilityrate,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,frozenevents,timefrozen_tot.raw,timefrozen_tot,timefrozen_ave.raw,timefrozen_ave,offset,centre_0_25,centre_25_50,centre_50_75,centre_75_100,centre_100_,Notes
30-06-2020,09:17,ACT,1,1,A,C,2014,45,175.631,275.06,0.544592248,0.558497462,179,277,329,496,0.16318,0.99,34.051,47.351,132.177,0.703,44165,39,00:04:32,272,00:00:07,00:00:00,y,7423,23100,2438,759,1907,
30-06-2020,09:17,ACT,1,1,B,C,2070,18,185.888,279.741,0.576396899,0.56800203,190,281,330,495,0.16335,0.92,24.925,44.991,89.595,0.504,32740,46,00:07:36,456,00:00:10,10,y,10585,18602,3180,523,356,
30-06-2020,09:17,ACT,1,1,C,C,1492,20,183.169,277.963,0.567965891,0.564391878,185,279,326,494,0.16104,1,1.936,9.25,11.32,0.068,3788,17,00:18:56,1136,00:01:07,67,y,36000,0,0,0,0,visible wound EXCLUDED
30-06-2020,09:17,ACT,1,1,D,C,2112,32,164.343,268.607,0.509590698,0.545394924,165,274,324,502,0.16265,0.97,45.09,56.531,153.373,0.784,57730,11,00:00:47,47,00:00:04,4,n,8732,18496,5523,1447,888,
30-06-2020,09:17,ACT,1,1,E,C,2101,28,176.502,274.121,0.547293023,0.556590863,176,275,322,494,0.15907,0.98,31.545,44.586,111.336,0.686,40335,15,00:01:05,65,00:00:04,4,n,11557,19816,2573,619,886,
30-06-2020,09:17,ACT,1,1,F,C,2044,35,189.631,281.617,0.588003101,0.571811168,185,277,315,484,0.15246,1,25.575,55.631,76.054,0.442,32310,34,00:09:57,597,00:00:18,18,n,25737,10141,91,8,23,
30-06-2020,09:17,ACT,1,1,G,C,2084,12,184.988,279.741,0.573606202,0.56800203,185,280,323,493,0.15924,1,5.679,36.981,20.485,0.121,8170,29,00:18:17,1097,00:00:38,38,n,26582,8993,269,66,90,
30-06-2020,09:17,ACT,1,1,H,C,1395,41,166.249,275.175,0.515500775,0.558730964,169,272,328,487,0.15974,0.98,51.604,59.202,169.916,0.868,66134,3,00:00:34,34,00:00:11,11,y,9154,21904,2626,918,836,
30-06-2020,10:27,ACT,1,2,A,C,1384,27,174.046,275.182,0.539677519,0.558745178,171,275,317,492,0.15596,1,52.989,71.965,132.417,0.729,64741,12,00:00:51,51,00:00:04,4,n,12382,16453,3475,1307,2383,
30-06-2020,10:27,ACT,1,2,B,C,2024,50,185.024,279.088,0.573717829,0.566676142,183,277,319,489,0.15599,0.92,38.857,55.023,126.245,0.686,54420,30,00:03:42,222,00:00:07,7,n,2382,17679,8157,2234,2624,
30-06-2020,10:27,ACT,1,2,C,C,2040,35,182.003,277.007,0.564350388,0.562450761,186,275,330,489,0.16137,0.88,52.752,62.524,141.071,0.816,66431,11,00:00:45,45,00:00:04,4,y,4470,17473,5920,2085,1585,tracking failed to reach >90% detection
30-06-2020,10:27,ACT,1,2,D,C,2009,14,166.003,273.046,0.514737984,0.554408122,163,272,317,491,0.15565,1,27.756,47.342,90.517,0.569,36218,45,00:05:18,318,00:00:07,7,n,15892,14176,3607,1213,1112,
30-06-2020,10:27,ACT,1,2,E,C,2065,23,177.011,277,0.548871318,0.562436548,173,279,315,496,0.15624,1,38.991,67.07,104.953,0.57,47894,43,00:03:46,226,00:00:05,5,n,11289,18533,3307,1786,1085,
30-06-2020,10:27,ACT,1,2,F,C,1313,24,185.003,280.007,0.573652713,0.568542132,188,276,328,485,0.15908,0.97,40.405,51.446,127.309,0.77,50711,13,00:00:55,55,00:00:04,4,y,16368,15415,1593,850,732,
30-06-2020,10:27,ACT,1,2,G,C,1260,11,183.044,278.016,0.567578295,0.564499492,185,282,326,500,0.163,1,32.554,56.68,95.042,0.561,40585,68,00:07:57,477,00:00:07,7,y,7419,21090,5130,1373,988,
30-06-2020,10:27,ACT,1,2,H,C,2133,32,165.148,274.016,0.512086822,0.556377665,168,277,328,498,0.16334,1,11.277,38.916,43.268,0.259,14882,37,00:14:31,871,00:00:24,24,y,28423,5583,1349,485,160,
30-06-2020,11:28,ACT,1,3,A,D,2213,31,173.026,273.183,0.536514729,0.554686294,178,275,332,496,0.16467,1,13.864,38.889,55.085,0.329,18131,30,00:13:01,781,00:00:26,26,y,7949,21041,6034,615,361,
30-06-2020,11:28,ACT,1,3,B,D,2216,26,183.003,279.016,0.567451163,0.566529949,183,278,322,491,0.1581,0.9,38.555,53.544,133.003,0.716,48852,25,00:01:45,105,00:00:04,4,n,8780,15926,6048,1085,670,
30-06-2020,11:28,ACT,1,3,C,D,2038,70,180.011,275.007,0.558173643,0.558389848,183,279,328,500,0.164,0.89,50.466,59.453,183.974,0.824,64554,7,00:00:41,41,00:00:06,6,y,182,11083,13722,5381,1682,tracking failed to reach >90% detection
30-06-2020,11:28,ACT,1,3,D,D,2116,28,168.012,274.066,0.520967442,0.556479188,168,277,322,498,0.16036,0.99,50.683,59.802,190.227,0.842,68459,16,00:01:15,75,00:00:05,5,n,15380,16775,2612,542,438,
30-06-2020,11:28,ACT,1,3,E,D,2030,31,172.003,273.029,0.533342636,0.554373604,176,278,330,501,0.16533,1,23.521,42.387,83.576,0.533,29846,76,00:08:34,514,00:00:07,7,y,5732,21851,4764,2565,1088,
