,fishID,rep,sampleID,date_packed,weight_packed,rack,row,position,d15N,dC13,N_percentage,C_percentage
56,G01,B,G01B,30/11/2020,0.59,3,A,1,11.59152975,6.328506162,5.76%,16.68%
111,G01,C,G01C,30/11/2020,0.56,3,A,2,11.37397733,6.273106342,6.39%,18.56%
58,G03,B,G03B,30/11/2020,0.47,3,A,3,10.66693199,5.155876628,9.08%,26.86%
113,G03,C,G03C,30/11/2020,0.58,3,A,4,11.02045466,5.054310291,9.51%,28.71%
59,G04,B,G04B,30/11/2020,0.59,3,A,5,11.37397733,5.100476808,13.66%,44.16%
114,G04,C,G04C,30/11/2020,0.47,3,A,6,10.91167846,4.629578333,10.48%,32.77%
60,G05,B,G05B,30/11/2020,0.44,3,A,7,9.280035352,5.765274654,7.63%,20.71%
62,G07,B,G07B,30/11/2020,0.47,3,A,8,10.8300963,6.337739466,12.18%,37.13%
117,G07,C,G07C,30/11/2020,0.53,3,A,9,10.99326061,6.310039555,10.76%,32.05%
63,G08,B,G08B,30/11/2020,0.49,3,A,10,9.959886645,2.45975203,8.86%,27.85%
118,G08,C,G08C,30/11/2020,0.46,3,A,11,10.06866285,2.496685244,11.49%,36.75%
64,G09,B,G09B,30/11/2020,0.61,3,A,12,11.72750001,3.669314778,10.12%,30.83%
119,G09,C,G09C,30/11/2020,0.53,3,B,1,11.86347027,3.327682552,11.01%,34.30%
66,G11,B,G11B,30/11/2020,0.53,3,B,2,11.48275354,3.207649607,13.52%,43.51%
121,G11,C,G11C,30/11/2020,0.45,3,B,3,11.70030596,3.032216842,14.90%,48.53%
67,G12,B,G12B,30/11/2020,0.51,3,B,4,11.23800708,2.662884706,10.13%,31.64%
122,G12,C,G12C,30/11/2020,0.55,3,B,5,11.29239518,2.561318368,11.88%,38.35%
70,G15,B,G15B,30/11/2020,0.56,3,B,6,11.21081302,3.309215945,13.53%,42.34%
125,G15,C,G15C,30/11/2020,0.48,3,B,7,11.02045466,3.050683449,12.19%,37.89%
71,G16,B,G16B,30/11/2020,0.49,3,B,8,9.823916387,6.900970974,7.46%,21.73%
74,G19,B,G19B,30/11/2020,0.47,3,B,9,11.29239518,4.121746646,13.93%,43.12%
129,G19,C,G19C,30/11/2020,0.49,3,B,10,11.07484277,4.057113522,11.01%,33.93%
76,G21,B,G21B,30/11/2020,0.54,3,B,11,9.524781818,3.955547184,11.88%,34.90%
77,G22,B,G22B,30/11/2020,0.55,3,C,1,9.823916387,3.466182103,6.49%,21.18%
132,G22,C,G22C,30/11/2020,0.59,3,C,2,9.334423456,4.537245299,7.66%,23.99%
78,G23,B,G23B,30/11/2020,0.53,3,C,3,9.823916387,3.826280936,11.52%,35.46%
133,G23,C,G23C,30/11/2020,0.52,3,C,4,9.987080697,3.826280936,8.41%,25.89%
80,G25,B,G25B,30/11/2020,0.5,3,C,5,11.42836544,4.703444761,9.84%,32.86%
135,G25,C,G25C,30/11/2020,0.48,3,C,6,11.72750001,4.94351065,10.18%,33.58%
82,G27,B,G27B,30/11/2020,0.55,3,C,7,11.37397733,2.745984436,9.71%,32.05%
137,G27,C,G27C,30/11/2020,0.53,3,C,8,11.45555949,2.552085065,11.47%,39.28%
84,G29,B,G29B,30/11/2020,0.59,3,C,9,10.55815578,3.143016483,9.92%,33.82%
139,G29,C,G29C,30/11/2020,0.54,3,C,10,10.8300963,3.152249787,11.90%,41.05%
85,G30,B,G30B,30/11/2020,0.6,3,C,11,11.29239518,6.688604996,9.65%,31.24%
