"","sampleID","d15N","d13C","N_percent","C_percent","CN_ratio","fishID","rep"
"1","G01A",11.4,-13.9,0.083,0.273,3.28915662650602,"G01","A"
"2","G02A",11.2,-14.9,0.086,0.277,3.22093023255814,"G02","A"
"3","G02B",10.6,-15.4,0.082,0.269,3.28048780487805,"G02","B"
"4","G02C",10.8,-15.1,0.098,0.331,3.37755102040816,"G02","C"
"5","G03A",11,-14.9,0.086,0.283,3.2906976744186,"G03","A"
"6","G04A",11.1,-14.7,0.133,0.448,3.36842105263158,"G04","A"
"7","G05A",9.8,-15,0.076,0.239,3.14473684210526,"G05","A"
"8","G06A",12.1,-15.4,0.076,0.26,3.42105263157895,"G06","A"
"9","G06B",10.9,-15.2,0.098,0.333,3.39795918367347,"G06","B"
"10","G06C",11.5,-15.3,0.089,0.331,3.71910112359551,"G06","C"
"11","G07A",10.8,-13.5,0.095,0.307,3.23157894736842,"G07","A"
"12","G08A",10.5,-17.5,0.099,0.346,3.49494949494949,"G08","A"
"13","G09A",11.7,-16.4,0.08,0.269,3.3625,"G09","A"
"14","G10A",11.8,-18.7,0.087,0.297,3.41379310344828,"G10","A"
"15","G10B",11.8,-19.3,0.11,0.383,3.48181818181818,"G10","B"
"16","G10C",11.2,-18.7,0.098,0.345,3.52040816326531,"G10","C"
"17","G11A",11.7,-16.6,0.134,0.463,3.45522388059702,"G11","A"
"18","G12A",11.6,-16.8,0.128,0.437,3.4140625,"G12","A"
"19","G13A",11,-14.9,0.111,0.37,3.33333333333333,"G13","A"
"20","G13B",10.5,-15.2,0.103,0.342,3.32038834951456,"G13","B"
"21","G13C",10.3,-14.7,0.093,0.321,3.45161290322581,"G13","C"
"22","G14A",11.3,-17.1,0.119,0.407,3.42016806722689,"G14","A"
"23","G14B",11,-17.6,0.127,0.44,3.46456692913386,"G14","B"
"24","G14C",11.2,-17.2,0.117,0.417,3.56410256410256,"G14","C"
"25","G15A",10.9,-16.1,0.106,0.349,3.29245283018868,"G15","A"
"26","G16A",9.9,-13.4,0.071,0.232,3.26760563380282,"G16","A"
"27","G17A",10.7,-14.8,0.1,0.335,3.35,"G17","A"
"28","G17B",11.2,-15.4,0.136,0.468,3.44117647058824,"G17","B"
"29","G17C",11.1,-15.2,0.126,0.448,3.55555555555556,"G17","C"
"30","G18A",10.5,-17.9,0.106,0.352,3.32075471698113,"G18","A"
"31","G18B",10.6,-18.1,0.095,0.311,3.27368421052632,"G18","B"
"32","G18C",10.5,-18.4,0.077,0.269,3.49350649350649,"G18","C"
"33","G19A",11.8,-15.7,0.147,0.501,3.40816326530612,"G19","A"
"34","G20A",10.4,-14.1,0.081,0.259,3.19753086419753,"G20","A"
"35","G20B",10.5,-14.5,0.096,0.316,3.29166666666667,"G20","B"
"36","G20C",10.3,-14.2,0.101,0.342,3.38613861386139,"G20","C"
"37","G21A",9.9,-16,0.115,0.37,3.21739130434783,"G21","A"
"38","G22A",10.2,-16.4,0.105,0.351,3.34285714285714,"G22","A"
"39","G23A",10.2,-16.9,0.104,0.347,3.33653846153846,"G23","A"
"40","G24A",12.1,-16.8,0.12,0.408,3.4,"G24","A"
