 ,Area,Mean,Min,Max,Angle,Length
1,254,146.038,142.000,163.000,-91.359,253.071
2,257,144.034,138.000,159.000,-90.224,256.002
3,257,143.100,137.000,158.000,-90.000,256.000
4,251,141.097,136.333,156.036,-87.938,250.162
5,264,140.131,132.000,151.000,-89.129,263.030
6,268,140.498,130.000,152.000,-88.713,267.067
7,265,140.246,132.000,151.333,-88.698,264.068
8,259,141.646,130.333,151.000,-90.222,258.002
9,164,144.963,131.000,158.000,-178.243,163.077
10,177,143.335,129.000,150.000,-178.698,176.045
11,176,141.650,130.000,148.000,-0.327,175.003
12,160,138.392,79.000,151.981,0.360,159.003
13,168,139.096,124.090,150.000,178.971,167.027
14,181,139.204,127.000,148.000,0.318,180.003
15,176,138.347,128.000,146.000,0.982,175.026
16,159,133.644,58.139,151.333,2.537,158.155
