FishID,Treatment,TankID,PITID,TL,SL,Weight,Notes
K01,cont,D_1,NA,14.1,12.1,51,
K04,pit,D_1,1262,13.5,11.3,42,
K05,clip,D_1,1370,14,12,52,
K06,cont,D_1,NA,12.5,10.7,34,wound on side
K08,pit,D_2,1439,13.1,11.2,46,
K11,cont,D_2,NA,15.4,13.3,68,
K13,clip,D_2,1264,13.6,11.8,48,
K14,clip,D_3,1265,17,14.5,87,
K15,pit,D_3,1375,13.3,11.3,36,wound on side
K17,cont,D_3,NA,17,14.4,85,
K20,cont,D_4,NA,11.5,9.5,25,
K21,pit,D_4,1434,10.4,8.5,16,
K22,clip,D_4,1332,13.5,11.5,45,wound on side
K23,cont,D_4,NA,14,11.8,40,
K24,clip,D_4,1317,12.4,10.4,35,
K28,clip,E_1,1321,14.5,12.5,57,
K29,clip,E_1,1496,14.9,12.5,50,
K31,clip,E_2,1371,14,12,42,
K32,pit,E_2,1421,14.9,12.8,64,
K33,cont,E_2,NA,15.2,13,64,
K35,clip,E_1,1442,14.5,12.4,51,
K36,pit,E_2,1419,12.8,10.8,34,
K37,pit,E_3,1322,14.2,12,50,
K38,clip,E_3,1270,18.8,16,93,
K39,cont,E_4,NA,14.3,12.2,52,
K40,cont,E_3,NA,14.4,12.2,50,
K42,clip,E_3,1272,14.5,12.5,60,
K43,pit,E_4,1285,14.6,12.5,53,
K46,pit,E_4,1408,13,10.8,31,
K47,clip,E_4,1292,13.8,11.8,47,
