,PITID,FishID,TL,InfectionScore,Sex,Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes,UniqueID
1,1260,G54,9.5,2,m(j),30-06-2020,10:27,ACT,1,2,G,C,11,34.04102325,68.60132599,102.1281509,0.474386036,42586.16016,334.5,6.7,52.4,,ACT1_2G
2,1260,G54,9.5,2,m(j),07-07-2020,09:52,ACT,2,1,B,C,11,28.10732651,56.8012619,98.10406494,0.447166473,35235.30078,409,7.7,255.9,,ACT2_1B
3,1260,G54,9.5,2,m(j),14-07-2020,12:34,ACT,3,4,E,C,10,29.55580711,56.36487961,103.4840546,0.492612481,36996.96094,329,6.3,183.6,,ACT3_4E
4,1313,G38,11.7,2,m,07-07-2020,10:56,ACT,2,2,D,C,25,41.11387253,55.00705338,160.6928406,0.723602951,52893.10547,48.8,4.1,44.1,,ACT2_2D
5,1313,G38,11.7,2,m,30-06-2020,10:27,ACT,1,2,F,C,24,42.5879364,59.64762878,136.3898315,0.688304305,53363.49219,32.8,4.1,34.9,,ACT1_2F
6,1313,G38,11.7,2,m,14-07-2020,12:34,ACT,3,4,D,C,25,36.64358521,49.44364548,144.661026,0.716451168,47294.11328,43.2,5.4,34.9,,ACT3_4D
7,1384,G52,12.5,1,m(j),14-07-2020,13:26,ACT,3,5,A,C,26,40.64649963,64.23074341,142.9668732,0.611168265,50634.67578,104.1,7.4,110.4,,ACT3_5A
8,1384,G52,12.5,1,m(j),30-06-2020,10:27,ACT,1,2,A,C,27,54.66368484,82.34716797,137.6223297,0.649599969,66856.45313,30.5,3.8,104.5,,ACT1_2A
9,1384,G52,12.5,1,m(j),07-07-2020,09:52,ACT,2,1,H,C,27,45.39187241,63.22473907,158.824646,0.686397195,58162.32422,40.1,1,73.3,,ACT2_1H
10,1395,G53,14.3,1,m,30-06-2020,09:17,ACT,1,1,H,C,41,52.92849731,67.61283875,175.2804108,0.773181677,67613.3125,25.6,8.5,32,,ACT1_1H
11,1395,G53,14.3,1,m,14-07-2020,11:36,ACT,3,3,H,C,41,33.90024948,55.52952576,132.1288605,0.579339921,45063.51953,235.8,19.6,60,,ACT3_3H
12,1395,G53,14.3,1,m,07-07-2020,09:52,ACT,2,1,D,C,41,40.52087784,59.19631577,159.2367554,0.66108036,51548.54297,121.5,5.5,38.5,,ACT2_1D
13,1492,G47,11.7,1,m,30-06-2020,09:17,ACT,1,1,C,C,20,2.719513416,12.55300522,15.87912846,0.03369819,5265.937012,863.8,16,0,visible wound EXCLUDED,ACT1_1C
14,2009,G44,10.5,2,m,14-07-2020,12:34,ACT,3,4,A,C,13,15.7500515,47.88713455,63.73259354,0.286655724,20585.12891,544.9,6.7,98.3,,ACT3_4A
15,2009,G44,10.5,2,m,07-07-2020,09:52,ACT,2,1,A,C,13,21.93288612,59.6257019,84.38700104,0.339081585,27722.32813,547.5,6.5,67.4,,ACT2_1A
16,2009,G44,10.5,2,m,30-06-2020,10:27,ACT,1,2,D,C,14,28.64929962,59.90959167,94.57930756,0.448077559,37427.84375,205.2,7.3,49.1,,ACT1_2D
17,2014,G42,15.5,2,m,30-06-2020,09:17,ACT,1,1,A,C,45,36.36778641,56.99541855,139.0204163,0.60821718,46802.82813,127.4,5.8,69.1,,ACT1_1A
18,2016,G05,13.7,3,f,30-06-2020,13:34,ACT,1,5,F,E,35,27.89889336,68.00580597,91.5513916,0.383931547,35069.96484,375.7,6.6,38.5,,ACT1_5F
19,2016,G05,13.7,3,f,07-07-2020,11:51,ACT,2,3,A,E,35,23.43832779,64.70928192,76.68884277,0.335731745,29405.24023,569.1,8.5,28.1,heavy skin infections,ACT2_3A
20,2019,G19,13.4,3,m,14-07-2020,11:36,ACT,3,3,G,E,40,24.66138649,41.81721878,93.15203857,0.535513937,33201.15234,216.2,9.4,19.9,heavy skin infections,ACT3_3G
21,2019,G19,13.4,3,m,30-06-2020,13:34,ACT,1,5,E,E,37,30.91571426,48.84003448,111.9288559,0.599492908,40521.02734,153,9,51.6,,ACT1_5E
22,2019,G19,13.4,3,m,07-07-2020,11:51,ACT,2,3,B,E,38,27.70397568,42.40126419,106.3114548,0.617339611,36718.72266,125.7,5.7,24.4,heavy skin infections,ACT2_3B
23,2021,G35,15.6,1,m,07-07-2020,13:45,ACT,2,5,G,D,47,13.25773811,39.05145645,54.96721268,0.274531156,17616.68945,674,8.6,45.4,,ACT2_5G
24,2021,G35,15.6,1,m,30-06-2020,12:27,ACT,1,4,F,D,46,36.6524353,69.55497742,123.1023712,0.498346299,46426.86719,262.8,8.5,114.4,,ACT1_4F
25,2021,G35,15.6,1,m,14-07-2020,10:40,ACT,3,2,B,D,48,21.38794136,45.79494476,86.37666321,0.40733391,29839.3457,518.5,27.3,10.1,,ACT3_2B
26,2024,G46,16.3,1,m,30-06-2020,10:27,ACT,1,2,B,C,50,40.0824852,65.10315704,126.4617767,0.589930236,55874.38672,204,9.7,124.8,,ACT1_2B
27,2024,G46,16.3,1,m,14-07-2020,12:34,ACT,3,4,B,C,52,32.64383316,54.41271591,123.7369919,0.569479406,47795.28516,193.8,10.2,53,,ACT3_4B
28,2024,G46,16.3,1,m,07-07-2020,09:52,ACT,2,1,F,C,50,34.06825638,54.89578247,120.1858139,0.581873536,43224.83594,105.3,5.3,93.4,,ACT2_1F
29,2026,G09,10.9,2,m,07-07-2020,11:51,ACT,2,3,H,E,20,32.56209564,53.12212753,127.380867,0.579243243,41928.85547,133.2,6.1,14.5,,ACT2_3H
30,2026,G09,10.9,2,m,14-07-2020,10:40,ACT,3,2,G,E,18,29.98181343,48.86276627,115.8547668,0.576227188,38918.71875,114.8,5.5,45,possible small wound,ACT3_2G
31,2026,G09,10.9,2,m,30-06-2020,14:40,ACT,1,6,C,E,19,32.16679764,62.98014832,100.8072968,0.482353956,40663.9375,198.6,6.8,11.7,,ACT1_6C
32,2028,G17,14.9,2,m,30-06-2020,11:28,ACT,1,3,G,D,45,24.32190132,56.25775909,86.99931335,0.397553355,31179.76172,493.1,11,1.8,,ACT1_3G
