"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","refugereturntime","refugereturnlat","Notes","UniqueID"
"1",1259,"G37",13.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1260,"G54",9.5,2,"m(j)","09-07-2020","12:52","13:02","EXPL",2,5,"B","C","00:46",46,"01:05",19,"01:20",34,"","EXPL2_5B"
"3",1260,"G54",9.5,2,"m(j)","02-07-2020","15:23","15:33","EXPL",1,7,"A","C","01:12",72,"01:25",13,"01:47",35,"","EXPL1_7A"
"4",1260,"G54",9.5,2,"m(j)","16-07-2020","16:40","16:50","EXPL",3,7,"C","C","00:31",31,"02:17",106,"00:44",13,"","EXPL3_7C"
"5",1286,"G13",13.8,3,"m","02-07-2020","17:27","17:37","EXPL",1,9,"A","E","18:54",1134,NA,NA,"18:59",5,"","EXPL1_9A"
"6",1286,"G13",13.8,3,"m","16-07-2020","10:11","10:21","EXPL",3,1,"C","E","01:25",85,"01:32",7,"02:09",44,"","EXPL3_1C"
"7",1286,"G13",13.8,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"C","E","04:17",257,NA,NA,"04:42",25,"","EXPL2_2C"
"8",1313,"G38",11.7,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"C","C","00:01",1,"00:23",22,"00:55",54,"","EXPL2_4C"
"9",1313,"G38",11.7,2,"m","02-07-2020","14:20","14:30","EXPL",1,6,"A","C","00:03",3,"00:29",26,"01:01",58,"","EXPL1_6A"
"10",1313,"G38",11.7,2,"m","16-07-2020","15:33","15:43","EXPL",3,6,"A","C","00:12",12,"00:25",13,"01:01",49,"","EXPL3_6A"
"11",1384,"G52",12.5,1,"m(j)","09-07-2020","10:43","10:53","EXPL",2,3,"D","C","00:01",1,"00:17",16,"00:35",34,"","EXPL2_3D"
"12",1384,"G52",12.5,1,"m(j)","02-07-2020","13:15","13:25","EXPL",1,5,"E","C","02:38",158,"18:50",972,"03:04",26,"","EXPL1_5E"
"13",1384,"G52",12.5,1,"m(j)","16-07-2020","15:33","15:43","EXPL",3,6,"E","C","00:06",6,"00:42",36,"00:24",18,"","EXPL3_6E"
"14",1395,"G53",14.3,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"C","C","00:02",2,"00:17",15,"00:38",36,"","EXPL2_3C"
"15",1395,"G53",14.3,1,"m","16-07-2020","16:40","16:50","EXPL",3,7,"B","C","00:39",39,NA,NA,"00:49",10,"","EXPL3_7B"
"16",1395,"G53",14.3,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"B","C","02:46",166,"04:09",83,"05:16",150,"","EXPL1_6B"
"17",1412,"G15",11.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1492,"G47",11.7,1,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2009,"G44",10.5,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"C","C","01:55",115,NA,NA,"02:49",54,"","EXPL1_4C"
"20",2009,"G44",10.5,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"B","C","01:57",117,"02:40",43,"03:14",77,"","EXPL2_4B"
"21",2009,"G44",10.5,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"E","C","01:17",77,NA,NA,"01:57",40,"","EXPL3_5E"
"22",2014,"G42",15.5,2,"m","02-07-2020","13:15","13:25","EXPL",1,5,"C","C",NA,2700,NA,NA,NA,NA,"","EXPL1_5C"
"23",2016,"G05",13.7,3,"f","02-07-2020","16:25","16:35","EXPL",1,8,"B","E","00:01",1,"00:18",17,"03:13",192,"","EXPL1_8B"
"24",2019,"G19",13.4,3,"m","02-07-2020","16:25","16:35","EXPL",1,8,"C","E","01:10",70,"13:30",740,"02:20",70,"","EXPL1_8C"
"25",2019,"G19",13.4,3,"m","09-07-2020","09:38","09:48","EXPL",2,2,"A","E","00:25",25,"03:22",177,"01:37",72,"","EXPL2_2A"
"26",2019,"G19",13.4,3,"m","16-07-2020","11:15","11:25","EXPL",3,2,"D","E","00:27",27,"00:47",20,"01:26",59,"","EXPL3_2D"
"27",2021,"G35",15.6,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"B","D","11:10",670,NA,NA,"14:13",183,"","EXPL1_1B"
"28",2021,"G35",15.6,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"D","D",NA,2700,NA,NA,NA,NA,"","EXPL3_4D"
"29",2021,"G35",15.6,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"E","D",NA,2700,NA,NA,NA,NA,"","EXPL2_5E"
"30",2024,"G46",16.3,1,"m","16-07-2020","15:33","15:43","EXPL",3,6,"B","C",NA,2700,NA,NA,NA,NA,"","EXPL3_6B"
"31",2024,"G46",16.3,1,"m","09-07-2020","12:52","13:02","EXPL",2,5,"D","C",NA,2700,NA,NA,NA,NA,"","EXPL2_5D"
"32",2024,"G46",16.3,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"A","C","04:57",297,NA,NA,"15:28",631,"","EXPL1_5A"
"33",2026,"G09",10.9,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"D","E","00:01",1,"00:12",11,"01:06",65,"","EXPL1_9D"
"34",2026,"G09",10.9,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"D","E","00:01",1,"00:09",8,"00:40",39,"","EXPL3_1D"
"35",2026,"G09",10.9,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"D","E","00:13",13,"00:40",27,"00:58",45,"","EXPL2_1D"
"36",2028,"G17",14.9,2,"m","09-07-2020","16:02","16:12","EXPL",2,8,"A","D","14:20",860,NA,NA,"14:31",11,"","EXPL2_8A"
"37",2028,"G17",14.9,2,"m","02-07-2020","08:42","08:52","EXPL",1,1,"E","D",NA,2700,NA,NA,NA,NA,"","EXPL1_1E"
"38",2028,"G17",14.9,2,"m","16-07-2020","14:29","14:39","EXPL",3,5,"A","D",NA,2700,NA,NA,NA,NA,"","EXPL3_5A"
"39",2030,"G22",13.3,2,"f","02-07-2020","11:07","11:17","EXPL",1,3,"B","D",NA,2700,NA,NA,NA,NA,"","EXPL1_3B"
"40",2030,"G22",13.3,2,"f","09-07-2020","13:56","14:06","EXPL",2,6,"B","D",NA,2700,NA,NA,NA,NA,"","EXPL2_6B"
"41",2030,"G22",13.3,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"E","D",NA,2700,NA,NA,NA,NA,"","EXPL3_3E"
