"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergelat","emergelat.bin","endpointlat","endpointlat.bin","endpointspeed","refugereturnlat","Notes"
"1","G02",2182,14.2,37,1.29222069173621,1,"m","02-07-2020","18:30","18:40","EXPL","trial 1","10","A","EXPL1_10A","E",4,1,24,1,20,49,""
"2","G02",2182,14.2,39,1.36207045885709,1,"m","09-07-2020","09:38","09:48","EXPL","trial 2","2","B","EXPL2_2B","E",2,1,16,1,14,156,""
"3","G02",2182,14.2,38,1.32714557529665,1,"m","16-07-2020","10:11","10:21","EXPL","trial 3","1","A","EXPL3_1A","E",4,1,21,1,17,152,""
"7","G05",2016,13.7,35,1.36115111382996,3,"f","02-07-2020","16:25","16:35","EXPL","trial 1","8","B","EXPL1_8B","E",1,1,18,1,17,192,""
"8","G06",2153,13.2,29,1.26088710799455,1,"m","02-07-2020","16:25","16:35","EXPL","trial 1","8","D","EXPL1_8D","E",11,1,21,1,10,28,""
"9","G06",2153,13.2,29,1.26088710799455,1,"m","09-07-2020","09:38","09:48","EXPL","trial 2","2","E","EXPL2_2E","E",4,1,14,1,10,25,""
"10","G06",2153,13.2,30,1.30436597378746,1,"m","16-07-2020","11:15","11:25","EXPL","trial 3","2","A","EXPL3_2A","E",1,1,26,1,25,80,""
"12","G07",2220,14.3,36,1.2311029964705,1,"m","09-07-2020","08:34","08:44","EXPL","trial 2","1","C","EXPL2_1C","E",22,1,30,1,8,115,""
"14","G09",2026,10.9,19,1.46714861211602,2,"m","02-07-2020","17:27","17:37","EXPL","trial 1","9","D","EXPL1_9D","E",1,1,12,1,11,65,""
"15","G09",2026,10.9,20,1.54436696012213,2,"m","09-07-2020","08:34","08:44","EXPL","trial 2","1","D","EXPL2_1D","E",13,1,40,1,27,45,""
"16","G09",2026,10.9,18,1.38993026410992,2,"m","16-07-2020","10:11","10:21","EXPL","trial 3","1","D","EXPL3_1D","E",1,1,9,1,8,39,""
"17","G10",2217,13.6,32,1.27213515163851,2,"m","02-07-2020","17:27","17:37","EXPL","trial 1","9","E","EXPL1_9E","E",14,1,36,1,22,42,""
"18","G10",2217,13.6,32,1.27213515163851,2,"m","09-07-2020","10:43","10:53","EXPL","trial 2","3","A","EXPL2_3A","E",1,1,9,1,8,153,""
"19","G10",2217,13.6,32,1.27213515163851,2,"m","16-07-2020","10:11","10:21","EXPL","trial 3","1","B","EXPL3_1B","E",13,1,30,1,17,179,""
"35","G18",2216,13.3,26,1.10514286734418,1,"m","02-07-2020","09:58","10:08","EXPL","trial 1","2","D","EXPL1_2D","D",5,1,18,1,13,157,""
"36","G18",2216,13.3,26,1.10514286734418,1,"m","09-07-2020","13:56","14:06","EXPL","trial 2","6","D","EXPL2_6D","D",13,1,26,1,13,23,""
"40","G19",2019,13.4,40,1.6624385313353,3,"m","16-07-2020","11:15","11:25","EXPL","trial 3","2","D","EXPL3_2D","E",27,1,47,1,20,59,""
"42","G21",2038,17.3,70,1.35194719989524,3,"m","02-07-2020","11:07","11:17","EXPL","trial 1","3","D","EXPL1_3D","D",35,1,61,1,26,57,""
"46","G24",2228,15.5,46,1.235272397704,1,"m","02-07-2020","11:07","11:17","EXPL","trial 1","3","E","EXPL1_3E","D",12,1,26,1,14,29,""
"47","G24",2228,15.5,48,1.28897989325635,1,"m","09-07-2020","13:56","14:06","EXPL","trial 2","6","E","EXPL2_6E","D",27,1,37,1,10,31,""
"48","G24",2228,15.5,51,1.36954113658487,1,"m","16-07-2020","13:25","13:35","EXPL","trial 3","4","B","EXPL3_4B","D",4,1,41,1,37,18,""
"49","G25",2122,13.7,29,1.12781092288768,1,"m","02-07-2020","09:58","10:08","EXPL","trial 1","2","B","EXPL1_2B","D",21,1,43,1,22,66,""
"50","G25",2122,13.7,29,1.12781092288768,1,"m","09-07-2020","13:56","14:06","EXPL","trial 2","6","A","EXPL2_6A","D",4,1,16,1,12,36,""
"51","G25",2122,13.7,28,1.08892089106397,1,"m","16-07-2020","13:25","13:35","EXPL","trial 3","4","A","EXPL3_4A","D",17,1,39,1,22,52,""
"52","G26",2147,13,31,1.41101502048248,3,"f","02-07-2020","08:42","08:52","EXPL","trial 1","1","A","EXPL1_1A","D",14,1,45,1,31,489,""
