"","comparison","method","rho","p.value"
"1","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$avespeed_mob.ACTT1","Spearmans rank correlation rho",0.813651464814256,0
"2","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$aveacceler.ACTT1","Spearmans rank correlation rho",0.922228933856841,0
"3","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$propmoving.ACTT1","Spearmans rank correlation rho",0.881437859320919,6.13464505517288e-15
"4","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$dist.ACTT1","Spearmans rank correlation rho",0.994110540622169,0
"5","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$frozenevents.ACTT1","Spearmans rank correlation rho",-0.758217024570905,3.89165392219408e-09
"6","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$timefrozen_tot.ACTT1","Spearmans rank correlation rho",-0.858987428406964,1.71927679632438e-13
"7","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$centrescore.ACTT1","Spearmans rank correlation rho",0.210510419812745,0.174917098128941
"8","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$centretime50.ACTT1","Spearmans rank correlation rho",0.223799456357596,0.148778079328042
"9","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$centretime75.ACTT1","Spearmans rank correlation rho",0.345074942670519,0.0234367118159016
"10","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$centretime100.ACTT1","Spearmans rank correlation rho",0.427061310782241,0.00460631474423871
"11","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$emergelat.bin.EXPLT1","Spearmans rank correlation rho",0.202887122906915,0.191948869699004
"12","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$endpointlat.bin.EXPLT1","Spearmans rank correlation rho",0.187451386100528,0.228711379600863
"13","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$endpointspeed.EXPLT1","Spearmans rank correlation rho",0.221922891819673,0.286345636004096
"14","GULD_phenotypes$avespeed_tot.ACTT1 and GULD_phenotypes$refugereturnlat.EXPLT1","Spearmans rank correlation rho",-0.105031619907718,0.567256924804237
"15","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$aveacceler.ACTT1","Spearmans rank correlation rho",0.615372999093929,1.7274555950859e-05
"16","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$propmoving.ACTT1","Spearmans rank correlation rho",0.485576202487449,0.000964503944788567
"17","GULD_phenotypes$avespeed_mob.ACTT1 and GULD_phenotypes$dist.ACTT1","Spearmans rank correlation rho",0.786016309272123,8.96528558247857e-09
