 ,Area,Mean,Min,Max,Angle,Length
1,256,145.995,141.000,162.000,-91.572,255.096
2,259,142.810,137.000,156.333,-89.778,258.002
3,257,142.257,136.333,158.000,-90.000,256.000
4,252,139.748,136.000,158.000,-87.946,251.161
5,263,135.972,63.361,144.333,-88.907,262.048
6,264,142.701,134.000,155.000,-89.129,263.030
7,265,139.699,129.000,152.000,-89.132,264.030
8,259,144.139,132.000,152.930,-89.556,258.008
9,167,143.292,59.000,158.000,-178.965,166.027
10,179,141.164,127.000,148.000,-179.356,178.011
11,175,139.960,129.000,149.000,180.000,174.000
12,161,137.174,82.000,152.000,-1.432,160.050
13,166,138.235,124.000,155.000,180.000,165.000
14,184,140.124,114.448,148.000,-179.687,183.003
15,177,138.379,129.000,148.000,-178.047,176.102
16,159,141.969,87.000,156.000,1.088,158.028
