 ,Area,Mean,Min,Max,Angle,Length
1,255,146.081,141.333,161.333,-90.451,254.008
2,259,144.120,139.000,160.000,-89.334,258.017
3,255,144.618,139.000,159.000,-88.647,254.071
4,252,135.765,82.667,154.333,-89.087,251.032
5,263,134.104,36.333,144.000,-89.781,262.002
6,263,141.578,136.000,152.000,-89.781,262.002
7,264,140.488,132.000,151.333,-89.782,263.002
8,257,140.336,134.000,151.137,-88.881,256.049
9,163,144.393,129.547,158.000,-177.526,162.151
10,176,142.856,132.000,149.000,0.655,175.011
11,174,142.394,133.333,150.000,0.662,173.012
12,159,138.175,73.000,153.000,-0.725,158.013
13,164,139.652,126.333,152.000,178.946,163.028
14,180,140.837,129.000,149.000,-179.680,179.003
15,174,139.347,129.333,148.000,-179.007,173.026
16,160,138.824,124.000,150.252,2.880,159.201
