 ,Area,Mean,Min,Max,Angle,Length
1,256,145.524,141.333,164.333,-91.797,255.125
2,258,143.401,137.333,159.000,-89.777,257.002
3,255,143.355,137.333,159.000,-88.872,254.049
4,253,140.997,136.000,160.000,-87.728,252.198
5,265,141.272,129.333,150.333,-88.915,264.047
6,265,142.747,137.000,156.000,-89.566,264.008
7,265,143.695,136.000,156.000,-90.217,264.002
8,258,145.375,132.000,155.000,-89.108,257.031
9,164,144.484,128.000,158.000,-177.541,163.150
10,177,143.113,128.333,151.000,-178.373,176.071
11,175,139.893,87.057,147.000,-0.329,174.003
12,160,139.183,90.000,155.000,0.360,159.003
13,167,138.837,124.341,155.000,179.655,166.003
14,183,141.242,125.000,148.000,180.000,182.000
15,178,142.295,130.000,151.000,-178.705,177.045
16,159,143.282,111.000,155.667,2.899,158.202
