FishID,"RANDBETWEEN(0,1000000)",Treatment,TankID,TrialID,ArenaID,PITID,TL,SL,Weight,Sex,InfectionScore,Notes
K02,428812,finclip,D_1,ACT4_1,B,1476,15.8,13.4,53,M,2,some fin and scale loss
K05,546413,finclip,D_1,ACT4_1,E,1370,13.9,11.8,42,M,1,
K09,382915,finclip,D_2,ACT4_2,A,1422,17.2,14.7,84,M,2,some scale damage
K10,539733,finclip,D_2,ACT4_2,B,1376,13.9,11.9,44,M,2,
K13,40991,finclip,D_3,ACT4_2,E,1264,13.8,11.5,40,F,3,
K14,55345,finclip,D_3,ACT4_2,F,1265,17.1,14.9,72,M,1,
K22,648098,finclip,D_4,ACT4_3,F,1332,13.4,11.5,39,M,3,some scale loss and some bleeding with PIT
K24,931717,finclip,D_4,ACT4_3,H,1317,12.7,10.8,32,F,3,significant scale loss; changed treatment group for cont fish could be differentiated
K28,620437,finclip,E_1,ACT4_4,D,1321,14.7,12.3,58,F,2,minor scale loss
K29,675589,finclip,E_1,ACT4_4,E,1496,14.4,12.1,49,F,2,minor scale loss
K31,228889,finclip,E_2,ACT4_4,G,1371,13.9,11.8,41,F,3,
K35,690961,finclip,E_2,ACT4_5,C,1442,14.6,12.4,55,F,2,
K38,394771,finclip,E_3,ACT4_5,F,1270,18.6,15.7,86,F,2,
K42,999442,finclip,E_3,ACT4_6,B,1272,14.5,12.4,53,F,3,
K44,309905,finclip,E_4,ACT4_6,D,1298,15.4,13,60,M,2,
K47,877903,finclip,E_4,ACT4_6,G,1292,13.6,11.6,44,F,2,minor scale damage
K01,149087,cont,D_1,ACT4_1,A,NA,13.9,11.2,43,M,2,
K06,791480,cont,D_1,ACT4_1,F,NA,12.8,10.7,35,F,2,
K11,580254,cont,D_2,ACT4_2,C,NA,15,12.8,60,M,1,
K12,844938,cont,D_2,ACT4_2,D,NA,15,12.9,48,M,2,darker
K16,433929,cont,D_3,ACT4_2,H,NA,12.9,10.8,30,M,1,
K17,555269,cont,D_3,ACT4_3,A,NA,16.8,14.1,71,M,1,
K20,529987,cont,D_4,ACT4_3,D,NA,11.5,9.9,30,M,2,
K23,716213,cont,D_4,ACT4_3,G,NA,13.5,11.2,32,M,3,reproductive; changed treatment group for cont fish could be differentiated
K26,374385,cont,E_1,ACT4_4,B,NA,12.2,10.4,24,F,1,significant scale loss
K30,947791,cont,E_1,ACT4_4,F,NA,14.1,12,48,M,2,
K33,610503,cont,E_2,ACT4_5,A,NA,15,13,63,M,1,
K34,669629,cont,E_2,ACT4_5,B,NA,13.2,11.3,31,F,2,
K39,409406,cont,E_3,ACT4_5,G,NA,14.3,12.2,49,F,2,
K40,604637,cont,E_3,ACT4_5,H,NA,13.7,11.6,41,M,2,
K45,343510,cont,E_4,ACT4_6,E,NA,14.4,12.4,45,M,2,v small wound
K48,958330,cont,E_4,ACT4_6,H,NA,16,13.9,77,M,1,
K03,445831,pit,D_1,ACT4_1,C,1340,13.6,11.5,41,M,1,
K04,535033,pit,D_1,ACT4_1,D,1262,13.5,11.3,37,F,3,
K07,108348,pit,D_2,ACT4_1,G,1351,12.6,11,29,M,1,some scale damage
K08,285826,pit,D_2,ACT4_1,H,1439,12.9,11.1,36,M,1,some scale damage
K15,429459,pit,D_3,ACT4_2,G,1375,13.6,11.3,39,M,1,minor scale damage
K18,990912,pit,D_3,ACT4_3,B,1380,13.3,11.2,38,M,2,small wound
K19,194542,pit,D_4,ACT4_3,C,1256,12.1,10.7,21,M,1,
K21,646454,pit,D_4,ACT4_3,E,1434,10.1,8.7,14,F,1,
K25,52527,pit,E_1,ACT4_4,A,1381,11.8,10,28,M,2,some scale loss
K27,539261,pit,E_1,ACT4_4,C,1263,15.5,13.3,60,M,1,
K32,609210,pit,E_2,ACT4_4,H,1421,14.4,12.2,57,M,2,
K36,693234,pit,E_2,ACT4_5,D,1419,12.5,10.6,31,F,2,
K37,143962,pit,E_3,ACT4_5,E,1322,13.7,11.8,45,M,2,
K41,805440,pit,E_3,ACT4_6,A,1308,16.6,14.2,64,M,1,
K43,244418,pit,E_4,ACT4_6,C,1285,14.5,12.3,51,M,2,
K46,438800,pit,E_4,ACT4_6,F,1408,12.5,10.5,27,M,3,
