"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100"
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","30/06/2020","10:27","ACT",1,2,"G","ACT1_2G","C",32.554,56.68,95.042,0.561,40585,68,477,2.09502777777778,4.0373125,249.7,78.7,32.9333333333333
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","07/07/2020","09:52","ACT",2,1,"B","ACT2_1B","C",26.513,45.956,91.248,0.539,33163,61,483,2.79620908532483,6.0652532395355,525.566666666667,334.933333333333,204.166666666667
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","14/07/2020","12:34","ACT",3,4,"E","ACT3_4E","C",28.174,45.88,94.231,0.584,35171,58,402,2.51353671798981,5.24257340736077,490.2,260.7,134.133333333333
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","30/06/2020","14:40","ACT",1,6,"G","ACT1_6G","E",48.392,62.432,140.553,0.767,59673,17,94,2.02794444444444,3.88103298611111,188.133333333333,89.4666666666667,40.5
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","07/07/2020","11:51","ACT",2,3,"F","ACT2_3F","E",15.682,47.51,53.134,0.307,19958,26,831,3.06227777777778,6.66221354166667,689.533333333333,619.733333333333,169.833333333333
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","14/07/2020","11:36","ACT",3,3,"B","ACT3_3B","E",4.969,24.779,19.379,0.146,7577,8,1024,1.56630495269894,2.66672057595993,20.0333333333333,11.0666666666667,0.633333333333333
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","07/07/2020","10:56","ACT",2,2,"D","ACT2_2D","C",40.02,48.366,153.628,0.815,51655,15,68,1.70582206405694,3.07229715302491,140.666666666667,61.7333333333333,37.3
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","30/06/2020","10:27","ACT",1,2,"F","ACT1_2F","C",40.405,51.446,127.309,0.77,50711,13,55,1.68879798615481,3.00994765146748,105.833333333333,52.7333333333333,24.4
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","14/07/2020","12:34","ACT",3,4,"D","ACT3_4D","C",35.468,43.057,138.03,0.812,46124,22,108,1.63930383117065,2.89235167175808,98.7,55.4333333333333,28.9333333333333
"G52",1384,12.5,1.3312,1.64665695202698,"m","14/07/2020","13:26","ACT",3,5,"A","ACT3_5A","C",40.012,55.978,138.948,0.701,49812,22,143,2.14126602115632,4.2451359349639,280.833333333333,149.8,93.3
"G52",1384,12.5,1.3312,1.64665695202698,"m","30/06/2020","10:27","ACT",1,2,"A","ACT1_2A","C",52.989,71.965,132.417,0.729,64741,12,51,2.02377777777778,3.929421875,238.833333333333,123,79.4333333333333
"G52",1384,12.5,1.3312,1.64665695202698,"m","07/07/2020","09:52","ACT",2,1,"H","ACT2_1H","C",44.582,54.656,154.875,0.799,57420,12,52,1.9954932832587,3.85675646396071,225.3,124.066666666667,75.1333333333333
"G53",1395,14.3,1.33369491284304,1.66853679775279,"m","30/06/2020","09:17","ACT",1,1,"H","ACT1_1H","C",51.604,59.202,169.916,0.868,66134,3,34,1.93837123991196,3.63868587392065,146,58.4666666666667,27.8666666666667
"G53",1395,14.3,1.33369491284304,1.66853679775279,"m","14/07/2020","11:36","ACT",3,3,"H","ACT3_3H","C",33.169,46.576,127.515,0.695,44064,15,278,1.77803409666348,3.25652851235019,143.9,78.4666666666667,40.1666666666667
