Date,TimeLoaded,TimeInitiated,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,emergetime,emergelat,endpointtime,endpointlat,endpointspeed,refugereturntime,refugereturnlat,Notes
02-07-2020,08:42,08:52,EXPL,1,1,A,D,2147,00:14,14,00:45,45,31,08:23,489,
02-07-2020,08:42,08:52,EXPL,1,1,B,D,2021,11:10,670,NA,2700,NA,14:13,183,
02-07-2020,08:42,08:52,EXPL,1,1,C,D,2116,00:08,8,00:24,24,16,03:27,199,
02-07-2020,08:42,08:52,EXPL,1,1,D,D,2089,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,08:42,08:52,EXPL,1,1,E,D,2028,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,09:58,10:08,EXPL,1,2,A,D,2110,00:22,22,00:37,37,15,01:13,51,
02-07-2020,09:58,10:08,EXPL,1,2,B,D,2122,00:21,21,00:43,43,22,01:27,66,
02-07-2020,09:58,10:08,EXPL,1,2,C,D,2119,00:13,13,00:38,38,25,01:17,64,
02-07-2020,09:58,10:08,EXPL,1,2,D,D,2216,00:05,5,00:18,18,13,02:42,157,
02-07-2020,09:58,10:08,EXPL,1,2,E,D,2034,00:01,1,00:23,23,22,00:53,52,
02-07-2020,11:07,11:17,EXPL,1,3,A,D,2155,NA,2700,NA,2700,NA,NA,NA,small wounds
02-07-2020,11:07,11:17,EXPL,1,3,B,D,2030,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,11:07,11:17,EXPL,1,3,C,D,2165,00:35,35,NA,2700,NA,00:54,19,visible wounds
02-07-2020,11:07,11:17,EXPL,1,3,D,D,2038,00:35,35,01:01,61,26,01:32,57,
02-07-2020,11:07,11:17,EXPL,1,3,E,D,2228,00:12,12,00:26,26,14,00:41,29,
02-07-2020,12:13,12:23,EXPL,1,4,A,D,2126,00:19,19,00:32,32,13,00:58,39,
02-07-2020,12:13,12:23,EXPL,1,4,B,D,2213,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,12:13,12:23,EXPL,1,4,C,C,2009,01:55,115,NA,2700,NA,02:49,54,
02-07-2020,12:13,12:23,EXPL,1,4,D,C,2040,00:01,1,00:54,54,53,01:23,82,
02-07-2020,12:13,12:23,EXPL,1,4,E,C,2133,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,13:15,13:25,EXPL,1,5,A,C,2024,04:57,297,NA,2700,NA,15:28,631,
02-07-2020,13:15,13:25,EXPL,1,5,B,C,2084,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,13:15,13:25,EXPL,1,5,C,C,2014,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,13:15,13:25,EXPL,1,5,D,C,2112,00:01,1,00:28,28,27,01:11,70,
02-07-2020,13:15,13:25,EXPL,1,5,E,C,1384,02:38,158,18:50,1130,972,03:04,26,
02-07-2020,14:20,14:30,EXPL,1,6,A,C,1313,00:03,3,00:29,29,26,01:01,58,
02-07-2020,14:20,14:30,EXPL,1,6,B,C,1395,02:46,166,04:09,249,83,05:16,150,
02-07-2020,14:20,14:30,EXPL,1,6,C,C,2070,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,14:20,14:30,EXPL,1,6,D,C,2101,00:02,2,00:25,25,23,02:24,142,
02-07-2020,14:20,14:30,EXPL,1,6,E,C,2044,NA,2700,NA,2700,NA,NA,NA,
02-07-2020,15:23,15:33,EXPL,1,7,A,C,1260,01:12,72,01:25,85,13,01:47,35,
