"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergelat","emergelat.bin","endpointlat","endpointlat.bin","endpointspeed","refugereturnlat"
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","16-07-2020","16:40","16:50","EXPL",3,7,"C","EXPL3_7C","C",31,1,137,1,106,13
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","09-07-2020","12:52","13:02","EXPL",2,5,"B","EXPL2_5B","C",46,1,65,1,19,34
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","16-07-2020","15:33","15:43","EXPL",3,6,"A","EXPL3_6A","C",12,1,25,1,13,49
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","09-07-2020","11:48","11:58","EXPL",2,4,"C","EXPL2_4C","C",1,1,23,1,22,54
"G38",1313,11.7,1.37361522415215,1.68968732059062,"m","02-07-2020","14:20","14:30","EXPL",1,6,"A","EXPL1_6A","C",3,1,29,1,26,58
"G52",1384,12.5,1.3312,1.64665695202698,"m","16-07-2020","15:33","15:43","EXPL",3,6,"E","EXPL3_6E","C",6,1,42,1,36,18
"G52",1384,12.5,1.3312,1.64665695202698,"m","09-07-2020","10:43","10:53","EXPL",2,3,"D","EXPL2_3D","C",1,1,17,1,16,34
"G53",1395,14.3,1.33369491284304,1.66853679775279,"m","09-07-2020","10:43","10:53","EXPL",2,3,"C","EXPL2_3C","C",2,1,17,1,15,36
"G05",2016,13.7,1.36115111382996,1.69675139387759,"f","02-07-2020","16:25","16:35","EXPL",1,8,"B","EXPL1_8B","E",1,1,18,1,17,192
"G19",2019,13.4,1.49619467820177,1.86161697208617,"m","16-07-2020","11:15","11:25","EXPL",3,2,"D","EXPL3_2D","E",27,1,47,1,20,59
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","02-07-2020","17:27","17:37","EXPL",1,9,"D","EXPL1_9D","E",1,1,12,1,11,65
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","16-07-2020","10:11","10:21","EXPL",3,1,"D","EXPL3_1D","E",1,1,9,1,8,39
"G09",2026,10.9,1.38993026410992,1.69959060765231,"m","09-07-2020","08:34","08:44","EXPL",2,1,"D","EXPL2_1D","E",13,1,40,1,27,45
"G30",2034,13,1.18343195266272,1.46871429308423,"m","09-07-2020","13:56","14:06","EXPL",2,6,"C","EXPL2_6C","D",7,1,76,1,69,140
"G30",2034,13,1.18343195266272,1.46871429308423,"m","02-07-2020","09:58","10:08","EXPL",1,2,"E","EXPL1_2E","D",1,1,23,1,22,52
"G21",2038,17.3,1.27469307418694,1.62050027115904,"m","02-07-2020","11:07","11:17","EXPL",1,3,"D","EXPL1_3D","D",35,1,61,1,26,57
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","09-07-2020","12:52","13:02","EXPL",2,5,"C","EXPL2_5C","C",11,1,31,1,20,88
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","16-07-2020","16:40","16:50","EXPL",3,7,"D","EXPL3_7D","C",1,1,28,1,27,219
"G49",2040,13.2,1.47828143695912,1.83700123565105,"m","02-07-2020","12:13","12:23","EXPL",1,4,"D","EXPL1_4D","C",1,1,54,1,53,82
"G40",2101,12.8,1.28746032714844,1.59573560233655,"m","02-07-2020","14:20","14:30","EXPL",1,6,"D","EXPL1_6D","C",2,1,25,1,23,142
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","02-07-2020","09:58","10:08","EXPL",1,2,"A","EXPL1_2A","D",22,1,37,1,15,51
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","09-07-2020","15:00","15:10","EXPL",2,7,"B","EXPL2_7B","D",7,1,95,1,88,19
"G39",2112,12.9,1.49066772131408,1.84881093443466,"m","02-07-2020","13:15","13:25","EXPL",1,5,"D","EXPL1_5D","C",1,1,28,1,27,70
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","09-07-2020","15:00","15:10","EXPL",2,7,"E","EXPL2_7E","D",24,1,40,1,16,37
"G27",2116,13.4,1.12214600865133,1.39621272906463,"m","02-07-2020","08:42","08:52","EXPL",1,1,"C","EXPL1_1C","D",8,1,24,1,16,199
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","09-07-2020","16:02","16:12","EXPL",2,8,"B","EXPL2_8B","D",49,1,137,1,88,10
"G34",2119,15.4,1.47853495804246,1.86131913475484,"f","02-07-2020","09:58","10:08","EXPL",1,2,"C","EXPL1_2C","D",13,1,38,1,25,64
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","16-07-2020","13:25","13:35","EXPL",3,4,"A","EXPL3_4A","D",17,1,39,1,22,52
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","09-07-2020","13:56","14:06","EXPL",2,6,"A","EXPL2_6A","D",4,1,16,1,12,36
"G25",2122,13.7,1.12781092288768,1.40587972635571,"m","02-07-2020","09:58","10:08","EXPL",1,2,"B","EXPL1_2B","D",21,1,43,1,22,66
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","09-07-2020","15:00","15:10","EXPL",2,7,"A","EXPL2_7A","D",4,1,10,1,6,54
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","16-07-2020","12:20","12:30","EXPL",3,3,"D","EXPL3_3D","D",1,1,6,1,5,34
"G36",2126,15.6,1.29069100962592,1.62660976867651,"m","02-07-2020","12:13","12:23","EXPL",1,4,"A","EXPL1_4A","D",19,1,32,1,13,39
"G26",2147,13,1.41101502048248,1.75115934944658,"f","02-07-2020","08:42","08:52","EXPL",1,1,"A","EXPL1_1A","D",14,1,45,1,31,489
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","02-07-2020","16:25","16:35","EXPL",1,8,"D","EXPL1_8D","E",11,1,21,1,10,28
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","09-07-2020","09:38","09:48","EXPL",2,2,"E","EXPL2_2E","E",4,1,14,1,10,25
"G06",2153,13.2,1.30436597378746,1.62088344322151,"m","16-07-2020","11:15","11:25","EXPL",3,2,"A","EXPL3_2A","E",1,1,26,1,25,80
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","09-07-2020","10:43","10:53","EXPL",2,3,"B","EXPL2_3B","E",2,1,7,1,5,44
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","16-07-2020","12:20","12:30","EXPL",3,3,"B","EXPL3_3B","E",6,1,41,1,35,46
"G29",2156,16.7,1.22384225059866,1.55123705051879,"m","02-07-2020","16:25","16:35","EXPL",1,8,"E","EXPL1_8E","E",1,1,13,1,12,55
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","16-07-2020","10:11","10:21","EXPL",3,1,"A","EXPL3_1A","E",4,1,21,1,17,152
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","02-07-2020","18:30","18:40","EXPL",1,10,"A","EXPL1_10A","E",4,1,24,1,20,49
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","09-07-2020","09:38","09:48","EXPL",2,2,"B","EXPL2_2B","E",2,1,16,1,14,156
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","02-07-2020","09:58","10:08","EXPL",1,2,"D","EXPL1_2D","D",5,1,18,1,13,157
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","09-07-2020","13:56","14:06","EXPL",2,6,"D","EXPL2_6D","D",13,1,26,1,13,23
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","09-07-2020","10:43","10:53","EXPL",2,3,"A","EXPL2_3A","E",1,1,9,1,8,153
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","02-07-2020","17:27","17:37","EXPL",1,9,"E","EXPL1_9E","E",14,1,36,1,22,42
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","16-07-2020","10:11","10:21","EXPL",3,1,"B","EXPL3_1B","E",13,1,30,1,17,179
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","09-07-2020","08:34","08:44","EXPL",2,1,"C","EXPL2_1C","E",22,1,30,1,8,115
"G24",2228,15.5,1.18156490215166,1.48827611171505,"m","02-07-2020","11:07","11:17","EXPL",1,3,"E","EXPL1_3E","D",12,1,26,1,14,29
"G24",2228,15.5,1.18156490215166,1.48827611171505,"m","09-07-2020","13:56","14:06","EXPL",2,6,"E","EXPL2_6E","D",27,1,37,1,10,31
"G24",2228,15.5,1.18156490215166,1.48827611171505,"m","16-07-2020","13:25","13:35","EXPL",3,4,"B","EXPL3_4B","D",4,1,41,1,37,18
"G54",1260,9.5,1.28298585799679,1.55076573637525,"m","02-07-2020","15:23","15:33","EXPL",1,7,"A","EXPL1_7A","C",72,0,85,1,13,35
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","16-07-2020","10:11","10:21","EXPL",3,1,"C","EXPL3_1C","E",85,0,92,1,7,44
"G44",2009,10.5,1.20937263794407,1.47415882763288,"m","09-07-2020","11:48","11:58","EXPL",2,4,"B","EXPL2_4B","C",117,0,160,1,43,77
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","16-07-2020","12:20","12:30","EXPL",3,3,"A","EXPL3_3A","E",61,0,85,1,24,52
"G53",1395,14.3,1.33369491284304,1.66853679775279,"m","16-07-2020","16:40","16:50","EXPL",3,7,"B","EXPL3_7B","C",39,1,2700,0,NA,10
"G19",2019,13.4,1.49619467820177,1.86161697208617,"m","09-07-2020","09:38","09:48","EXPL",2,2,"A","EXPL2_2A","E",25,1,202,0,177,72
"G28",2110,14.9,1.26966890964764,1.59394293451395,"m","16-07-2020","14:29","14:39","EXPL",3,5,"C","EXPL3_5C","D",2,1,2700,0,NA,36
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","16-07-2020","13:25","13:35","EXPL",3,4,"C","EXPL3_4C","D",16,1,233,0,217,86
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","02-07-2020","17:27","17:37","EXPL",1,9,"A","EXPL1_9A","E",1134,0,2700,0,NA,5
"G13",1286,13.8,1.36982548423331,1.70861045953358,"m","09-07-2020","09:38","09:48","EXPL",2,2,"C","EXPL2_2C","E",257,0,2700,0,NA,25
"G52",1384,12.5,1.3312,1.64665695202698,"m","02-07-2020","13:15","13:25","EXPL",1,5,"E","EXPL1_5E","C",158,0,1130,0,972,26
"G53",1395,14.3,1.33369491284304,1.66853679775279,"m","02-07-2020","14:20","14:30","EXPL",1,6,"B","EXPL1_6B","C",166,0,249,0,83,150
"G44",2009,10.5,1.20937263794407,1.47415882763288,"m","16-07-2020","14:29","14:39","EXPL",3,5,"E","EXPL3_5E","C",77,0,2700,0,NA,40
"G44",2009,10.5,1.20937263794407,1.47415882763288,"m","02-07-2020","12:13","12:23","EXPL",1,4,"C","EXPL1_4C","C",115,0,2700,0,NA,54
"G42",2014,15.5,1.12785740659931,1.42062719754618,"m","02-07-2020","13:15","13:25","EXPL",1,5,"C","EXPL1_5C","C",2700,0,2700,0,NA,NA
"G19",2019,13.4,1.49619467820177,1.86161697208617,"m","02-07-2020","16:25","16:35","EXPL",1,8,"C","EXPL1_8C","E",70,0,810,0,740,70
"G35",2021,15.6,1.15898784537838,1.46062918003605,"m","16-07-2020","13:25","13:35","EXPL",3,4,"D","EXPL3_4D","D",2700,0,2700,0,NA,NA
"G35",2021,15.6,1.15898784537838,1.46062918003605,"m","09-07-2020","12:52","13:02","EXPL",2,5,"E","EXPL2_5E","D",2700,0,2700,0,NA,NA
"G35",2021,15.6,1.15898784537838,1.46062918003605,"m","02-07-2020","08:42","08:52","EXPL",1,1,"B","EXPL1_1B","D",670,0,2700,0,NA,183
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","16-07-2020","15:33","15:43","EXPL",3,6,"B","EXPL3_6B","C",2700,0,2700,0,NA,NA
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","09-07-2020","12:52","13:02","EXPL",2,5,"D","EXPL2_5D","C",2700,0,2700,0,NA,NA
"G46",2024,16.3,1.08526311973431,1.37278094098193,"m","02-07-2020","13:15","13:25","EXPL",1,5,"A","EXPL1_5A","C",297,0,2700,0,NA,631
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","02-07-2020","08:42","08:52","EXPL",1,1,"E","EXPL1_1E","D",2700,0,2700,0,NA,NA
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","16-07-2020","14:29","14:39","EXPL",3,5,"A","EXPL3_5A","D",2700,0,2700,0,NA,NA
"G17",2028,14.9,1.33012933391657,1.66984497901462,"m","09-07-2020","16:02","16:12","EXPL",2,8,"A","EXPL2_8A","D",860,0,2700,0,NA,11
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","16-07-2020","12:20","12:30","EXPL",3,3,"E","EXPL3_3E","D",2700,0,2700,0,NA,NA
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","09-07-2020","13:56","14:06","EXPL",2,6,"B","EXPL2_6B","D",2700,0,2700,0,NA,NA
"G22",2030,13.3,1.27516484693559,1.58560366137615,"f","02-07-2020","11:07","11:17","EXPL",1,3,"B","EXPL1_3B","D",2700,0,2700,0,NA,NA
"G51",2044,14,1.23906705539359,1.54738645377751,"m","16-07-2020","16:40","16:50","EXPL",3,7,"A","EXPL3_7A","C",2700,0,2700,0,NA,NA
"G51",2044,14,1.23906705539359,1.54738645377751,"m","09-07-2020","11:48","11:58","EXPL",2,4,"D","EXPL2_4D","C",2700,0,2700,0,NA,NA
"G51",2044,14,1.23906705539359,1.54738645377751,"m","02-07-2020","14:20","14:30","EXPL",1,6,"E","EXPL1_6E","C",2700,0,2700,0,NA,NA
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","02-07-2020","17:27","17:37","EXPL",1,9,"C","EXPL1_9C","E",2700,0,2700,0,NA,NA
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","16-07-2020","10:11","10:21","EXPL",3,1,"E","EXPL3_1E","E",2700,0,2700,0,NA,NA
"G14",2045,16.3,1.26998875713589,1.60644578200014,"m","09-07-2020","08:34","08:44","EXPL",2,1,"B","EXPL2_1B","E",2700,0,2700,0,NA,NA
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","16-07-2020","11:15","11:25","EXPL",3,2,"C","EXPL3_2C","E",135,0,348,0,213,19
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","02-07-2020","18:30","18:40","EXPL",1,10,"C","EXPL1_10C","E",2700,0,2700,0,NA,NA
"G04",2060,15.4,1.34163357303853,1.68897477042569,"m","09-07-2020","08:34","08:44","EXPL",2,1,"E","EXPL2_1E","E",597,0,1475,0,878,32
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","09-07-2020","12:52","13:02","EXPL",2,5,"A","EXPL2_5A","C",55,0,2700,0,NA,7
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","02-07-2020","15:23","15:33","EXPL",1,7,"B","EXPL1_7B","C",360,0,2700,0,NA,33
"G55",2065,11.3,1.52471035701093,1.87006436806084,"m","16-07-2020","16:40","16:50","EXPL",3,7,"E","EXPL3_7E","C",273,0,2700,0,NA,19
"G45",2070,11,1.35236664162284,1.65493032369897,"f","02-07-2020","14:20","14:30","EXPL",1,6,"C","EXPL1_6C","C",2700,0,2700,0,NA,NA
"G48",2084,9.8,1.16873071594319,1.4163666546188,"f","02-07-2020","13:15","13:25","EXPL",1,5,"B","EXPL1_5B","C",2700,0,2700,0,NA,NA
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","02-07-2020","08:42","08:52","EXPL",1,1,"D","EXPL1_1D","D",2700,0,2700,0,NA,NA
"G31",2089,13.7,1.43893117747738,1.79370861638488,"m","09-07-2020","15:00","15:10","EXPL",2,7,"C","EXPL2_7C","D",2700,0,2700,0,NA,NA
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","09-07-2020","08:34","08:44","EXPL",2,1,"A","EXPL2_1A","E",2700,0,2700,0,NA,NA
"G12",2099,13.4,1.24682889850148,1.55134747673848,"m","16-07-2020","11:15","11:25","EXPL",3,2,"B","EXPL3_2B","E",2700,0,2700,0,NA,NA
