"","FishID","TL","ConditionFactor","CondManual","Sex","TankID","avespeed_mob","dist","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100","emergelat","emergelat.bin","endpointlat","endpointlat.bin","dist_M","timefrozen_tot_M","log.timefrozen_tot_M","avespeed_mob_M","centrescore_M","centrescore2_M","centretime50_M","centretime75_M","centretime100_M","emergelat_M","emergelat.bin_M","endpointlat_M","endpointlat.bin_M"
"1","G02",14.2,1.32714557529665,1.65936238857323,"m","E",46.147,46125,70,1.9606239460371,3.75002986228218,210.966666666667,110.3,64.4333333333333,4,1,24,1,37388,259,5.30799387854513,40.7893333333333,2.15429956845785,4.2163500942417,275.877777777778,86.4111111111111,51.8555555555555,3.33333333333333,1,20.3333333333333,1
"2","G04",15.4,1.34163357303853,1.68897477042569,"m","E",60.49,57769,224,1.80127559583753,3.26515469396889,132.333333333333,24.2333333333333,7.86666666666667,2700,0,2700,0,50480,172.333333333333,5.12809548769316,51.2183333333333,1.89156606911516,3.49344364343359,113.555555555556,31.2222222222222,9.44444444444445,1144,0,1507.66666666667,0
"3","G05",13.7,1.36115111382996,1.69675139387759,"f","E",52.47,33729,503,2.60527777777778,5.30588888888889,558.766666666667,159.866666666667,28.2666666666667,1,1,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","G06",13.2,1.30436597378746,1.62088344322151,"m","E",68.989,75153,35,1.93843852320199,3.67196673535057,183.9,93.1,49.4333333333333,11,1,21,1,62617.6666666667,131,4.6115667507858,61.8573333333333,2.00905006402666,3.85493324169667,196.622222222222,85.5111111111111,50.8666666666666,5.33333333333333,1,20.3333333333333,1
"5","G07",14.3,1.16270838555547,1.45462182368192,"m","E",46.205,44961,97,1.86485583880663,3.44588563119225,165.333333333333,38.8666666666667,22.3,85,0,229,0,39840.3333333333,232,5.29289720385307,43.9276666666667,1.90414547500368,3.54498726505326,155.711111111111,41.2444444444444,22.8111111111111,56,0.333333333333333,114.666666666667,0.666666666666667
"6","G09",10.9,1.38993026410992,1.69959060765231,"m","E",50.267,38254,272,1.85391853094175,3.39638882571989,176.633333333333,26.4333333333333,7.5,1,1,12,1,37179,249.333333333333,5.51365350058212,44.8713333333333,1.70535745129678,3.04031610552469,128.5,37.8,17.1,5,1,20.3333333333333,1
"7","G10",13.6,1.23238092814981,1.5352847808206,"m","E",54.311,57602,32,2.268826497895,4.58054060835866,343.1,175.833333333333,104.533333333333,14,1,36,1,55851.3333333333,120,4.55235600486198,54.7476666666667,2.17197550162177,4.31722471763457,305.311111111111,146.322222222222,88.4444444444444,9.33333333333333,1,25,1
"8","G11",13.5,1.46319158664838,1.82169345750521,"m","E",50.578,50054,123,1.9674803663066,3.73504259873551,244.5,94.4666666666667,43.0333333333333,237,0,2700,0,22375.3333333333,731.333333333333,6.22867033005318,36.5056666666667,2.11385456654664,4.08670690791184,188.044444444445,91.8,34.1777777777778,1094.33333333333,0,2700,0
"9","G12",13.4,1.24682889850148,1.55134747673848,"m","E",61.452,44146,391,1.66486111111111,2.93611805555556,86.8,29.3,15.8666666666667,1971,0,2700,0,33819,483.666666666667,6.13963405440498,49.455,1.82088179996341,3.32794389744342,205.4,38.2222222222222,16.9666666666667,2457,0,2700,0
"10","G13",13.8,1.36982548423331,1.70861045953358,"m","E",62.432,59673,94,2.02794444444444,3.88103298611111,188.133333333333,89.4666666666667,40.5,1134,0,2700,0,29069.3333333333,649.666666666667,6.06579879424164,44.907,2.21884239164039,4.40332236791257,299.233333333333,240.088888888889,70.3222222222221,492,0,1830.66666666667,0.333333333333333
"11","G14",16.3,1.26998875713589,1.60644578200014,"m","E",45.608,39078,327,1.67366547037047,2.95987580184814,116.066666666667,28.3,16.7333333333333,2700,0,2700,0,40444,353.666666666667,5.81116717752036,45.0546666666667,2.0020371169497,3.83586463835104,190.988888888889,74.2111111111112,47.8777777777778,2700,0,2700,0
"12","G17",14.9,1.33012933391657,1.66984497901462,"m","D",45.396,29579,574,1.61069724617059,2.77861422672358,22.5333333333333,4.43333333333333,1.23333333333333,2700,0,2700,0,31876,530.666666666667,6.27240424566708,46.9363333333333,1.76234461860755,3.18890325314381,112.7,44.4444444444444,21.8222222222222,2086.66666666667,0,2700,0
"13","G18",13.3,1.06263737244632,1.32133638448013,"m","D",53.544,48852,105,2.04454151158141,3.89870881909625,260.1,58.5,22.3333333333333,5,1,18,1,44113,246.333333333333,5.37293263477357,50.882,2.16289897976642,4.19406625249325,325,69.8888888888889,23.1444444444444,11.3333333333333,1,92.3333333333333,0.666666666666667
"14","G19",13.4,1.49619467820177,1.86161697208617,"m","E",41.105,38689,176,1.88782667890017,3.52444542279575,128.066666666667,73.5666666666667,34.1,70,0,810,0,34739,226,5.3981151093413,36.7723333333333,1.78385641369717,3.24087105136667,104.955555555556,42.9222222222222,19.3666666666667,40.6666666666667,0.666666666666667,353,0.333333333333333
"15","G20",13.8,1.14152123686109,1.42384204961131,"m","D",38.889,18131,781,2.01105555555556,3.79581423611111,233.666666666667,32.5333333333333,12.0333333333333,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","G21",17.3,1.27469307418694,1.62050027115904,"m","D",59.453,64554,41,2.91569422776911,6.13435647425897,692.833333333333,235.433333333333,56.0666666666667,35,1,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","G22",13.3,1.27516484693559,1.58560366137615,"f","D",42.387,29846,514,2.20627777777778,4.32047222222222,280.566666666667,121.766666666667,36.2666666666667,2700,0,2700,0,21869,673.333333333333,6.4313057889972,30.2966666666667,2.1111963505986,4.09861297287592,334.466666666667,202.533333333333,45.7,2700,0,2700,0
"18","G24",15.5,1.18156490215166,1.48827611171505,"m","D",35.836,25152,484,2.33510638297872,4.70290220842152,295.266666666667,139.366666666667,76.0333333333333,12,1,26,1,30823,493.333333333333,6.1970042260947,41.2766666666667,2.43132893702554,4.97462634165439,361.9,182.566666666667,92.5222222222221,14.3333333333333,1,34.6666666666667,1
"19","G25",13.7,1.12781092288768,1.40587972635571,"m","D",36.637,34641,173,1.81196271072904,3.28789982695099,118.4,24.0333333333333,5.26666666666667,21,1,43,1,37060,223,5.33423544934546,39.5773333333333,1.78595544056386,3.23173079795085,106.877777777778,26.7666666666667,10.9333333333333,14,1,32.6666666666667,1
"20","G26",13,1.41101502048248,1.75115934944658,"f","D",46.434,43800,156,1.81156533206139,3.32793692657333,154.7,72.6,32.1333333333333,14,1,45,1,27842.6666666667,548.333333333333,6.08611278785825,40.787,1.85927016999442,3.43207455679584,161.466666666667,53.6333333333333,22.1222222222222,131.333333333333,0.333333333333333,184.666666666667,0.333333333333333
"21","G27",13.4,1.12214600865133,1.39621272906463,"m","D",59.802,68459,75,1.70990572635466,3.04697247321454,119.733333333333,32.6666666666667,14.6,8,1,24,1,46658,276.666666666667,5.35034197634441,50.4966666666667,1.82205967816961,3.34088597435616,120.977777777778,44.3333333333334,22.9,910.666666666667,0.666666666666667,921.333333333333,0.666666666666667
"22","G28",14.9,1.26966890964764,1.59394293451395,"m","D",48.465,30368,507,2.53931296558796,5.14059248424164,548.8,112.733333333333,25.8,22,1,37,1,35841,425.666666666667,5.97915455747049,48.5116666666667,2.74118593902621,5.75351327212758,630.944444444444,254.844444444444,98.488888888889,10.3333333333333,1,944,0.666666666666667
"23","G29",16.7,1.22384225059866,1.55123705051879,"m","E",50.482,43480,243,2.40931050853137,4.82738452623642,410.766666666667,97.2666666666667,35.6333333333333,1,1,13,1,42970.6666666667,274.666666666667,5.60586901231095,46.9493333333333,2.3109922248073,4.56527494377602,387.855555555556,85.4333333333333,24.4888888888889,3,1,20.3333333333333,1
"24","G30",13,1.18343195266272,1.46871429308423,"m","D",50.9,47542,96,2.14683000983636,4.18455281826582,289.433333333333,79.9666666666667,41.6333333333333,1,1,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","G31",13.7,1.43893117747738,1.79370861638488,"m","D",48.59,46727,46,1.79967172981695,3.29097987258666,96.4,42.0666666666667,27.6333333333333,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","G34",15.4,1.47853495804246,1.86131913475484,"f","D",43.709,36700,338,2.03599587663333,3.9012429303764,202,91.3333333333333,40.4333333333333,13,1,38,1,23408.6666666667,657.666666666667,6.33887101063123,29.8366666666667,1.75248383844639,3.15452906992044,92.9888888888889,34.7555555555555,15.3888888888889,593.666666666667,0.666666666666667,958.333333333333,0.666666666666667
"27","G35",15.6,1.15898784537838,1.46062918003605,"m","D",55.515,44162,382,2.44788566294154,4.98417230583478,456.6,240.7,74.9666666666667,670,0,2700,0,29721,561.333333333333,6.28808640718862,41.127,2.22646083727689,4.37675501680966,278.555555555555,125.944444444444,39.3222222222222,2023.33333333333,0,2700,0
"28","G36",15.6,1.29069100962592,1.62660976867651,"m","D",49.732,56389,37,2.0852371110987,3.98374574093727,244.366666666667,58.7333333333333,13.6,19,1,32,1,43864,169.333333333333,4.81348282949906,42.936,2.1718396545765,4.21113053188606,278.866666666667,55.7111111111111,20.7111111111111,8,1,16,1
"29","G38",11.7,1.37361522415215,1.68968732059062,"m","C",51.446,50711,55,1.68879798615481,3.00994765146748,105.833333333333,52.7333333333333,24.4,3,1,29,1,49496.6666666667,77,4.30299070584427,47.623,1.67797462712747,2.99153215875016,115.066666666667,56.6333333333333,30.2111111111111,5.33333333333333,1,25.6666666666667,1
"30","G39",12.9,1.49066772131408,1.84881093443466,"m","C",56.531,57730,47,2.06694978053925,3.96324744912501,261.933333333333,77.8333333333333,29.6,1,1,28,1,43236,261.666666666667,5.02360239040406,49.3046666666667,2.1102091161513,4.07594226097406,247.022222222222,84.9,33,NA,NA,NA,NA
"31","G40",12.8,1.28746032714844,1.59573560233655,"m","C",44.586,40335,65,1.85647795548786,3.43649332882006,135.933333333333,50.1666666666667,29.5333333333333,2,1,25,1,19848,684.333333333333,5.97798739850987,28.7953333333333,2.04939079997743,3.9176771744215,134.055555555555,52.1444444444446,29.1111111111111,NA,NA,NA,NA
"32","G41",14.2,1.04774650681315,1.31002293834729,"m","C",38.916,14882,871,1.28822222222222,1.97861111111111,66.4666666666667,21.5,5.33333333333333,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","G42",15.5,1.12785740659931,1.42062719754618,"m","C",47.351,44165,272,2.06326662362815,4.00518391949926,170.133333333333,88.8666666666667,63.5666666666667,2700,0,2700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
