TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,Weight
ACT,1,2,G,C,1260,11
ACT,2,1,B,C,1260,11
ACT,3,4,E,C,1260,10
ACT,1,6,G,E,1286,36
ACT,2,3,F,E,1286,36
ACT,3,3,B,E,1286,35
ACT,1,2,F,C,1313,24
ACT,2,2,D,C,1313,25
ACT,3,4,D,C,1313,25
ACT,1,2,A,C,1384,27
ACT,2,1,H,C,1384,27
ACT,3,5,A,C,1384,26
ACT,1,1,H,C,1395,41
ACT,2,1,D,C,1395,41
ACT,3,3,H,C,1395,41
ACT,1,1,C,C,1492,20
ACT,1,2,D,C,2009,14
ACT,2,1,A,C,2009,13
ACT,3,4,A,C,2009,13
ACT,1,1,A,C,2014,45
ACT,1,5,F,E,2016,35
ACT,2,3,A,E,2016,35
ACT,1,5,E,E,2019,37
ACT,2,3,B,E,2019,38
ACT,3,3,G,E,2019,40
ACT,1,4,F,D,2021,46
ACT,2,5,G,D,2021,47
ACT,3,2,B,D,2021,48
ACT,1,2,B,C,2024,50
ACT,2,1,F,C,2024,50
ACT,3,4,B,C,2024,52
ACT,1,6,C,E,2026,19
ACT,2,3,H,E,2026,20
ACT,3,2,G,E,2026,18
ACT,1,3,G,D,2028,45
ACT,2,6,G,D,2028,45
ACT,3,2,A,D,2028,46
ACT,1,3,E,D,2030,31
ACT,2,5,D,D,2030,32
ACT,3,1,H,D,2030,32
ACT,1,4,B,D,2034,27
ACT,2,5,H,D,2034,26
ACT,1,3,C,D,2038,70
ACT,2,5,A,D,2038,66
ACT,1,2,C,C,2040,35
ACT,2,2,F,C,2040,35
ACT,3,4,H,C,2040,36
ACT,1,1,F,C,2044,35
ACT,2,2,C,C,2044,35
ACT,3,4,F,C,2044,35
ACT,1,6,F,E,2045,58
ACT,2,4,B,E,2045,58
ACT,3,3,D,E,2045,59
ACT,1,5,G,E,2060,52
ACT,2,3,E,E,2060,52
ACT,3,2,H,E,2060,52
ACT,1,2,E,C,2065,23
ACT,2,2,E,C,2065,24
ACT,3,4,C,C,2065,24
ACT,1,1,B,C,2070,18
ACT,2,1,C,C,2070,18
ACT,1,1,G,C,2084,12
ACT,2,1,G,C,2084,11
ACT,1,4,E,D,2089,39
ACT,2,6,A,D,2089,39
ACT,1,5,B,E,2099,30
ACT,2,4,D,E,2099,30
ACT,3,2,E,E,2099,32
ACT,1,1,E,C,2101,28
ACT,2,2,B,C,2101,27
ACT,3,4,G,C,2101,28
ACT,1,4,C,D,2110,43
ACT,2,5,F,D,2110,44
ACT,3,1,D,D,2110,45
ACT,1,1,D,C,2112,32
ACT,2,2,A,C,2112,32
ACT,3,5,B,C,2112,33
ACT,1,3,D,D,2116,28
ACT,2,6,F,D,2116,29
ACT,3,1,G,D,2116,27
ACT,1,3,H,D,2119,55
ACT,2,6,H,D,2119,55
ACT,3,2,C,D,2119,53
ACT,1,5,A,D,2122,29
ACT,2,6,D,D,2122,29
ACT,3,1,A,D,2122,28
ACT,1,4,H,D,2126,52
ACT,2,5,E,D,2126,52
ACT,3,1,E,D,2126,53
ACT,1,2,H,C,2133,32
ACT,2,1,E,C,2133,31
ACT,1,4,A,D,2147,31
ACT,2,6,B,D,2147,31
ACT,3,1,F,D,2147,32
ACT,1,6,D,E,2153,29
ACT,2,3,C,E,2153,29
ACT,3,3,C,E,2153,30
ACT,1,3,F,D,2155,20
ACT,2,5,B,D,2155,18
ACT,1,6,B,E,2156,60
ACT,2,3,D,E,2156,61
ACT,3,2,D,E,2156,64
ACT,1,4,D,D,2165,43
ACT,1,6,A,E,2182,37
ACT,2,3,G,E,2182,39
ACT,3,3,F,E,2182,38
ACT,1,5,C,E,2191,24
ACT,1,3,A,D,2213,31
ACT,2,5,C,D,2213,30
ACT,1,3,B,D,2216,26
ACT,2,6,C,D,2216,26
ACT,3,1,C,D,2216,27
ACT,1,6,E,E,2217,32
ACT,2,4,A,E,2217,32
ACT,3,2,F,E,2217,32
ACT,1,5,D,E,2220,35
ACT,2,4,E,E,2220,36
ACT,3,3,E,E,2220,34
ACT,1,4,G,D,2228,46
ACT,2,6,E,D,2228,48
ACT,3,1,B,D,2228,51
ACT,1,5,H,E,2233,37
ACT,2,4,C,E,2233,37
ACT,3,3,A,E,2233,36
ACT,1,6,H,NOFISH,NOFISH,NOFISH
ACT,2,2,G,NOFISH,NOFISH,NOFISH
ACT,2,2,H,NOFISH,NOFISH,NOFISH
ACT,2,4,F,NOFISH,NOFISH,NOFISH
ACT,2,4,G,NOFISH,NOFISH,NOFISH
ACT,2,4,H,NOFISH,NOFISH,NOFISH
ACT,3,5,C,NOFISH,NOFISH,NOFISH
ACT,3,5,D,NOFISH,NOFISH,NOFISH
ACT,3,5,E,NOFISH,NOFISH,NOFISH
ACT,3,5,F,NOFISH,NOFISH,NOFISH
ACT,3,5,G,NOFISH,NOFISH,NOFISH
ACT,3,5,H,NOFISH,NOFISH,NOFISH
