"","FishID","sortID","rep","sampleID","date_packed","weight_packed..mg.","rack","row","position","d15N","d13C","N_percentage","C_percentage","runline","runID","date_data","Notes","CN_ratio","d13C_post"
"1","G01","fin","A","G01A","28-07-2020",0.47,"1","A",1,11.41566667,-13.87533333,0.083468491,0.273019917,6,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.27093390247105,-13.9571087665537
"2","G02","fin","A","G02A","28-07-2020",0.54,"1","A",2,11.19166667,-14.90733333,0.085613095,0.276656478,7,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.23147385338656,-15.0281742151473
"3","G02","fin","B","G02B","28-07-2020",0.57,"1","A",3,10.61083333,-15.42833333,0.081514955,0.269382368,31,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.30469872675511,-15.4766815905124
"4","G02","fin","C","G02C","28-07-2020",0.47,"1","A",4,10.75133333,-15.0608,0.097924506,0.331066465,6,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.38083364954631,-15.0337746869491
"5","G03","fin","A","G03A","28-07-2020",0.53,"1","A",5,10.96866667,-14.92533333,0.085644022,0.282842315,8,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.30253423875866,-14.9758244336289
"6","G04","fin","A","G04A","28-07-2020",0.47,"1","A",6,11.08266667,-14.72433333,0.13287922,0.448286681,9,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.37364022004344,-14.704429512157
"7","G05","fin","A","G05A","28-07-2020",0.48,"1","A",7,9.779666667,-15.02233333,0.075873899,0.23934041,10,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.15444985896929,-15.2194279696204
"8","G06","fin","A","G06A","28-07-2020",0.48,"1","A",8,12.11966667,-15.36133333,0.075915825,0.259860529,11,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.42300869416884,-15.2925547227729
"9","G06","fin","B","G06B","28-07-2020",0.47,"1","A",9,10.86183333,-15.16333333,0.097750542,0.332925601,32,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.40586961655926,-15.1115224096063
"10","G06","fin","C","G06C","28-07-2020",0.47,"1","A",10,11.49233333,-15.2788,0.089274592,0.331463529,7,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.71285403354182,-14.9230745067936
"11","G07","fin","A","G07A","28-07-2020",0.58,"1","A",11,10.76366667,-13.54633333,0.094835751,0.307438578,12,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.24180042608615,-13.6569509081747
"12","G08","fin","A","G08A","28-07-2020",0.52,"1","A",12,10.48866667,-17.53033333,0.099132333,0.34606358,13,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.49092540775773,-17.3943171763199
"13","G09","fin","A","G09A","28-07-2020",0.57,"1","B",1,11.73166667,-16.44633333,0.080013723,0.269116049,14,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.36337366778946,-16.4365933988884
"14","G10","fin","A","G10A","28-07-2020",0.56,"1","B",2,11.77666667,-18.72933333,0.086976772,0.296919728,15,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.41378187730398,-18.6696892714691
"15","G10","fin","B","G10B","28-07-2020",0.47,"1","B",3,11.78683333,-19.29733333,0.110223129,0.382694179,33,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.47199523795047,-19.180058044429
"16","G10","fin","C","G10C","28-07-2020",0.54,"1","B",4,11.17933333,-18.6958,0.098282951,0.344944104,8,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.50970438402892,-18.5411926598114
"17","G11","fin","A","G11A","28-07-2020",0.5,"1","B",5,11.66666667,-16.59133333,0.133727089,0.462855936,16,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.46119802248892,-16.484747287736
"18","G12","fin","A","G12A","28-07-2020",0.48,"1","B",6,11.59366667,-16.84333333,0.128099725,0.436541985,17,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.40782921274812,-16.7895824093794
"19","G13","fin","A","G13A","28-07-2020",0.56,"1","B",7,10.97266667,-14.85033333,0.111020519,0.369737513,18,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.33035295034065,-14.8732839091628
"20","G13","fin","B","G13B","28-07-2020",0.51,"1","B",8,10.46683333,-15.17533333,0.103083874,0.342093403,34,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.31859280919147,-15.2099264489004
"21","G13","fin","C","G13C","28-07-2020",0.46,"1","B",9,10.31033333,-14.7068,0.093113849,0.320624496,9,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.4433599238283,-14.61787367541
"22","G14","fin","A","G14A","28-07-2020",0.53,"1","B",10,11.29266667,-17.10333333,0.118614114,0.407155682,19,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.43260737082267,-17.0250520328856
"23","G14","fin","B","G14B","28-07-2020",0.57,"1","B",11,11.04183333,-17.60033333,0.126887249,0.439727222,35,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.46549574890697,-17.4894925385821
"24","G14","fin","C","G14C","28-07-2020",0.56,"1","B",12,11.21733333,-17.1978,0.116581011,0.417136617,10,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.57808371553752,-16.9754971216179
"25","G15","fin","A","G15A","28-07-2020",0.5,"1","C",1,10.92266667,-16.11933333,0.106224849,0.34940796,20,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.28932413921342,-16.1829024321787
"26","G16","fin","A","G16A","28-07-2020",0.54,"1","C",2,9.924666667,-13.36833333,0.071365594,0.231626366,21,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.24563074469751,-13.4751588927495
"27","G17","fin","A","G17A","29-07-2020",0.55,"1","C",3,10.65666667,-14.82733333,0.100119489,0.335235288,22,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.34835196771729,-14.8324648819599
"28","G17","fin","B","G17B","29-07-2020",0.46,"1","C",4,11.15683333,-15.41733333,0.136338451,0.467675891,36,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.43025674393206,-15.3413791535073
"29","G17","fin","C","G17C","29-07-2020",0.55,"1","C",5,11.08333333,-15.1608,0.12613167,0.448470026,11,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.55557034961957,-14.9607853538766
"30","G18","fin","A","G18A","29-07-2020",0.51,"1","C",6,10.48266667,-17.94033333,0.106223811,0.352087935,27,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.31458579470473,-17.9788933932423
"31","G18","fin","B","G18B","29-07-2020",0.56,"1","C",7,10.59383333,-18.11433333,0.094798586,0.310851017,37,"Nick Moran 2020 0417 201025 set 2","07-11-2020",NA,3.2790680759732,-18.1880559347865
"32","G18","fin","C","G18C","29-07-2020",0.48,"1","C",8,10.51733333,-18.3528,0.077010636,0.269262404,12,"Nick Moran 2020 0417 201107 set 3","07-11-2020",NA,3.49643137605045,-18.2113329377101
"33","G19","fin","A","G19A","29-07-2020",0.48,"1","C",9,11.78066667,-15.72233333,0.146680568,0.500642692,28,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.41314939549457,-15.6633154284604
"34","G20","fin","A","G20A","29-07-2020",0.6,"1","C",10,10.37066667,-14.07833333,0.081176288,0.25939038,29,"Nick Moran 2020 0417 201025 set 1","07-11-2020",NA,3.19539592645576,-14.2348913628088
