FishID,Treatment,TankID,TrialID,PITID,Sex,TankID.combo,dTL,dSL,dWeight,dConditionFactor
K01,control,D_1,ACT4_1,NA,M,D,0.2,0.9,8,0.21821505
K04,PITtagged,D_1,ACT4_1,1262,F,D,0,0,5,0.203221054
K05,PIT+clip,D_1,ACT4_1,1370,M,D,0.1,0.2,10,0.33115846
K06,control,D_1,ACT4_1,NA,F,D,-0.3,0,-1,0.071869946
K08,PITtagged,D_2,ACT4_1,1439,M,D,0.2,0.1,10,0.369179328
K11,control,D_2,ACT4_2,NA,M,D,0.4,0.5,8,0.084081058
K13,PIT+clip,D_3,ACT4_2,1264,F,D,-0.2,0.3,8,0.386174412
K14,PIT+clip,D_3,ACT4_2,1265,M,D,-0.1,-0.4,15,0.330872897
K15,PITtagged,D_3,ACT4_2,1375,M,D,-0.3,0,-3,-0.0202169
K17,control,D_3,ACT4_3,NA,M,D,0.2,0.3,14,0.232729063
K20,control,D_4,ACT4_3,NA,M,D,0,-0.4,-5,-0.328758116
K21,PITtagged,D_4,ACT4_3,1434,F,D,0.3,-0.2,2,0.063567967
K22,PIT+clip,D_4,ACT4_3,1332,M,D,0.1,0,6,0.208111915
K23,control,D_4,ACT4_3,NA,M,D,0.5,0.6,8,0.157111204
K24,PIT+clip,D_4,ACT4_3,1317,F,D,-0.3,-0.4,3,0.273497566
K28,PIT+clip,E_1,ACT4_4,1321,F,E,-0.2,0.2,-1,0.043799556
K29,PIT+clip,E_1,ACT4_4,1496,F,E,0.5,0.4,1,-0.129489479
K31,PIT+clip,E_2,ACT4_4,1371,F,E,0.1,0.2,1,0.003962337
K32,PITtagged,E_2,ACT4_4,1421,M,E,0.5,0.6,7,0.02581511
K33,control,E_2,ACT4_5,NA,M,E,0.2,0,1,-0.044243573
K35,PIT+clip,E_2,ACT4_5,1442,F,E,-0.1,0,-4,-0.094389635
K36,PITtagged,E_2,ACT4_5,1419,F,E,0.3,0.2,3,0.034046338
K37,PITtagged,E_3,ACT4_5,1322,M,E,0.5,0.2,5,-0.003807254
K38,PIT+clip,E_3,ACT4_5,1270,F,E,0.2,0.3,7,0.063146375
K39,control,E_3,ACT4_5,NA,F,E,0,0,3,0.102591916
K40,control,E_3,ACT4_5,NA,M,E,0.7,0.6,9,0.079998579
K42,PIT+clip,E_3,ACT4_6,1272,F,E,0,0.1,7,0.22961171
K43,PITtagged,E_4,ACT4_6,1285,M,E,0.1,0.2,2,0.030125091
K46,PITtagged,E_4,ACT4_6,1408,M,E,0.5,0.3,4,0.02861502
K47,PIT+clip,E_4,ACT4_6,1292,F,E,0.2,0.2,3,0.039197438
