FishID,Treatment,TankID,TrialID,PITID,DaystoDeath,SurvivalTime,Status,DeceasedDate
K01,cont,D_1,ACT4_1,NA,NA,70,1,
K02,finclip,D_1,ACT4_1,1476,55,53.5,2,"04-01-2020 (dead in tank, ID by tag)"
K03,pit,D_1,ACT4_1,1340,6,5.5,2,"16-11-2020 (dead in tank, storage bag has wrong TankID, ID by tag)"
K04,pit,D_1,ACT4_1,1262,NA,70,1,
K05,finclip,D_1,ACT4_1,1370,NA,70,1,
K06,cont,D_1,ACT4_1,NA,NA,70,1,
K07,pit,D_2,ACT4_1,1351,2,2,2,12-11-2020 (euthanised with new wound and more scale loss)
K08,pit,D_2,ACT4_1,1439,NA,70,1,
K09,finclip,D_2,ACT4_2,1422,6,5.5,2,"16-11-2020 (dead in tank, ID by tag)"
K10,finclip,D_2,ACT4_2,1376,38,37,2,"18-12-2020 (dead in tank, ID by tag)"
K11,cont,D_2,ACT4_2,NA,NA,70,1,
K12,cont,D_2,ACT4_2,NA,7,6.5,2,"17-11-2020 (dead in tank, ID by length, weight, dark mottling)"
K13,finclip,D_3,ACT4_2,1264,NA,70,1,
K14,finclip,D_3,ACT4_2,1265,NA,70,1,
K15,pit,D_3,ACT4_2,1375,NA,70,1,
K16,cont,D_3,ACT4_2,NA,41,39.5,2,"21-12-2020 (dead in tank, ID by length, weight)"
K17,cont,D_3,ACT4_3,NA,NA,70,1,
K18,pit,D_3,ACT4_3,1380,10,9.5,2,"20-11-2020 (dead in tank, ID by PIT)"
K19,pit,D_4,ACT4_3,1256,10,9.5,2,"20-11-2020 (dead in tank, ID by PIT)"
K20,cont,D_4,ACT4_3,NA,NA,70,1,
K21,pit,D_4,ACT4_3,1434,NA,70,1,
K22,finclip,D_4,ACT4_3,1332,NA,70,1,
K23,cont,D_4,ACT4_3,NA,NA,70,1,
K24,finclip,D_4,ACT4_3,1317,NA,70,1,
K25,pit,E_1,ACT4_4,1381,10,9.5,2,"20-11-2020 (dead in tank, ID by PIT)"
K26,cont,E_1,ACT4_4,NA,2,2,2,12-11-2020 (euthanised with fin damage and significant scale loss)
K27,pit,E_1,ACT4_4,1263,43,42,2,"23-12-2020 (dead in tank, ID by PIT)"
K28,finclip,E_1,ACT4_4,1321,NA,70,1,
K29,finclip,E_1,ACT4_4,1496,NA,70,1,
K30,cont,E_1,ACT4_4,NA,7,6.5,2,"17-11-2020 (dead in tank, confirmed ID, sex male on recheck)"
K31,finclip,E_2,ACT4_4,1371,NA,70,1,
K32,pit,E_2,ACT4_4,1421,NA,70,1,
K33,cont,E_2,ACT4_5,NA,NA,70,1,
K34,cont,E_2,ACT4_5,NA,10,9.5,2,"20-11-2020 (dead in tank, ID by sex, length, weight)"
K35,finclip,E_2,ACT4_5,1442,NA,70,1,
K36,pit,E_2,ACT4_5,1419,NA,70,1,
K37,pit,E_3,ACT4_5,1322,NA,70,1,
K38,finclip,E_3,ACT4_5,1270,NA,70,1,
K39,cont,E_3,ACT4_5,NA,NA,70,1,
K40,cont,E_3,ACT4_5,NA,NA,70,1,
K41,pit,E_3,ACT4_6,1308,10,9.5,2,"20-11-2020 (dead in tank, ID by PIT)"
K42,finclip,E_3,ACT4_6,1272,NA,70,1,
K43,pit,E_4,ACT4_6,1285,NA,70,1,
K44,finclip,E_4,ACT4_6,1298,10,10,2,"20-11-2020 (euthanaised post trial, unable to right itself)"
K45,cont,E_4,ACT4_6,NA,6,5.5,2,"16-11-2020 (dead in tank, ID by body length and wound)"
K46,pit,E_4,ACT4_6,1408,NA,70,1,
K47,finclip,E_4,ACT4_6,1292,NA,70,1,
K48,cont,E_4,ACT4_6,NA,10,9.5,2,"20-11-2020 (dead in tank, ID by length weight)"
