"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"Epsilon.1",0.144,0.037,0.079,0.088,0.117,0.142,0.167,0.209,0.223,"14.4% [7.9%, 22.3%]"
"Epsilon.2",0.122,0.026,0.075,0.081,0.104,0.12,0.138,0.167,0.177,"12.2% [7.5%, 17.7%]"
"Individual.SD",1.385,0.203,1.043,1.093,1.242,1.364,1.505,1.743,1.838,"138.5% [104.3%, 183.8%]"
"p.global.P01",0.253,0.074,0.101,0.134,0.205,0.25,0.301,0.374,0.4,"25.3% [10.1%, 40%]"
"p.global.P02",0.143,0.062,0.047,0.057,0.1,0.133,0.177,0.259,0.291,"14.3% [4.7%, 29.1%]"
"p.global.P03",0.388,0.087,0.215,0.248,0.331,0.386,0.443,0.532,0.563,"38.8% [21.5%, 56.3%]"
"p.global.P04",0.031,0.035,0.001,0.001,0.008,0.019,0.043,0.095,0.121,"3.1% [0.1%, 12.1%]"
"p.global.P05",0.186,0.043,0.111,0.12,0.156,0.182,0.212,0.263,0.275,"18.6% [11.1%, 27.5%]"
"p.G01.P01",0.07,0.057,0.002,0.005,0.025,0.057,0.102,0.183,0.212,"7% [0.2%, 21.2%]"
"p.G02.P01",0.185,0.105,0.012,0.021,0.102,0.184,0.263,0.357,0.383,"18.5% [1.2%, 38.3%]"
"p.G03.P01",0.24,0.134,0.013,0.024,0.125,0.253,0.345,0.435,0.469,"24% [1.3%, 46.9%]"
"p.G04.P01",0.18,0.107,0.01,0.019,0.092,0.178,0.26,0.357,0.388,"18% [1%, 38.8%]"
"p.G05.P01",0.411,0.204,0.019,0.043,0.273,0.435,0.552,0.729,0.787,"41.1% [1.9%, 78.7%]"
"p.G06.P01",0.072,0.06,0.002,0.004,0.024,0.057,0.106,0.189,0.218,"7.2% [0.2%, 21.8%]"
"p.G07.P01",0.073,0.059,0.003,0.006,0.027,0.059,0.107,0.188,0.219,"7.3% [0.3%, 21.9%]"
"p.G08.P01",0.739,0.155,0.149,0.544,0.685,0.76,0.825,0.922,0.949,"73.9% [14.9%, 94.9%]"
"p.G09.P01",0.139,0.088,0.01,0.017,0.066,0.134,0.198,0.296,0.326,"13.9% [1%, 32.6%]"
"p.G10.P01",0.36,0.132,0.05,0.094,0.289,0.383,0.452,0.546,0.573,"36% [5%, 57.3%]"
"p.G11.P01",0.164,0.1,0.01,0.018,0.081,0.158,0.239,0.336,0.366,"16.4% [1%, 36.6%]"
"p.G12.P01",0.271,0.157,0.012,0.02,0.138,0.284,0.392,0.515,0.552,"27.1% [1.2%, 55.2%]"
"p.G13.P01",0.139,0.094,0.008,0.014,0.061,0.126,0.206,0.308,0.341,"13.9% [0.8%, 34.1%]"
"p.G14.P01",0.254,0.128,0.021,0.043,0.152,0.263,0.352,0.454,0.484,"25.4% [2.1%, 48.4%]"
"p.G15.P01",0.307,0.18,0.014,0.026,0.148,0.328,0.447,0.581,0.625,"30.7% [1.4%, 62.5%]"
"p.G16.P01",0.053,0.046,0.003,0.004,0.018,0.04,0.074,0.145,0.169,"5.3% [0.3%, 16.9%]"
"p.G17.P01",0.135,0.087,0.009,0.015,0.062,0.125,0.197,0.288,0.318,"13.5% [0.9%, 31.8%]"
"p.G18.P01",0.602,0.157,0.086,0.267,0.55,0.629,0.697,0.789,0.822,"60.2% [8.6%, 82.2%]"
"p.G19.P01",0.178,0.118,0.008,0.015,0.073,0.174,0.265,0.371,0.401,"17.8% [0.8%, 40.1%]"
"p.G20.P01",0.067,0.053,0.004,0.007,0.026,0.054,0.095,0.167,0.193,"6.7% [0.4%, 19.3%]"
"p.G21.P01",0.726,0.174,0.134,0.408,0.658,0.755,0.835,0.933,0.957,"72.6% [13.4%, 95.7%]"
"p.G22.P01",0.663,0.177,0.085,0.278,0.599,0.69,0.771,0.889,0.92,"66.3% [8.5%, 92%]"
"p.G23.P01",0.663,0.174,0.127,0.319,0.591,0.695,0.777,0.88,0.912,"66.3% [12.7%, 91.2%]"
"p.G24.P01",0.126,0.081,0.009,0.015,0.059,0.118,0.181,0.271,0.297,"12.6% [0.9%, 29.7%]"
"p.G25.P01",0.094,0.067,0.006,0.01,0.04,0.081,0.136,0.222,0.249,"9.4% [0.6%, 24.9%]"
"p.G26.P01",0.034,0.03,0.002,0.003,0.012,0.025,0.048,0.092,0.109,"3.4% [0.2%, 10.9%]"
"p.G27.P01",0.221,0.122,0.016,0.028,0.123,0.223,0.313,0.413,0.443,"22.1% [1.6%, 44.3%]"
"p.G28.P01",0.107,0.068,0.009,0.014,0.051,0.098,0.152,0.232,0.258,"10.7% [0.9%, 25.8%]"
"p.G29.P01",0.379,0.16,0.035,0.079,0.277,0.397,0.49,0.615,0.653,"37.9% [3.5%, 65.3%]"
"p.G30.P01",0.034,0.032,0.001,0.002,0.011,0.025,0.046,0.098,0.121,"3.4% [0.1%, 12.1%]"
"p.G31.P01",0.504,0.168,0.064,0.136,0.425,0.529,0.613,0.737,0.783,"50.4% [6.4%, 78.3%]"
"p.G32.P01",0.073,0.056,0.004,0.007,0.03,0.06,0.105,0.185,0.207,"7.3% [0.4%, 20.7%]"
"p.G33.P01",0.195,0.111,0.014,0.024,0.105,0.191,0.279,0.377,0.406,"19.5% [1.4%, 40.6%]"
"p.G34.P01",0.038,0.037,0.001,0.002,0.01,0.026,0.054,0.114,0.139,"3.8% [0.1%, 13.9%]"
"p.G35.P01",0.419,0.159,0.051,0.101,0.326,0.442,0.529,0.651,0.693,"41.9% [5.1%, 69.3%]"
"p.G36.P01",0.26,0.127,0.025,0.042,0.167,0.268,0.355,0.458,0.496,"26% [2.5%, 49.6%]"
"p.G37.P01",0.574,0.148,0.094,0.285,0.517,0.599,0.663,0.759,0.789,"57.4% [9.4%, 78.9%]"
"p.G38.P01",0.114,0.078,0.006,0.011,0.05,0.101,0.166,0.254,0.278,"11.4% [0.6%, 27.8%]"
"p.G39.P01",0.582,0.161,0.069,0.261,0.52,0.604,0.68,0.789,0.823,"58.2% [6.9%, 82.3%]"
