"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"Epsilon.1",0.15,0.033,0.091,0.101,0.128,0.148,0.171,0.207,0.219,"15% [9.1%, 21.9%]"
"Epsilon.2",0.12,0.026,0.074,0.08,0.102,0.118,0.137,0.165,0.177,"12% [7.4%, 17.7%]"
"Individual.SD",1.414,0.224,1.039,1.095,1.251,1.393,1.552,1.821,1.902,"141.4% [103.9%, 190.2%]"
"p.global.P01",0.335,0.079,0.191,0.214,0.279,0.331,0.388,0.472,0.496,"33.5% [19.1%, 49.6%]"
"p.global.P02",0.151,0.065,0.037,0.053,0.104,0.146,0.192,0.263,0.286,"15.1% [3.7%, 28.6%]"
"p.global.P03",0.335,0.085,0.182,0.203,0.278,0.331,0.387,0.486,0.522,"33.5% [18.2%, 52.2%]"
"p.global.P04",0.044,0.038,0.002,0.004,0.014,0.034,0.064,0.12,0.139,"4.4% [0.2%, 13.9%]"
"p.global.P05",0.134,0.046,0.058,0.066,0.101,0.13,0.164,0.215,0.234,"13.4% [5.8%, 23.4%]"
"p.G01.P01",0.075,0.058,0.003,0.006,0.029,0.063,0.109,0.191,0.216,"7.5% [0.3%, 21.6%]"
"p.G02.P01",0.175,0.094,0.016,0.027,0.101,0.174,0.242,0.331,0.359,"17.5% [1.6%, 35.9%]"
"p.G03.P01",0.262,0.117,0.027,0.046,0.181,0.278,0.35,0.436,0.456,"26.2% [2.7%, 45.6%]"
"p.G04.P01",0.205,0.101,0.018,0.032,0.13,0.212,0.278,0.363,0.388,"20.5% [1.8%, 38.8%]"
"p.G05.P01",0.305,0.149,0.026,0.051,0.198,0.313,0.409,0.54,0.59,"30.5% [2.6%, 59%]"
"p.G06.P01",0.089,0.065,0.005,0.008,0.035,0.077,0.13,0.212,0.242,"8.9% [0.5%, 24.2%]"
"p.G07.P01",0.066,0.049,0.003,0.006,0.027,0.055,0.094,0.161,0.184,"6.6% [0.3%, 18.4%]"
"p.G08.P01",0.837,0.087,0.651,0.685,0.777,0.846,0.903,0.964,0.978,"83.7% [65.1%, 97.8%]"
"p.G09.P01",0.24,0.126,0.025,0.039,0.141,0.24,0.333,0.446,0.482,"24% [2.5%, 48.2%]"
"p.G10.P01",0.582,0.116,0.336,0.383,0.509,0.588,0.662,0.759,0.787,"58.2% [33.6%, 78.7%]"
"p.G11.P01",0.288,0.139,0.026,0.044,0.186,0.297,0.386,0.508,0.539,"28.8% [2.6%, 53.9%]"
"p.G12.P01",0.508,0.162,0.113,0.187,0.423,0.52,0.614,0.754,0.796,"50.8% [11.3%, 79.6%]"
"p.G13.P01",0.116,0.074,0.007,0.013,0.056,0.108,0.167,0.247,0.279,"11.6% [0.7%, 27.9%]"
"p.G14.P01",0.391,0.142,0.088,0.142,0.298,0.4,0.486,0.617,0.655,"39.1% [8.8%, 65.5%]"
"p.G15.P01",0.529,0.163,0.124,0.211,0.442,0.55,0.639,0.761,0.804,"52.9% [12.4%, 80.4%]"
"p.G16.P01",0.051,0.041,0.003,0.005,0.019,0.04,0.073,0.131,0.156,"5.1% [0.3%, 15.6%]"
"p.G17.P01",0.128,0.077,0.009,0.017,0.066,0.121,0.181,0.265,0.291,"12.8% [0.9%, 29.1%]"
"p.G18.P01",0.785,0.115,0.547,0.586,0.709,0.793,0.873,0.956,0.972,"78.5% [54.7%, 97.2%]"
"p.G19.P01",0.271,0.154,0.014,0.025,0.133,0.29,0.39,0.507,0.535,"27.1% [1.4%, 53.5%]"
"p.G20.P01",0.063,0.045,0.005,0.007,0.026,0.053,0.089,0.149,0.17,"6.3% [0.5%, 17%]"
"p.G21.P01",0.62,0.149,0.303,0.374,0.534,0.623,0.714,0.868,0.907,"62% [30.3%, 90.7%]"
"p.G22.P01",0.546,0.15,0.185,0.263,0.47,0.563,0.638,0.77,0.811,"54.6% [18.5%, 81.1%]"
"p.G23.P01",0.642,0.119,0.378,0.449,0.577,0.646,0.719,0.825,0.864,"64.2% [37.8%, 86.4%]"
"p.G24.P01",0.205,0.116,0.016,0.029,0.112,0.198,0.29,0.402,0.439,"20.5% [1.6%, 43.9%]"
"p.G25.P01",0.12,0.078,0.008,0.015,0.059,0.107,0.17,0.267,0.295,"12% [0.8%, 29.5%]"
"p.G26.P01",0.079,0.064,0.005,0.008,0.029,0.062,0.114,0.206,0.238,"7.9% [0.5%, 23.8%]"
"p.G27.P01",0.381,0.141,0.075,0.119,0.296,0.391,0.477,0.6,0.641,"38.1% [7.5%, 64.1%]"
"p.G28.P01",0.186,0.102,0.019,0.031,0.107,0.182,0.258,0.368,0.402,"18.6% [1.9%, 40.2%]"
"p.G29.P01",0.495,0.145,0.143,0.233,0.413,0.511,0.595,0.706,0.742,"49.5% [14.3%, 74.2%]"
"p.G30.P01",0.032,0.029,0.001,0.002,0.011,0.023,0.045,0.09,0.108,"3.2% [0.1%, 10.8%]"
"p.G31.P01",0.654,0.132,0.373,0.432,0.576,0.662,0.742,0.857,0.892,"65.4% [37.3%, 89.2%]"
"p.G32.P01",0.111,0.074,0.008,0.014,0.053,0.099,0.158,0.248,0.279,"11.1% [0.8%, 27.9%]"
"p.G33.P01",0.17,0.09,0.014,0.027,0.099,0.169,0.234,0.32,0.35,"17% [1.4%, 35%]"
"p.G35.P01",0.584,0.145,0.279,0.344,0.494,0.59,0.681,0.811,0.853,"58.4% [27.9%, 85.3%]"
"p.G36.P01",0.406,0.139,0.101,0.163,0.318,0.414,0.499,0.625,0.66,"40.6% [10.1%, 66%]"
"p.G37.P01",0.769,0.121,0.522,0.565,0.686,0.773,0.861,0.952,0.968,"76.9% [52.2%, 96.8%]"
"p.G38.P01",0.106,0.07,0.008,0.013,0.049,0.097,0.153,0.234,0.262,"10.6% [0.8%, 26.2%]"
"p.G39.P01",0.764,0.124,0.505,0.552,0.678,0.773,0.861,0.952,0.966,"76.4% [50.5%, 96.6%]"
"p.G40.P01",0.068,0.053,0.004,0.007,0.026,0.055,0.096,0.171,0.201,"6.8% [0.4%, 20.1%]"
"p.G41.P01",0.134,0.084,0.01,0.017,0.065,0.124,0.193,0.285,0.309,"13.4% [1%, 30.9%]"
"p.G42.P01",0.657,0.127,0.381,0.447,0.583,0.671,0.741,0.842,0.88,"65.7% [38.1%, 88%]"
