"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"Epsilon.1",0.027,0.008,0.014,0.016,0.021,0.026,0.032,0.043,0.047,"2.7% [1.4%, 4.7%]"
"Epsilon.2",0.025,0.004,0.018,0.019,0.022,0.025,0.028,0.032,0.034,"2.5% [1.8%, 3.4%]"
"Individual.SD",1.94,0.31,1.438,1.505,1.728,1.904,2.112,2.508,2.662,"194% [143.8%, 266.2%]"
"p.global.P01",0.278,0.083,0.138,0.154,0.218,0.273,0.329,0.423,0.459,"27.8% [13.8%, 45.9%]"
"p.global.P02",0.439,0.091,0.266,0.291,0.375,0.439,0.5,0.593,0.624,"43.9% [26.6%, 62.4%]"
"p.global.P03",0.132,0.061,0.041,0.052,0.088,0.124,0.165,0.243,0.282,"13.2% [4.1%, 28.2%]"
"p.global.P04",0.098,0.047,0.028,0.036,0.063,0.092,0.126,0.185,0.205,"9.8% [2.8%, 20.5%]"
"p.global.P05",0.052,0.029,0.013,0.016,0.031,0.046,0.067,0.106,0.12,"5.2% [1.3%, 12%]"
"p.G01.P01",0.026,0.028,0,0.001,0.006,0.017,0.037,0.083,0.102,"2.6% [0%, 10.2%]"
"p.G02.P01",0.127,0.084,0.003,0.008,0.052,0.122,0.19,0.271,0.295,"12.7% [0.3%, 29.5%]"
"p.G03.P01",0.187,0.116,0.005,0.01,0.083,0.193,0.279,0.367,0.391,"18.7% [0.5%, 39.1%]"
"p.G04.P01",0.091,0.077,0.002,0.004,0.026,0.074,0.139,0.237,0.267,"9.1% [0.2%, 26.7%]"
"p.G05.P01",0.041,0.046,0,0.001,0.008,0.025,0.058,0.134,0.168,"4.1% [0%, 16.8%]"
"p.G06.P01",0.027,0.029,0,0.001,0.006,0.017,0.039,0.085,0.104,"2.7% [0%, 10.4%]"
"p.G07.P01",0.033,0.035,0,0.001,0.006,0.021,0.049,0.104,0.126,"3.3% [0%, 12.6%]"
"p.G08.P01",0.808,0.157,0.422,0.569,0.739,0.838,0.913,0.981,0.99,"80.8% [42.2%, 99%]"
"p.G09.P01",0.253,0.143,0.009,0.021,0.14,0.256,0.358,0.485,0.528,"25.3% [0.9%, 52.8%]"
"p.G10.P01",0.655,0.167,0.112,0.316,0.595,0.685,0.758,0.849,0.887,"65.5% [11.2%, 88.7%]"
"p.G11.P01",0.287,0.158,0.011,0.021,0.16,0.299,0.406,0.534,0.57,"28.7% [1.1%, 57%]"
"p.G12.P01",0.465,0.227,0.017,0.036,0.315,0.508,0.632,0.785,0.834,"46.5% [1.7%, 83.4%]"
"p.G13.P01",0.092,0.068,0.002,0.004,0.031,0.081,0.143,0.213,0.233,"9.2% [0.2%, 23.3%]"
"p.G14.P01",0.418,0.16,0.036,0.086,0.332,0.446,0.53,0.633,0.672,"41.8% [3.6%, 67.2%]"
"p.G15.P01",0.354,0.238,0.007,0.014,0.134,0.349,0.557,0.731,0.778,"35.4% [0.7%, 77.8%]"
"p.G16.P01",0.016,0.021,0,0,0.002,0.008,0.022,0.059,0.074,"1.6% [0%, 7.4%]"
"p.G17.P01",0.076,0.061,0.001,0.003,0.024,0.065,0.114,0.192,0.217,"7.6% [0.1%, 21.7%]"
"p.G18.P01",0.865,0.116,0.612,0.687,0.82,0.888,0.942,0.986,0.992,"86.5% [61.2%, 99.2%]"
"p.G19.P01",0.171,0.132,0.003,0.006,0.05,0.15,0.269,0.406,0.451,"17.1% [0.3%, 45.1%]"
"p.G20.P01",0.032,0.034,0,0.001,0.006,0.02,0.047,0.104,0.123,"3.2% [0%, 12.3%]"
