"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"Epsilon.1",0.04,0.008,0.027,0.029,0.035,0.04,0.045,0.054,0.057,"4% [2.7%, 5.7%]"
"Epsilon.2",0.025,0.004,0.018,0.019,0.022,0.025,0.028,0.033,0.035,"2.5% [1.8%, 3.5%]"
"Individual.SD",1.875,0.305,1.364,1.433,1.66,1.845,2.056,2.404,2.569,"187.5% [136.4%, 256.9%]"
"p.global.P01",0.304,0.086,0.154,0.172,0.245,0.297,0.355,0.459,0.489,"30.4% [15.4%, 48.9%]"
"p.global.P02",0.424,0.096,0.238,0.268,0.358,0.424,0.49,0.583,0.615,"42.4% [23.8%, 61.5%]"
"p.global.P03",0.132,0.07,0.022,0.034,0.081,0.125,0.172,0.255,0.295,"13.2% [2.2%, 29.5%]"
"p.global.P04",0.098,0.046,0.031,0.037,0.064,0.089,0.124,0.185,0.21,"9.8% [3.1%, 21%]"
"p.global.P05",0.042,0.028,0.006,0.009,0.022,0.035,0.056,0.098,0.111,"4.2% [0.6%, 11.1%]"
"p.G01.P01",0.03,0.03,0.001,0.001,0.008,0.02,0.042,0.093,0.112,"3% [0.1%, 11.2%]"
"p.G02.P01",0.129,0.083,0.005,0.01,0.058,0.126,0.191,0.272,0.297,"12.9% [0.5%, 29.7%]"
"p.G03.P01",0.227,0.114,0.009,0.02,0.143,0.244,0.311,0.397,0.421,"22.7% [0.9%, 42.1%]"
"p.G04.P01",0.128,0.087,0.004,0.008,0.052,0.121,0.19,0.283,0.313,"12.8% [0.4%, 31.3%]"
"p.G05.P01",0.052,0.054,0.001,0.002,0.011,0.034,0.076,0.161,0.197,"5.2% [0.1%, 19.7%]"
"p.G06.P01",0.033,0.034,0.001,0.001,0.008,0.022,0.048,0.102,0.127,"3.3% [0.1%, 12.7%]"
"p.G07.P01",0.038,0.038,0,0.001,0.008,0.025,0.056,0.115,0.138,"3.8% [0%, 13.8%]"
"p.G08.P01",0.789,0.128,0.532,0.574,0.701,0.796,0.894,0.975,0.987,"78.9% [53.2%, 98.7%]"
"p.G09.P01",0.335,0.146,0.021,0.048,0.246,0.354,0.439,0.546,0.583,"33.5% [2.1%, 58.3%]"
"p.G10.P01",0.742,0.096,0.548,0.595,0.691,0.746,0.797,0.888,0.938,"74.2% [54.8%, 93.8%]"
"p.G11.P01",0.377,0.156,0.021,0.053,0.291,0.404,0.488,0.591,0.624,"37.7% [2.1%, 62.4%]"
"p.G12.P01",0.645,0.156,0.157,0.408,0.578,0.656,0.736,0.871,0.912,"64.5% [15.7%, 91.2%]"
"p.G13.P01",0.093,0.07,0.002,0.004,0.032,0.083,0.145,0.22,0.242,"9.3% [0.2%, 24.2%]"
"p.G14.P01",0.444,0.164,0.04,0.096,0.36,0.476,0.557,0.662,0.696,"44.4% [4%, 69.6%]"
"p.G15.P01",0.6,0.163,0.063,0.229,0.551,0.627,0.695,0.793,0.831,"60% [6.3%, 83.1%]"
"p.G16.P01",0.02,0.024,0,0,0.004,0.011,0.028,0.071,0.087,"2% [0%, 8.7%]"
"p.G17.P01",0.079,0.064,0.002,0.004,0.026,0.064,0.116,0.204,0.231,"7.9% [0.2%, 23.1%]"
"p.G18.P01",0.859,0.094,0.649,0.687,0.804,0.873,0.931,0.983,0.99,"85.9% [64.9%, 99%]"
"p.G19.P01",0.235,0.159,0.003,0.007,0.074,0.255,0.366,0.479,0.51,"23.5% [0.3%, 51%]"
"p.G20.P01",0.037,0.038,0,0.001,0.008,0.024,0.056,0.115,0.138,"3.7% [0%, 13.8%]"
"p.G21.P01",0.215,0.148,0.003,0.007,0.088,0.211,0.322,0.462,0.506,"21.5% [0.3%, 50.6%]"
"p.G22.P01",0.169,0.12,0.004,0.007,0.064,0.156,0.258,0.375,0.414,"16.9% [0.4%, 41.4%]"
"p.G23.P01",0.396,0.132,0.073,0.148,0.322,0.409,0.482,0.587,0.625,"39.6% [7.3%, 62.5%]"
"p.G24.P01",0.26,0.14,0.009,0.02,0.156,0.273,0.363,0.477,0.515,"26% [0.9%, 51.5%]"
"p.G25.P01",0.062,0.056,0.001,0.003,0.018,0.046,0.093,0.171,0.198,"6.2% [0.1%, 19.8%]"
"p.G26.P01",0.105,0.098,0.001,0.002,0.024,0.075,0.167,0.298,0.338,"10.5% [0.1%, 33.8%]"
"p.G27.P01",0.481,0.162,0.053,0.127,0.413,0.508,0.585,0.698,0.734,"48.1% [5.3%, 73.4%]"
"p.G28.P01",0.245,0.126,0.013,0.029,0.149,0.253,0.337,0.449,0.478,"24.5% [1.3%, 47.8%]"
"p.G29.P01",0.485,0.166,0.06,0.14,0.397,0.523,0.604,0.699,0.721,"48.5% [6%, 72.1%]"
"p.G30.P01",0.016,0.018,0,0,0.003,0.009,0.022,0.054,0.068,"1.6% [0%, 6.8%]"
"p.G31.P01",0.674,0.149,0.278,0.409,0.609,0.694,0.764,0.87,0.911,"67.4% [27.8%, 91.1%]"
"p.G32.P01",0.098,0.078,0.003,0.005,0.035,0.081,0.146,0.252,0.286,"9.8% [0.3%, 28.6%]"
"p.G33.P01",0.14,0.089,0.005,0.01,0.062,0.137,0.209,0.287,0.311,"14% [0.5%, 31.1%]"
"p.G35.P01",0.642,0.157,0.203,0.346,0.574,0.664,0.744,0.844,0.88,"64.2% [20.3%, 88%]"
"p.G36.P01",0.481,0.163,0.064,0.138,0.398,0.508,0.589,0.698,0.74,"48.1% [6.4%, 74%]"
"p.G37.P01",0.876,0.085,0.683,0.722,0.828,0.889,0.941,0.987,0.993,"87.6% [68.3%, 99.3%]"
"p.G38.P01",0.063,0.055,0.001,0.003,0.019,0.049,0.094,0.17,0.193,"6.3% [0.1%, 19.3%]"
"p.G39.P01",0.851,0.098,0.626,0.677,0.795,0.865,0.927,0.981,0.991,"85.1% [62.6%, 99.1%]"
"p.G40.P01",0.038,0.04,0,0.001,0.008,0.025,0.056,0.122,0.145,"3.8% [0%, 14.5%]"
"p.G41.P01",0.117,0.081,0.003,0.006,0.046,0.109,0.176,0.258,0.277,"11.7% [0.3%, 27.7%]"
"p.G42.P01",0.57,0.158,0.182,0.272,0.491,0.592,0.677,0.789,0.827,"57% [18.2%, 82.7%]"
"p.G43.P01",0.109,0.078,0.003,0.006,0.042,0.099,0.162,0.252,0.275,"10.9% [0.3%, 27.5%]"
"p.G44.P01",0.187,0.115,0.006,0.012,0.092,0.185,0.272,0.38,0.413,"18.7% [0.6%, 41.3%]"
"p.G45.P01",0.142,0.117,0.002,0.005,0.041,0.118,0.218,0.365,0.409,"14.2% [0.2%, 40.9%]"
"p.G46.P01",0.3,0.138,0.018,0.042,0.209,0.315,0.399,0.507,0.544,"30% [1.8%, 54.4%]"
"p.G47.P01",0.71,0.126,0.432,0.507,0.646,0.718,0.786,0.896,0.939,"71% [43.2%, 93.9%]"
"p.G48.P01",0.028,0.033,0,0.001,0.005,0.016,0.039,0.097,0.12,"2.8% [0%, 12%]"
"p.G49.P01",0.175,0.103,0.006,0.012,0.09,0.177,0.254,0.34,0.363,"17.5% [0.6%, 36.3%]"
"p.G50.P01",0.08,0.072,0.002,0.004,0.021,0.06,0.12,0.225,0.261,"8% [0.2%, 26.1%]"
"p.G51.P01",0.08,0.062,0.002,0.004,0.028,0.065,0.12,0.198,0.223,"8% [0.2%, 22.3%]"
"p.G52.P01",0.057,0.051,0.001,0.002,0.016,0.041,0.084,0.16,0.185,"5.7% [0.1%, 18.5%]"
"p.G53.P01",0.165,0.105,0.005,0.013,0.08,0.155,0.241,0.348,0.379,"16.5% [0.5%, 37.9%]"
"p.G54.P01",0.896,0.074,0.723,0.758,0.855,0.909,0.953,0.989,0.994,"89.6% [72.3%, 99.4%]"
"p.G55.P01",0.053,0.05,0.001,0.002,0.014,0.037,0.08,0.154,0.179,"5.3% [0.1%, 17.9%]"
"p.G01.P02",0.701,0.152,0.317,0.436,0.621,0.718,0.809,0.901,0.93,"70.1% [31.7%, 93%]"
"p.G02.P02",0.661,0.124,0.388,0.458,0.6,0.673,0.74,0.839,0.869,"66.1% [38.8%, 86.9%]"
"p.G03.P02",0.545,0.145,0.094,0.237,0.496,0.57,0.635,0.724,0.751,"54.5% [9.4%, 75.1%]"
"p.G04.P02",0.632,0.145,0.187,0.375,0.574,0.655,0.721,0.816,0.842,"63.2% [18.7%, 84.2%]"
"p.G05.P02",0.156,0.115,0.002,0.005,0.054,0.143,0.24,0.363,0.401,"15.6% [0.2%, 40.1%]"
"p.G06.P02",0.662,0.164,0.189,0.355,0.577,0.694,0.782,0.859,0.876,"66.2% [18.9%, 87.6%]"
