"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"Epsilon.1",0.037,0.008,0.024,0.025,0.031,0.036,0.041,0.051,0.055,"3.7% [2.4%, 5.5%]"
"Epsilon.2",0.021,0.005,0.014,0.015,0.018,0.02,0.023,0.03,0.032,"2.1% [1.4%, 3.2%]"
"Individual.SD",2.538,0.604,1.517,1.644,2.106,2.486,2.893,3.643,3.895,"253.8% [151.7%, 389.5%]"
"p.global.P01",0.196,0.12,0.029,0.038,0.105,0.171,0.267,0.424,0.473,"19.6% [2.9%, 47.3%]"
"p.global.P02",0.166,0.13,0.012,0.018,0.067,0.131,0.228,0.447,0.481,"16.6% [1.2%, 48.1%]"
"p.global.P03",0.08,0.072,0.001,0.001,0.022,0.07,0.114,0.213,0.265,"8% [0.1%, 26.5%]"
"p.global.P04",0.085,0.055,0.014,0.018,0.041,0.075,0.118,0.189,0.215,"8.5% [1.4%, 21.5%]"
"p.global.P05",0.023,0.018,0.004,0.005,0.011,0.018,0.029,0.06,0.069,"2.3% [0.4%, 6.9%]"
"p.global.P06",0.197,0.12,0.026,0.039,0.11,0.169,0.267,0.433,0.485,"19.7% [2.6%, 48.5%]"
"p.global.P07",0.252,0.159,0.021,0.037,0.105,0.235,0.384,0.518,0.554,"25.2% [2.1%, 55.4%]"
"p.G01.P01",0.023,0.038,0,0,0.001,0.007,0.029,0.099,0.132,"2.3% [0%, 13.2%]"
"p.G02.P01",0.074,0.086,0,0,0.007,0.037,0.119,0.258,0.288,"7.4% [0%, 28.8%]"
"p.G03.P01",0.136,0.145,0,0.001,0.012,0.076,0.248,0.412,0.46,"13.6% [0%, 46%]"
"p.G04.P01",0.086,0.103,0,0,0.006,0.037,0.141,0.301,0.346,"8.6% [0%, 34.6%]"
"p.G05.P01",0.025,0.041,0,0,0.002,0.009,0.03,0.106,0.141,"2.5% [0%, 14.1%]"
"p.G06.P01",0.028,0.044,0,0,0.002,0.01,0.036,0.125,0.167,"2.8% [0%, 16.7%]"
"p.G07.P01",0.02,0.032,0,0,0.001,0.006,0.024,0.085,0.11,"2% [0%, 11%]"
"p.G08.P01",0.315,0.385,0,0,0.006,0.05,0.742,0.975,0.989,"31.5% [0%, 98.9%]"
"p.G09.P01",0.362,0.333,0,0.001,0.03,0.288,0.644,0.952,0.978,"36.2% [0%, 97.8%]"
"p.G10.P01",0.335,0.35,0,0.001,0.015,0.131,0.729,0.857,0.921,"33.5% [0%, 92.1%]"
"p.G11.P01",0.41,0.346,0,0.001,0.04,0.388,0.738,0.957,0.98,"41% [0%, 98%]"
"p.G12.P01",0.547,0.347,0,0.002,0.164,0.648,0.844,0.98,0.99,"54.7% [0%, 99%]"
"p.G13.P01",0.042,0.057,0,0,0.003,0.016,0.057,0.169,0.207,"4.2% [0%, 20.7%]"
"p.G14.P01",0.386,0.281,0.001,0.002,0.112,0.394,0.602,0.866,0.922,"38.6% [0.1%, 92.2%]"
"p.G15.P01",0.472,0.34,0,0.001,0.06,0.578,0.76,0.939,0.969,"47.2% [0%, 96.9%]"
"p.G16.P01",0.011,0.019,0,0,0.001,0.003,0.013,0.05,0.07,"1.1% [0%, 7%]"
"p.G17.P01",0.049,0.063,0,0,0.004,0.022,0.071,0.185,0.22,"4.9% [0%, 22%]"
"p.G18.P01",0.392,0.391,0,0.001,0.023,0.209,0.855,0.984,0.993,"39.2% [0%, 99.3%]"
"p.G19.P01",0.314,0.316,0,0,0.012,0.177,0.613,0.849,0.913,"31.4% [0%, 91.3%]"
"p.G20.P01",0.018,0.029,0,0,0.001,0.007,0.022,0.079,0.108,"1.8% [0%, 10.8%]"
"p.G21.P01",0.088,0.129,0,0,0.005,0.028,0.126,0.36,0.424,"8.8% [0%, 42.4%]"
"p.G22.P01",0.076,0.111,0,0,0.004,0.026,0.108,0.301,0.365,"7.6% [0%, 36.5%]"
"p.G23.P01",0.175,0.187,0,0.001,0.014,0.089,0.329,0.523,0.571,"17.5% [0%, 57.1%]"
"p.G24.P01",0.308,0.318,0,0.001,0.02,0.194,0.556,0.93,0.969,"30.8% [0%, 96.9%]"
"p.G25.P01",0.061,0.083,0,0,0.005,0.026,0.084,0.239,0.299,"6.1% [0%, 29.9%]"
"p.G26.P01",0.106,0.222,0,0,0.003,0.018,0.079,0.783,0.947,"10.6% [0%, 94.7%]"
"p.G27.P01",0.447,0.315,0.001,0.002,0.135,0.458,0.706,0.954,0.982,"44.7% [0.1%, 98.2%]"
"p.G28.P01",0.23,0.249,0,0.001,0.027,0.148,0.339,0.809,0.932,"23% [0%, 93.2%]"
"p.G29.P01",0.302,0.246,0.001,0.002,0.047,0.283,0.524,0.687,0.74,"30.2% [0.1%, 74%]"
"p.G30.P01",0.008,0.015,0,0,0,0.002,0.009,0.036,0.05,"0.8% [0%, 5%]"
"p.G31.P01",0.374,0.322,0,0.001,0.034,0.332,0.686,0.86,0.919,"37.4% [0%, 91.9%]"
"p.G32.P01",0.087,0.121,0,0,0.008,0.037,0.122,0.339,0.448,"8.7% [0%, 44.8%]"
