"","text","SE","df","t_z","Ptext","rownames"
"(Intercept)","21.05 [11.43, 30.66]",5.03,"42.14",4.19,"< 0.001","(Intercept)"
"Sexm","18.64 [8.52, 28.79]",5.29,"38.96",3.52,"0.001","Sexm"
"TL.C","1.94 [-1.46, 5.35]",1.78,"39.3",1.09,"0.282","TL.C"
"CondManual.C","3.33 [-0.1, 6.76]",1.79,"38.62",1.86,"0.07","CondManual.C"
"TrialDay.C","-6.12 [-7.63, -4.6]",0.77,"69.9",-7.98,"< 0.001","TrialDay.C"
"(Intercept)1","34.7 [28.57, 40.83]",3.21,"41.54",10.81,"< 0.001","(Intercept)"
"Sexm1","11.77 [5.14, 18.39]",3.47,"40.81",3.39,"0.002","Sexm"
"TL.C1","-0.29 [-2.51, 1.93]",1.16,"40.26",-0.25,"0.804","TL.C"
"CondManual.C1","1.23 [-1.01, 3.46]",1.17,"39.75",1.05,"0.3","CondManual.C"
"TrialDay.C1","-5.51 [-6.84, -4.17]",0.68,"78.03",-8.12,"< 0.001","TrialDay.C"
"(Intercept)2","6.61 [6.03, 7.18]",0.3,"43.11",22.15,"< 0.001","(Intercept)"
"Sexm2","-1.18 [-1.76, -0.58]",0.31,"38.23",-3.86,"< 0.001","Sexm"
"TL.C2","-0.04 [-0.24, 0.15]",0.1,"38.4",-0.41,"0.682","TL.C"
"CondManual.C2","-0.28 [-0.48, -0.08]",0.1,"37.93",-2.72,"0.01","CondManual.C"
"TrialDay.C2","0.38 [0.28, 0.5]",0.05,"8.76",7.07,"< 0.001","TrialDay.C"
"(Intercept)3","1.92 [1.7, 2.14]",0.12,"42.2",16.52,"< 0.001","(Intercept)"
"Sexm3","0.11 [-0.12, 0.35]",0.12,"39",0.95,"0.349","Sexm"
"TL.C3","0.1 [0.02, 0.17]",0.04,"38.72",2.36,"0.024","TL.C"
"CondManual.C3","-0.01 [-0.09, 0.07]",0.04,"38.11",-0.28,"0.782","CondManual.C"
"TrialDay.C3","0.02 [-0.03, 0.07]",0.02,"71.79",0.68,"0.497","TrialDay.C"
"(Intercept)4","-1.8 [-5.37, 1.78]",1.82,"NA",-0.99,"0.324","(Intercept)"
"Sexm4","1.89 [-1.93, 5.71]",1.95,"NA",0.97,"0.333","Sexm"
"TL.C4","0.13 [-1.12, 1.38]",0.64,"NA",0.21,"0.835","TL.C"
"CondManual.C4","0.26 [-1, 1.52]",0.64,"NA",0.41,"0.684","CondManual.C"
"TrialDay.C4","0.06 [-0.55, 0.66]",0.31,"NA",0.19,"0.852","TrialDay.C"
"(Intercept)5","-1.49 [-4.27, 1.29]",1.42,"NA",-1.05,"0.292","(Intercept)"
"Sexm5","1.61 [-1.35, 4.58]",1.51,"NA",1.07,"0.286","Sexm"
"TL.C5","-0.31 [-1.25, 0.64]",0.48,"NA",-0.63,"0.527","TL.C"
"CondManual.C5","0.08 [-0.86, 1.01]",0.48,"NA",0.16,"0.871","CondManual.C"
"TrialDay.C5","-0.12 [-0.67, 0.42]",0.28,"NA",-0.44,"0.658","TrialDay.C"
