"","fishID","rep","sampleID","date_packed","weight_packed","rack","row","position","d15N","dC13","N_percentage","C_percentage"
"56","G01","B","G01B","","","","","","","","",""
"111","G01","C","G01C","","","","","","","","",""
"58","G03","B","G03B","","","","","","","","",""
"113","G03","C","G03C","","","","","","","","",""
"59","G04","B","G04B","","","","","","","","",""
"114","G04","C","G04C","","","","","","","","",""
"60","G05","B","G05B","","","","","","","","",""
"115","G05","C","G05C","","","","","","","","",""
"62","G07","B","G07B","","","","","","","","",""
"117","G07","C","G07C","","","","","","","","",""
"63","G08","B","G08B","","","","","","","","",""
"118","G08","C","G08C","","","","","","","","",""
"64","G09","B","G09B","","","","","","","","",""
"119","G09","C","G09C","","","","","","","","",""
"66","G11","B","G11B","","","","","","","","",""
"121","G11","C","G11C","","","","","","","","",""
"67","G12","B","G12B","","","","","","","","",""
"122","G12","C","G12C","","","","","","","","",""
"70","G15","B","G15B","","","","","","","","",""
"125","G15","C","G15C","","","","","","","","",""
"71","G16","B","G16B","","","","","","","","",""
"126","G16","C","G16C","","","","","","","","",""
"74","G19","B","G19B","","","","","","","","",""
"129","G19","C","G19C","","","","","","","","",""
"76","G21","B","G21B","","","","","","","","",""
"131","G21","C","G21C","","","","","","","","",""
"77","G22","B","G22B","","","","","","","","",""
"132","G22","C","G22C","","","","","","","","",""
"78","G23","B","G23B","","","","","","","","",""
"133","G23","C","G23C","","","","","","","","",""
"80","G25","B","G25B","","","","","","","","",""
"135","G25","C","G25C","","","","","","","","",""
"82","G27","B","G27B","","","","","","","","",""
"137","G27","C","G27C","","","","","","","","",""
"84","G29","B","G29B","","","","","","","","",""
"139","G29","C","G29C","","","","","","","","",""
"85","G30","B","G30B","","","","","","","","",""
"140","G30","C","G30C","","","","","","","","",""
"86","G31","B","G31B","","","","","","","","",""
"141","G31","C","G31C","","","","","","","","",""
"87","G32","B","G32B","","","","","","","","",""
"142","G32","C","G32C","","","","","","","","",""
"88","G33","B","G33B","","","","","","","","",""
"143","G33","C","G33C","","","","","","","","",""
"91","G36","B","G36B","","","","","","","","",""
"146","G36","C","G36C","","","","","","","","",""
"92","G37","B","G37B","","","","","","","","",""
"147","G37","C","G37C","","","","","","","","",""
"93","G38","B","G38B","","","","","","","","",""
"148","G38","C","G38C","","","","","","","","",""
"94","G39","B","G39B","","","","","","","","",""
"149","G39","C","G39C","","","","","","","","",""
"95","G40","B","G40B","","","","","","","","",""
"150","G40","C","G40C","","","","","","","","",""
"97","G42","B","G42B","","","","","","","","",""
"152","G42","C","G42C","","","","","","","","",""
"98","G43","B","G43B","","","","","","","","",""
"153","G43","C","G43C","","","","","","","","",""
"100","G45","B","G45B","","","","","","","","",""
"155","G45","C","G45C","","","","","","","","",""
"102","G47","B","G47B","","","","","","","","",""
"157","G47","C","G47C","","","","","","","","",""
"103","G48","B","G48B","","","","","","","","",""
"158","G48","C","G48C","","","","","","","","",""
"105","G50","B","G50B","","","","","","","","",""
"160","G50","C","G50C","","","","","","","","",""
"107","G52","B","G52B","","","","","","","","",""
"162","G52","C","G52C","","","","","","","","",""
"110","G55","B","G55B","","","","","","","","",""
"165","G55","C","G55C","","","","","","","","",""
