"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centretime50","centretime75","centretime100","Notes"
"1","G54",1260,9.5,11,1.28298585799679,2,"m","30-06-2020","10:27","ACT","trial 1","2","G","ACT1_2G","C",32.554,56.68,95.042,0.561,40585,68,477,2.09502777777778,249.7,78.7,32.9333333333333,""
"2","G54",1260,9.5,11,1.28298585799679,2,"m","07-07-2020","09:52","ACT","trial 2","1","B","ACT2_1B","C",26.513,45.956,91.248,0.539,33163,61,483,2.79620908532483,525.566666666667,334.933333333333,204.166666666667,""
"3","G54",1260,9.5,10,1.16635077999708,2,"m","14-07-2020","12:34","ACT","trial 3","4","E","ACT3_4E","C",28.174,45.88,94.231,0.584,35171,58,402,2.51353671798981,490.2,260.7,134.133333333333,""
"4","G13",1286,13.8,35,1.33177477633794,3,"m","14-07-2020","11:36","ACT","trial 3","3","B","ACT3_3B","E",4.969,24.779,19.379,0.146,7577,8,1024,1.56630495269894,20.0333333333333,11.0666666666667,0.633333333333333,"moderate fin infection"
"5","G13",1286,13.8,36,1.36982548423331,3,"m","07-07-2020","11:51","ACT","trial 2","3","F","ACT2_3F","E",15.682,47.51,53.134,0.307,19958,26,831,3.06227777777778,689.533333333333,619.733333333333,169.833333333333,"heavy skin infections"
"6","G13",1286,13.8,36,1.36982548423331,3,"m","30-06-2020","14:40","ACT","trial 1","6","G","ACT1_6G","E",48.392,62.432,140.553,0.767,59673,17,94,2.02794444444444,188.133333333333,89.4666666666667,40.5,""
"7","G38",1313,11.7,25,1.56092639108199,2,"m","07-07-2020","10:56","ACT","trial 2","2","D","ACT2_2D","C",40.02,48.366,153.628,0.815,51655,15,68,1.70582206405694,140.666666666667,61.7333333333333,37.3,""
"8","G38",1313,11.7,24,1.49848933543871,2,"m","30-06-2020","10:27","ACT","trial 1","2","F","ACT1_2F","C",40.405,51.446,127.309,0.77,50711,13,55,1.68879798615481,105.833333333333,52.7333333333333,24.4,""
"9","G38",1313,11.7,25,1.56092639108199,2,"m","14-07-2020","12:34","ACT","trial 3","4","D","ACT3_4D","C",35.468,43.057,138.03,0.812,46124,22,108,1.63930383117065,98.7,55.4333333333333,28.9333333333333,""
"10","G52",1384,12.5,26,1.3312,1,"m","14-07-2020","13:26","ACT","trial 3","5","A","ACT3_5A","C",40.012,55.978,138.948,0.701,49812,22,143,2.14126602115632,280.833333333333,149.8,93.3,""
"11","G52",1384,12.5,27,1.3824,1,"m","30-06-2020","10:27","ACT","trial 1","2","A","ACT1_2A","C",52.989,71.965,132.417,0.729,64741,12,51,2.02377777777778,238.833333333333,123,79.4333333333333,""
"12","G52",1384,12.5,27,1.3824,1,"m","07-07-2020","09:52","ACT","trial 2","1","H","ACT2_1H","C",44.582,54.656,154.875,0.799,57420,12,52,1.9954932832587,225.3,124.066666666667,75.1333333333333,""
"13","G53",1395,14.3,41,1.40208952375806,1,"m","30-06-2020","09:17","ACT","trial 1","1","H","ACT1_1H","C",51.604,59.202,169.916,0.868,66134,3,34,1.93837123991196,146,58.4666666666667,27.8666666666667,""
"14","G53",1395,14.3,41,1.40208952375806,1,"m","14-07-2020","11:36","ACT","trial 3","3","H","ACT3_3H","C",33.169,46.576,127.515,0.695,44064,15,278,1.77803409666348,143.9,78.4666666666667,40.1666666666667,""
"15","G53",1395,14.3,41,1.40208952375806,1,"m","07-07-2020","09:52","ACT","trial 2","1","D","ACT2_1D","C",39.273,50.512,153.678,0.766,50018,33,185,2.00936329588015,214.1,59.2,31.5333333333333,""
"17","G44",2009,10.5,13,1.12298887809092,2,"m","14-07-2020","12:34","ACT","trial 3","4","A","ACT3_4A","C",15.397,35.431,61.575,0.399,20107,98,717,2.16837874050916,303.466666666667,129.233333333333,94.9,""
"18","G44",2009,10.5,13,1.12298887809092,2,"m","07-07-2020","09:52","ACT","trial 2","1","A","ACT2_1A","C",21.273,46.655,81.48,0.432,26837,96,656,2.0551579535924,290.1,92.3666666666667,49.9666666666667,""
"19","G44",2009,10.5,14,1.20937263794407,2,"m","30-06-2020","10:27","ACT","trial 1","2","D","ACT1_2D","C",27.756,47.342,90.517,0.569,36218,45,318,1.81880555555556,197.733333333333,77.5,37.0666666666667,""
"20","G42",2014,15.5,45,1.20841864992783,2,"m","30-06-2020","09:17","ACT","trial 1","1","A","ACT1_1A","C",34.051,47.351,132.177,0.703,44165,39,272,2.06326662362815,170.133333333333,88.8666666666667,63.5666666666667,""
"21","G05",2016,13.7,35,1.36115111382996,3,"f","30-06-2020","13:34","ACT","trial 1","5","F","ACT1_5F","E",26.828,52.47,88.063,0.493,33729,80,503,2.60527777777778,558.766666666667,159.866666666667,28.2666666666667,""
"22","G05",2016,13.7,35,1.36115111382996,3,"f","07-07-2020","11:51","ACT","trial 2","3","A","ACT2_3A","E",23.05,50.717,75.441,0.435,28914,77,667,2.24547222222222,331.166666666667,92.2333333333333,25.5,"heavy skin infections"
"23","G19",2019,13.4,40,1.6624385313353,3,"m","14-07-2020","11:36","ACT","trial 3","3","G","ACT3_3G","E",23.232,33.901,89.732,0.636,31414,36,292,1.69939673204596,89.5333333333333,23.2,8.46666666666667,"heavy skin infections"
"24","G19",2019,13.4,37,1.53775564148516,3,"m","30-06-2020","13:34","ACT","trial 1","5","E","ACT1_5E","E",29.573,41.105,106.246,0.69,38689,22,176,1.88782667890017,128.066666666667,73.5666666666667,34.1,""
"25","G19",2019,13.4,38,1.57931660476854,3,"m","07-07-2020","11:51","ACT","trial 2","3","B","ACT2_3B","E",25.81,35.311,98.755,0.708,34114,35,210,1.76434583014537,97.2666666666667,32,15.5333333333333,"heavy skin infections"
"26","G35",2021,15.6,47,1.2380097439269,1,"m","07-07-2020","13:45","ACT","trial 2","5","G","ACT2_5G","D",12.902,30.02,53.962,0.376,17187,78,777,2.25493783049879,282.833333333333,120,34.5333333333333,""
"27","G35",2021,15.6,46,1.2116691110774,1,"m","30-06-2020","12:27","ACT","trial 1","4","F","ACT1_4F","D",34.861,55.515,116.111,0.609,44162,40,382,2.44788566294154,456.6,240.7,74.9666666666667,""
"28","G35",2021,15.6,48,1.26435037677641,1,"m","14-07-2020","10:40","ACT","trial 3","2","B","ACT3_2B","D",20.03,37.846,79.974,0.476,27814,18,525,1.97655901839033,96.2333333333333,17.1333333333333,8.46666666666667,""
"29","G46",2024,16.3,50,1.1545352337599,1,"m","30-06-2020","10:27","ACT","trial 1","2","B","ACT1_2B","C",38.857,55.023,126.245,0.686,54420,30,222,2.54767807473697,433.833333333333,161.933333333333,87.4666666666667,""
"30","G46",2024,16.3,52,1.2007166431103,1,"m","14-07-2020","12:34","ACT","trial 3","4","B","ACT3_4B","C",32.043,46.324,122.065,0.676,46980,30,270,2.33772874058127,296.266666666667,85.0666666666667,43.8,""
"31","G46",2024,16.3,50,1.1545352337599,1,"m","07-07-2020","09:52","ACT","trial 2","1","F","ACT2_1F","C",32.181,45.299,113.445,0.686,40721,40,213,2.47637885563582,404.833333333333,158.233333333333,47.8333333333333,""
"32","G09",2026,10.9,19,1.46714861211602,2,"m","30-06-2020","14:40","ACT","trial 1","6","C","ACT1_6C","E",30.311,50.267,93.651,0.577,38254,33,272,1.85391853094175,176.633333333333,26.4333333333333,7.5,""
"33","G09",2026,10.9,20,1.54436696012213,2,"m","07-07-2020","11:51","ACT","trial 2","3","H","ACT2_3H","E",30.373,43.918,115.268,0.674,38653,42,261,1.52718138699447,89.5333333333333,28.7666666666667,13.4666666666667,""
"34","G09",2026,10.9,18,1.38993026410992,2,"m","14-07-2020","10:40","ACT","trial 3","2","G","ACT3_2G","E",26.894,40.429,101.515,0.662,34630,36,215,1.73497243595413,119.333333333333,58.2,30.3333333333333,"possible small wound"
"35","G17",2028,14.9,45,1.36035954605104,2,"m","30-06-2020","11:28","ACT","trial 1","3","G","ACT1_3G","D",23.081,45.396,82.251,0.483,29579,47,574,1.61069724617059,22.5333333333333,4.43333333333333,1.23333333333333,""
"36","G17",2028,14.9,46,1.39058975818551,2,"m","14-07-2020","10:40","ACT","trial 3","2","A","ACT3_2A","D",24.664,45.532,88.422,0.517,32286,39,500,1.99074305729297,219.066666666667,91.8666666666667,48.2,"moderate fin infection"
"37","G17",2028,14.9,45,1.36035954605104,2,"m","07-07-2020","14:50","ACT","trial 2","6","G","ACT2_6G","D",26.946,49.881,106.274,0.519,33763,42,518,1.6855935523591,96.5,37.0333333333333,16.0333333333333,""
"38","G22",2030,13.3,31,1.31767034183344,2,"f","30-06-2020","11:28","ACT","trial 1","3","E","ACT1_3E","D",23.521,42.387,83.576,0.533,29846,76,514,2.20627777777778,280.566666666667,121.766666666667,36.2666666666667,""
"39","G22",2030,13.3,32,1.36017583673129,2,"f","14-07-2020","09:42","ACT","trial 3","1","H","ACT3_1H","D",4.24,11.25,25.423,0.237,7036,39,1071,1.64913888888889,259.366666666667,239.033333333333,1.46666666666667,"moderate fin infection"
