taxaID,Phylum,Class,Order,Family,Genus-Species,ID Notes,Key Ref
V01,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma glaucum,"Distinguished from C.edule and P. exiguuum by internal crenulations extending through shell, distinguised from pavicardium by 2 x posterior lateral teeth. Called C. lamarkii in Tibble","Tebble, N. (1966). British bivalve seashells. A handbook for identification. Trustees of the British Museum (Natural History); Hayward, P. J., & Ryland, J. S. (Eds.). (2017). Handbook of the marine fauna of North-West Europe. Oxford University Press.; Marine Bivalve Shells of the British Isles online key (https://naturalhistory.museumwales.ac.uk/BritishBivalves/key.php)"
V02,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus edulis,"Confirmed by location data, G.Dinesen",Novana database (https://odaforalle.au.dk/); Tebble (1966); Marine Bivalve Shells of the British Isles online key (https://naturalhistory.museumwales.ac.uk/BritishBivalves/key.php)
V03,Mollusca,Bivalvia,Myida,Myidae,Mya arenaria,"Confirmed by location data, G.Dinesen",Novana database (https://odaforalle.au.dk/); Tebble (1966); Marine Bivalve Shells of the British Isles online key (https://naturalhistory.museumwales.ac.uk/BritishBivalves/key.php)
V04,Mollusca,Gastropoda,Cycloneritida,Neritidae,Theodoxus fluviatilis,"Confirmed by location data, G.Dinesen","Novana database (https://odaforalle.au.dk/); Graham, A. (1988). Molluscs: Prosobranchs and Pyramidellid Gastropods: Keys and Notes for the Identification of the Species (Vol. 2). Brill Archive."
V05,Mollusca,Gastropoda,Littorinimorpha,spp.,,"Based on location data and Hayward Key to family, composed of Tateidea spp. (Potamopyrgus antipodarum), Hydrobia spp. (Hydrobia ulvae, Hydrobia ventrosa), and Rissoa spp. (Rissoa membranacea). Samples likely include a combination, but cannot distinguish families. (resolves to http://species-identification.org/species.php?species_group=mollusca&selected=beschrijving&menuentry=soorten&record=Ventrosia%20ventrosa on online key)","Novana database (https://odaforalle.au.dk/), Hayward & Ryland (2017)"
V06,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon crangon,"Key to Crangonidae, species confirmed based on location",Hayward & Ryland (2017)
V07,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon spp. ,"Key to Palaemonidae, could be P. adspersus and P. elegans based on location",Hayward & Ryland (2017)
V08,Arthropoda,Malacostraca,Amphipoda,spp.,,"Larger individuals appear to be Gammaridae family (gnathopods similar size, 2 slightly larger in some, urosome segments with spines, larger eye), Smaller individuals cannot be distinguished based on family, ","Lincoln, R. J. (1979). British marine amphipoda: Gammaridea (Vol. 818). British Museum (Natural History)."
V09,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea spp.,Separated idotea and non-idotea; idotea may be mix of balthica and chelipes; ,Hayward & Ryland (2017)
V10,Arthropoda,Malacostraca,Isopoda,spp.,,"11x non-idotea individuals appear to be Jaera albifrons, 2x C. carinata, samples not analysed due to insufficient biomass",Hayward & Ryland (2017)
V11,Arthropoda,Ostracoda,Podocopida,spp.,,All common species in region are Podocoida order,Hayward & Ryland (2017)
V12,Arthropoda,Insecta,Diptera,spp.,,Includes both Chirononmidae and Ceratopogonidae,Hayward & Ryland (2017)
V13,Arthropoda,Insecta,Trichoptera,spp.,,"Only two individuals, samples not analysed due to insufficient biomass",Hayward & Ryland (2017)
V14,Arthropoda,Malacostraca,Tanaidacea,spp.,,"Small isopod-like crustacean, with chelipeds, insufficient biomass to analyse",Hayward & Ryland (2017)
V15,Annelida,Polychaeta,Capitellida,Arenicolidae,Arenicola marina,"Meets description for A. marina, as the most common ploychaete taxa, analysed separately",Hayward & Ryland (2017)
V16,Annelida,Polychaeta,spp.,,,"May include distinct species. Most adundant species is very small, translucent so I cannot identify further), only 1 individual from other species (TRAP_S1b) much larger, analysed separately but pooled into this group.",Hayward & Ryland (2017)
V17,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius pungitius,,Hayward & Ryland (2017)
V18,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus aculeatus,"only 2 individuals, so only 2 samples analysed",Hayward & Ryland (2017)
V19,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,spp.,"only 2 individuals, so only 2 samples analysed",Hayward & Ryland (2017)
V20,Chordata,Actinopterygii,spp.,,,"very small fry, unable to id and insufficient biomass for analysis",NA
V21,Chordata,Actinopterygii,Gobiiformes,Gobiidae,spp.,"other small goby in area, may be also include very juvenile round goby that could not be Id'ed",Hayward & Ryland (2017)
V22,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Neogobius melanostomus,"juvenile round gobies, <8cm",NA
