sourceID,sortID,rep,sampleID,date_packed,weight_packed (mg),rack,row,position,d15N,d13C,N_percentage,C_percentage,runline,runID,date_data,Notes
TEST,NA,A,TESTA,28-07-2020,0.51,TEST,A,1,NA,NA,NA,NA,NA,NA,NA,
TEST,NA,B,TESTB,28-07-2020,0.47,TEST,A,2,NA,NA,NA,NA,NA,NA,NA,
TEST,NA,C,TESTC,28-07-2020,0.52,TEST,A,3,NA,NA,NA,NA,NA,NA,NA,
TEST,NA,D,TESTD,28-07-2020,0.47,TEST,A,4,NA,NA,NA,NA,NA,NA,NA,
TEST,NA,E,TESTE,28-07-2020,0.54,TEST,A,5,NA,NA,NA,NA,NA,NA,NA,
TEST,NA,F,TESTF,28-07-2020,0.48,TEST,A,6,NA,NA,NA,NA,NA,NA,NA,
G01,fin,A,G01A,28-07-2020,0.47,1,A,1,11.41566667,-13.87533333,0.083468491,0.273019917,6,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G02,fin,A,G02A,28-07-2020,0.54,1,A,2,11.19166667,-14.90733333,0.085613095,0.276656478,7,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G02,fin,B,G02B,28-07-2020,0.57,1,A,3,10.61083333,-15.42833333,0.081514955,0.269382368,31,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G02,fin,C,G02C,28-07-2020,0.47,1,A,4,10.75133333,-15.0608,0.097924506,0.331066465,6,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G03,fin,A,G03A,28-07-2020,0.53,1,A,5,10.96866667,-14.92533333,0.085644022,0.282842315,8,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G04,fin,A,G04A,28-07-2020,0.47,1,A,6,11.08266667,-14.72433333,0.13287922,0.448286681,9,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G05,fin,A,G05A,28-07-2020,0.48,1,A,7,9.779666667,-15.02233333,0.075873899,0.23934041,10,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G06,fin,A,G06A,28-07-2020,0.48,1,A,8,12.11966667,-15.36133333,0.075915825,0.259860529,11,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G06,fin,B,G06B,28-07-2020,0.47,1,A,9,10.86183333,-15.16333333,0.097750542,0.332925601,32,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G06,fin,C,G06C,28-07-2020,0.47,1,A,10,11.49233333,-15.2788,0.089274592,0.331463529,7,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G07,fin,A,G07A,28-07-2020,0.58,1,A,11,10.76366667,-13.54633333,0.094835751,0.307438578,12,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G08,fin,A,G08A,28-07-2020,0.52,1,A,12,10.48866667,-17.53033333,0.099132333,0.34606358,13,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G09,fin,A,G09A,28-07-2020,0.57,1,B,1,11.73166667,-16.44633333,0.080013723,0.269116049,14,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G10,fin,A,G10A,28-07-2020,0.56,1,B,2,11.77666667,-18.72933333,0.086976772,0.296919728,15,Nick Moran 2020 0417 201025 set 1,07-11-2020,
G10,fin,B,G10B,28-07-2020,0.47,1,B,3,11.78683333,-19.29733333,0.110223129,0.382694179,33,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G10,fin,C,G10C,28-07-2020,0.54,1,B,4,11.17933333,-18.6958,0.098282951,0.344944104,8,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G11,fin,A,G11A,28-07-2020,0.5,1,B,5,11.66666667,-16.59133333,0.133727089,0.462855936,16,Nick Moran 2020 0417 201025 set 1,07-11-2020,
