Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;MiljøcenterNavn;Dataleverandør;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Maskevidde (um);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Artsrække;Artsnavn;Stadie;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askevægt (g);Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Cnidaria";"CAMPANULARIIDAE";"Ej oplyst";"1";"0,0094";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"2";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Annelida";"Platynereis dumerilii";"Ej oplyst";"2";"0,0411";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Mollusca";"Mytilus edulis";"Ej oplyst";"1";"0,0083";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Mollusca";"Pusillina sarsi";"Ej oplyst";"4";"0,047";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Mollusca";"Littorina saxatilis";"Ej oplyst";"3";"0,0908";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Mollusca";"Hydrobia ulvae";"Ej oplyst";"15";"0,1285";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Mollusca";"Theodoxus fluviatilis";"Ej oplyst";"23";"0,4982";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Arthropoda";"Chironomus aprilinus";"Ej oplyst";"387";"3,7597";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Arthropoda";"Macroplea mutica";"Ej oplyst";"2";"0,0053";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250151";"625 Guldborg Sund";"0601090";"2004-03-24";"0";"Naturstyrelsen";"Storstrøms amt";"3";"3";"3.00";"Van Veen";"1000";"1000";"5442,380";"1151,601";"684259";"6065868";"Arthropoda";"Microdeutopus gryllotalpa";"Ej oplyst";"6";"0,0155";"";"";"FagK";"GODK";"5442,380";"1151,601";"684259";"6065868"
