"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","avespeed_tot.ACTT1","avespeed_mob.ACTT1","aveacceler.ACTT1","propmoving.ACTT1","dist.ACTT1","frozenevents.ACTT1","timefrozen_tot.ACTT1","centrescore.ACTT1","centretime50.ACTT1","centretime75.ACTT1","centretime100.ACTT1","emergelat.bin.EXPLT1","endpointlat.bin.EXPLT1","endpointspeed.EXPLT1","refugereturnlat.EXPLT1","avespeed_tot.MEAN","avespeed_mob.MEAN","aveacceler.MEAN","propmoving.MEAN","dist.MEAN","frozenevents.MEAN","timefrozen_tot.MEAN","centrescore.MEAN","centretime50.MEAN","centretime75.MEAN","centretime100.MEAN","emergelat.bin.MEAN","endpointlat.bin.MEAN","endpointspeed.MEAN","refugereturnlat.MEAN","avespeed_tot.COEF","avespeed_mob.COEF","aveacceler.COEF","propmoving.invlog.COEF","dist.COEF","frozenevents.sqrt.COEF","timefrozen_tot.sqrt.COEF","centrescore.COEF","centretime50.sqrt.COEF","centretime75.sqrt.COEF","centretime100.sqrt.COEF","emergelat.bin.COEF","endpointlat.bin.COEF","endpointspeed.ln.COEF","refugereturnlat.ln.COEF"
"1","G02",2182,14.2,37,1.29222069173621,1,"m",36.224,46.147,125.359,0.771,46125,16,70,1.9606239460371,210.966666666667,110.3,64.4333333333333,1,1,20,49,28.2836666666667,40.7893333333333,106.334,0.656,37388,39.3333333333333,259,2.15429956845785,275.877777777778,86.4111111111111,51.8555555555555,1,1,17,119,15.3619850394077,31.0522501318926,65.1552909369406,-0.641287509485617,21401.4155516274,6.92690505029162,23.9996048055301,1.97148728180929,14.0241856591385,7.57595957761702,4.52149366706818,0.934269766664673,0.63705870459055,3.15271063234156,4.22578918567032
"2","G04",2060,15.4,52,1.42377440404089,1,"m",46.163,60.49,161.458,0.752,57769,14,224,1.80127559583753,132.333333333333,24.2333333333333,7.86666666666667,0,0,NA,NA,39.4116666666667,51.2183333333333,141.573333333333,0.754666666666667,50480,18.3333333333333,172.333333333333,1.89156606911516,113.555555555556,31.2222222222222,9.44444444444445,0,0,NA,NA,21.9186462239138,37.8664753492699,81.5313035086844,-0.711736406144522,28418.2926679908,6.2315515011333,24.4390498899048,1.79762881182595,9.26818454447418,4.97476935549922,2.3711715241656,-4.0907693882453,-3.93866946051286,4.6167647168312,3.51368837884292
"3","G05",2016,13.7,35,1.36115111382996,3,"f",26.828,52.47,88.063,0.493,33729,80,503,2.60527777777778,558.766666666667,159.866666666667,28.2666666666667,1,1,17,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2864838214013,43.6563258653465,78.7809121685604,-0.651824367034208,29882.7610797971,7.6554557834592,23.8839389727223,2.18263210683169,17.6881988875249,9.092831601494,4.2781991366587,2.41611123804691,2.28657531100448,3.12776144078363,4.28670485989284
"4","G06",2153,13.2,29,1.26088710799455,1,"m",59.285,68.989,196.33,0.852,75153,8,35,1.93843852320199,183.9,93.1,49.4333333333333,1,1,10,28,49.3676666666667,61.8573333333333,163.527333333333,0.779666666666667,62617.6666666667,25.3333333333333,131,2.00905006402666,196.622222222222,85.5111111111111,50.8666666666666,1,1,15,44.3333333333333,34.1983735954688,45.8483698192715,114.246341059949,-1.02603929953068,43728.7027041886,6.20397212603792,20.2771487285175,1.89855705045965,12.4189644866306,7.74648810008135,4.59390441869749,1.02268890058943,0.357770184196935,3.08770822049431,3.72208966847077
"5","G07",2220,14.3,35,1.19690569101298,1,"m",34.419,46.205,136.435,0.73,44961,21,97,1.86485583880663,165.333333333333,38.8666666666667,22.3,0,0,144,161,30.7773333333333,43.9276666666667,116.966,0.679666666666667,39840.3333333333,34.3333333333333,232,1.90414547500368,155.711111111111,41.2444444444444,22.8111111111111,0.333333333333333,0.666666666666667,58.6666666666667,109.333333333333,18.6741713838315,34.6632454209703,71.0947469838122,-0.650528461428178,24428.172582529,6.59780568220666,23.4973134240478,1.7847320162708,10.5272051276776,5.56184634533208,2.99265692559771,-1.32159138796253,-1.23936904879958,3.58695703517302,4.13118998528036
"6","G09",2026,10.9,19,1.46714861211602,2,"m",30.311,50.267,93.651,0.577,38254,33,272,1.85391853094175,176.633333333333,26.4333333333333,7.5,1,1,11,65,29.1926666666667,44.8713333333333,103.478,0.637666666666667,37179,37,249.333333333333,1.70535745129678,128.5,37.8,17.1,1,1,15.3333333333333,49.6666666666667,17.1331864487759,32.8084340812546,70.3270363935204,-0.588888407812949,22941.3084070469,7.00242009426166,24.5733170597283,1.84251693605407,11.7080275059977,5.67188071872402,2.73868243813946,0.823017414830461,0.132384741939351,3.02004639681843,3.94634022238361
"7","G10",2217,13.6,32,1.27213515163851,2,"m",46.037,54.311,164.49,0.84,57602,8,32,2.268826497895,343.1,175.833333333333,104.533333333333,1,1,22,42,44.6676666666667,54.7476666666667,152.883,0.799666666666667,55851.3333333333,19,120,2.17197550162177,305.311111111111,146.322222222222,88.4444444444444,1,1,15.6666666666667,124.666666666667,31.9620945949372,41.9643714220286,109.309546710552,-1.15003466324591,40391.2700030825,5.8072036670303,18.6706564643784,1.98359649188584,14.5380401733565,9.15316965754241,5.5284882448949,2.18979178597343,1.41951013802733,3.09383012098949,4.28128902269645
"8","G11",2233,13.5,37,1.50383579738861,2,"m",39.001,50.578,150.357,0.755,50054,16,123,1.9674803663066,244.5,94.4666666666667,43.0333333333333,0,0,NA,75,17.0706666666667,36.5056666666667,66.814,0.356,22375.3333333333,16.6666666666667,731.333333333333,2.11385456654664,188.044444444445,91.8,34.1777777777778,0,0,NA,NA,5.01506678607126,27.8614982280901,29.6205535191689,-0.104670350265207,7561.89119706836,6.09376837800108,32.8649500143534,2.00232927715746,12.2310392026136,7.66064047039273,3.54662579940679,-3.62830088773105,-3.7072394474033,NA,4.2396983713268
"9","G12",2099,13.4,30,1.24682889850148,2,"m",35.311,61.452,120.951,0.56,44146,25,391,1.66486111111111,86.8,29.3,15.8666666666667,0,0,NA,20,26.6966666666667,49.455,96.705,0.513666666666667,33819,37,483.666666666667,1.82088179996341,205.4,38.2222222222222,16.9666666666667,0,0,NA,NA,16.7430114442356,38.3574426519008,61.0396974699054,-0.378545986717903,21386.3248450693,6.81756020015172,27.7778521072111,1.75312419046709,11.6528887244915,5.2699995565695,2.49923841295522,-2.54695267431942,-3.40745220186618,NA,3.67419518146112
"10","G13",1286,13.8,36,1.36982548423331,3,"m",48.392,62.432,140.553,0.767,59673,17,94,2.02794444444444,188.133333333333,89.4666666666667,40.5,0,0,NA,5,23.0143333333333,44.907,71.022,0.406666666666667,29069.3333333333,17,649.666666666667,2.21884239164039,299.233333333333,240.088888888889,70.3222222222221,0,0.333333333333333,NA,24.6666666666667,15.8278502144326,34.9556058358909,50.9805858190913,-0.456296166502783,20532.6260735263,5.86810310361284,26.8957488285873,2.00635052994787,12.507101936219,9.40740049483437,4.246033390181,-1.90561442036964,-0.379082403703732,2.94959619071654,3.35109623165419
"11","G14",2045,16.3,58,1.33926087116149,2,"m",29.769,45.608,109.21,0.628,39078,30,327,1.67366547037047,116.066666666667,28.3,16.7333333333333,0,0,NA,NA,30.3466666666667,45.0546666666667,119.208666666667,0.636666666666667,40444,19.3333333333333,353.666666666667,2.0020371169497,190.988888888889,74.2111111111112,47.8777777777778,0,0,NA,NA,17.8028739901681,35.283168122205,70.3695147505975,-0.555873207947949,24037.6845485392,6.2170496292886,25.8464960229624,1.76003391551021,10.374481775104,6.20764370896655,4.09707506958605,-2.43102391903543,-2.4939628304442,NA,NA
"12","G17",2028,14.9,45,1.36035954605104,2,"m",23.081,45.396,82.251,0.483,29579,47,574,1.61069724617059,22.5333333333333,4.43333333333333,1.23333333333333,0,0,NA,NA,24.897,46.9363333333333,92.3156666666667,0.506333333333333,31876,42.6666666666667,530.666666666667,1.76234461860755,112.7,44.4444444444444,21.8222222222222,0,0,NA,NA,13.9816591153651,35.7463823714611,56.6064450026597,-0.332843723853135,18434.6001649964,7.33513786224977,28.7632747938679,1.71476352749405,8.64681110581081,5.15039640118958,2.91273510828692,-2.88011459464422,-2.76763236996436,NA,3.66260905170883
"13","G18",2216,13.3,26,1.10514286734418,1,"m",38.555,53.544,133.003,0.716,48852,25,105,2.04454151158141,260.1,58.5,22.3333333333333,1,1,13,157,34.716,50.882,126.729333333333,0.663666666666667,44113,41.3333333333333,246.333333333333,2.16289897976642,325,69.8888888888889,23.1444444444444,1,0.666666666666667,81,88.6666666666667,26.0579479110001,39.3495407871609,97.5114024553299,-0.850115988353824,33443.8107113272,6.73623610972771,20.6956264173584,1.9641873379577,15.0149463280408,7.11870130420755,3.18828080575024,1.70556429356275,-0.913688632565888,3.76851872365942,4.03009520789819
"14","G19",2019,13.4,37,1.53775564148516,3,"m",29.573,41.105,106.246,0.69,38689,22,176,1.88782667890017,128.066666666667,73.5666666666667,34.1,0,0,740,70,26.205,36.7723333333333,98.2443333333333,0.678,34739,31,226,1.78385641369717,104.955555555556,42.9222222222222,19.3666666666667,0.666666666666667,0.333333333333333,312.333333333333,67,13.4307863200114,27.6094813661411,60.423589227932,-0.63611923671784,19034.2080541827,7.06316818223171,24.2758600355704,1.756528550815,9.74613382440046,5.26208909910436,2.74594981794991,-0.141642654222439,-1.18877863823311,4.12380610927491,4.24908409198125
"15","G20",2213,13.8,31,1.17957194475646,2,"m",13.864,38.889,55.085,0.329,18131,30,781,2.01105555555556,233.666666666667,32.5333333333333,12.0333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28143920698716,30.8834545873296,19.2005257353023,-0.0696974141772996,5138.9449567143,6.07574434947442,32.8347614965558,1.88582971289829,14.2406568066124,4.57866304329356,2.32529256089995,-1.5476686285454,-1.56322097266838,NA,NA
