 ,Area,Mean,Min,Max,Angle,Length
1,256,142.980,86.157,164.000,-91.797,255.125
2,258,148.054,142.992,163.000,-90.892,257.031
3,257,145.382,140.958,164.000,-89.329,256.018
4,253,143.303,139.000,164.000,-88.409,252.097
5,260,144.601,138.000,156.000,-88.231,259.124
6,264,139.908,67.333,151.000,-88.693,263.068
7,262,142.761,129.333,157.000,-89.122,261.031
8,257,142.613,124.000,157.333,-89.552,256.008
9,163,146.620,115.000,160.000,-178.586,162.049
10,178,146.952,133.000,156.000,-179.029,177.025
11,174,143.155,132.000,149.333,0.331,173.003
12,160,140.915,90.000,153.000,-0.721,159.013
13,166,142.680,127.000,157.000,178.611,165.048
14,180,141.728,129.000,149.000,0.640,179.011
15,175,142.168,130.000,149.000,-178.025,174.103
16,159,140.490,102.000,152.000,3.983,158.382
